experiment_name,partition,has_keyhole,T0_depth_um,max_depth_um,max_depth_relative_to_T0,T0_total_height_um,max_total_height_um,max_total_height_relative_to_T0,T0_kinetic_energy_nJ,max_kinetic_energy_nJ,max_kinetic_energy_relative_to_T0,keyhole_frames_before_T0,keyhole_frames_inside_T0,keyhole_frames_after_T0,keyhole_overlaps_T0,keyhole_timing_relative_to_T0
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,new-data,False,38.979609999999994,43.09636,before_T0,61.817415000000004,67.79005000000001,before_T0,0.7339642,0.9021753,before_T0,0.0,0.0,0.0,False,no_Keyhole
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,new-data,False,26.90932,27.37239,before_T0,51.44415,53.40922,before_T0,0.8855108,1.018489,inside_T0,0.0,0.0,0.0,False,no_Keyhole
P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,new-data,False,46.872595000000004,54.88141,before_T0,72.03333,77.87564,before_T0,0.9327958000000001,1.1030630000000001,before_T0,0.0,0.0,0.0,False,no_Keyhole
P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,new-data,False,34.473155000000006,35.401709999999994,before_T0,64.02622,131.94279,before_T0,0.90792385,1.120391,before_T0,0.0,0.0,0.0,False,no_Keyhole
P-208p096600196_VX-0p256636148953_LS-4p52492384214e-05_ST-395p602757306_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p87975101041e-05_H-1980b1708d,new-data,True,74.71056,158.3638,before_T0,91.20634,175.47879,before_T0,2.2334769999999997,2.3619,inside_T0,14.0,0.0,0.0,False,before_T0
P-339p704237738_VX-0p701398887747_LS-5p24684299583e-05_ST-300p218383071_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p87785607775e-06_H-1d842653b1,new-data,True,85.48333000000001,311.9999,after_T0,106.46736000000001,346.66426,after_T0,3.921858,4.264696000000001,after_T0,39.0,0.0,0.0,False,before_T0
P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c,old-data-local,False,50.71019,51.0315,before_T0,74.86579499999999,76.24896,inside_T0,1.011336,1.155926,inside_T0,0.0,0.0,0.0,False,no_Keyhole
P-104p101541641_VX-0p916529700054_LS-8p82882842693e-05_ST-394p968412652_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p2634634783e-06_H-6014a1f9c3,old-data-local,False,26.660185,26.93815,inside_T0,92.05556999999999,120.91751000000001,inside_T0,0.8618126,1.065237,before_T0,0.0,0.0,0.0,False,no_Keyhole
P-105p276295276_VX-0p639039009111_LS-7p6636834293e-05_ST-367p44858305_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p00822530836e-05_H-bf889bf790,old-data-local,False,34.838854999999995,35.43061,before_T0,62.371975000000006,111.20316,inside_T0,0.75972415,0.8474386,inside_T0,0.0,0.0,0.0,False,no_Keyhole
P-107p176159755_VX-0p320752066655_LS-8p75302281584e-05_ST-393p859643937_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p50400296819e-05_H-8daf8adcd4,old-data-local,False,,,,,,,,,,,,,,
P-135p208661893_VX-0p295797438033_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-6p32116012922e-06_H-fb250c7cf9,old-data-local,True,119.1028,139.3355,inside_T0,139.68542000000002,161.16158000000001,inside_T0,1.474215,2.401708,inside_T0,0.0,21.0,0.0,True,inside_T0
P-83p4130417347_VX-0p322492976823_LS-7p74299080266e-05_ST-371p281013063_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p49588392607e-05_H-b41989dc4b,old-data-local,False,38.774775,39.07992,inside_T0,63.33304,123.14986,before_T0,0.7334078500000001,0.7937652,inside_T0,0.0,0.0,0.0,False,no_Keyhole
P-100p408926704_VX-0p564694322144_LS-6p38706769001e-05_ST-381p633419878_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p54288845105e-06_H-790e4fd6dd,old-data-remote-clean,False,35.697935,43.33023,before_T0,63.685435000000005,67.18732,before_T0,0.79449695,0.9398600000000001,before_T0,0.0,0.0,0.0,False,no_Keyhole
P-102p025474754_VX-0p424029390103_LS-7p94734719352e-05_ST-354p238131711_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p13768543304e-05_H-6f31342894,old-data-remote-clean,False,38.81103,42.960010000000004,before_T0,70.06358499999999,71.73228,inside_T0,0.9243316500000001,1.035624,inside_T0,0.0,0.0,0.0,False,no_Keyhole
P-102p449509144_VX-0p918837420936_LS-5p51471704636e-05_ST-339p471112188_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p25024394207e-06_H-b41981edcb,old-data-remote-clean,False,34.705600000000004,35.38736,before_T0,54.921009999999995,56.33397000000001,before_T0,0.7329561,0.8616552000000001,before_T0,0.0,0.0,0.0,False,no_Keyhole
P-110p110895975_VX-0p451651242475_LS-8p6859144947e-05_ST-349p969995372_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p06810745755e-05_H-6f31342894,old-data-remote-clean,False,38.797700000000006,42.907039999999995,before_T0,71.42119000000001,73.02162999999999,inside_T0,0.9390010999999999,1.165564,inside_T0,0.0,0.0,0.0,False,no_Keyhole
P-110p131967455_VX-0p225166085115_LS-5p63312318207e-05_ST-326p092691949_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p14247212255e-05_H-b41981edcb,old-data-remote-clean,False,54.712819999999994,55.02534,inside_T0,68.70544000000001,70.47052000000001,inside_T0,1.1168799999999999,1.294088,inside_T0,0.0,0.0,0.0,False,no_Keyhole
P-223p161294482_VX-0p578452940205_LS-4p86833733719e-05_ST-359p100984903_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p33969415266e-06_H-1e85da8953,old-data-remote-clean,True,82.64709,155.835,before_T0,108.60903,180.33684999999997,before_T0,2.9810630000000002,4.411421,before_T0,108.0,39.0,17.0,True,spans_multiple_T0_regions
