target,exact_match_count,pearson_correlation,maximum_absolute_difference,median_absolute_difference,identical_within_tolerance_count,materially_changed_count
width_um,11,0.9999999999999999,1.000017846308765e-10,0.0,11,0
depth_um,11,1.0,7.105427357601002e-15,0.0,11,0
total_height_um,11,1.0,2.842170943040401e-14,0.0,11,0
kinetic_energy_nJ,11,1.0,4.440892098500626e-16,1.1102230246251565e-16,11,0
