severity,reason,partition,experiment_name,week6_simulation_id,detail,source_data_removed
WARNING,recording_ends_before_90pct_domain,new-data,P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,new-data,P-208p096600196_VX-0p256636148953_LS-4p52492384214e-05_ST-395p602757306_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p87975101041e-05_H-1980b1708d,,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,depth_bounding_box_ambiguity_candidate,new-data,P-339p704237738_VX-0p701398887747_LS-5p24684299583e-05_ST-300p218383071_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p87785607775e-06_H-1d842653b1,,max-G3=161.567 µm; max/G3=2.074,False
WARNING,recording_ends_before_90pct_domain,old-data-local,P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c,sim_00001,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,week6_window_instability,old-data-local,P-104p101541641_VX-0p916529700054_LS-8p82882842693e-05_ST-394p968412652_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p2634634783e-06_H-6014a1f9c3,sim_00002,"CV width=0.154, length=0.0306, depth=0.0084",False
WARNING,recording_ends_before_90pct_domain,old-data-local,P-105p276295276_VX-0p639039009111_LS-7p6636834293e-05_ST-367p44858305_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p00822530836e-05_H-bf889bf790,sim_00003,T0 ends at recording end under the exact Week 6 min rule,False
FAIL,extraction_failed,old-data-local,P-107p176159755_VX-0p320752066655_LS-8p75302281584e-05_ST-393p859643937_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p50400296819e-05_H-8daf8adcd4,sim_00004,missing kinetic-energy_melt.dat; missing time.dat,False
WARNING,recording_ends_before_90pct_domain,old-data-local,P-135p208661893_VX-0p295797438033_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-6p32116012922e-06_H-fb250c7cf9,sim_00029,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,week6_window_instability,old-data-local,P-135p208661893_VX-0p295797438033_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-6p32116012922e-06_H-fb250c7cf9,sim_00029,"CV width=0.00236, length=0.0199, depth=0.198",False
WARNING,depth_bounding_box_ambiguity_candidate,old-data-local,P-135p208661893_VX-0p295797438033_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-6p32116012922e-06_H-fb250c7cf9,sim_00029,max-G3=60.931 µm; max/G3=1.777,False
WARNING,recording_ends_before_90pct_domain,old-data-local,P-83p4130417347_VX-0p322492976823_LS-7p74299080266e-05_ST-371p281013063_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p49588392607e-05_H-b41989dc4b,sim_00161,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,old-data-remote-clean,P-102p025474754_VX-0p424029390103_LS-7p94734719352e-05_ST-354p238131711_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p13768543304e-05_H-6f31342894,sim_00181,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,old-data-remote-clean,P-110p110895975_VX-0p451651242475_LS-8p6859144947e-05_ST-349p969995372_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p06810745755e-05_H-6f31342894,sim_00183,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,recording_ends_before_90pct_domain,old-data-remote-clean,P-110p131967455_VX-0p225166085115_LS-5p63312318207e-05_ST-326p092691949_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p14247212255e-05_H-b41981edcb,sim_00184,T0 ends at recording end under the exact Week 6 min rule,False
WARNING,week6_window_instability,old-data-remote-clean,P-223p161294482_VX-0p578452940205_LS-4p86833733719e-05_ST-359p100984903_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p33969415266e-06_H-1e85da8953,sim_00222,"CV width=0.00269, length=0.011, depth=0.253",False
