experiment_name,partition,target_extraction_valid,extraction_status,extraction_failure_reasons,T0_width_valid_sample_count,T0_length_valid_sample_count,T0_depth_valid_sample_count,T0_total_height_valid_sample_count,T0_kinetic_energy_valid_sample_count,active_region_start_row_index,active_region_end_row_index,active_region_start_time_s,active_region_end_time_s,active_region_sample_count,active_region_fraction_of_monitor,active_region_too_short,T0_start_row_index,T0_end_row_index,T0_start_time_s,T0_end_time_s,T0_sample_count,T0_fallback_last_rows_used,T0_inside_active_region,active_cutoff_time_s,recording_ends_before_90pct_domain,length_flat_or_decreasing_across_active_region,flag_primary_window_unstable_week6_rule,active_region_definition
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,new-data,True,PASS,,15892.0,15892.0,15892.0,15892.0,15892.0,15292.0,94731.0,0.0002780125,0.001721024,79440.0,0.68719723183391,False,78840.0,94731.0,0.001432431,0.001721024,15892.0,False,True,0.0017210334802431344,False,False,False,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)"
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,new-data,True,PASS,,10971.0,10971.0,10971.0,10971.0,10971.0,10775.0,65606.0,0.0001958874,0.001192091,54832.0,0.4743252595155709,False,54636.0,65606.0,0.0009928672,0.001192091,10971.0,False,True,0.0011920910034295719,False,False,False,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)"
P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,new-data,True,PASS,,19218.0,19218.0,19218.0,19218.0,19218.0,19525.0,115599.0,0.0003550104,0.002100003,96075.0,0.831098615916955,False,96382.0,115599.0,0.001751008,0.002100003,19218.0,False,True,0.002100003,True,False,False,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)"
P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,new-data,True,PASS,,15594.0,15594.0,15594.0,15594.0,15594.0,14851.0,92800.0,0.0002699908,0.001685956,77950.0,0.6743079584775087,False,77207.0,92800.0,0.001402774,0.001685956,15594.0,False,True,0.001685968207778874,False,False,False,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)"
P-208p096600196_VX-0p256636148953_LS-4p52492384214e-05_ST-395p602757306_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p87975101041e-05_H-1980b1708d,new-data,True,PASS,,16007.0,16007.0,16007.0,16007.0,16007.0,35569.0,115599.0,0.0006465953,0.002100003,80031.0,0.6923096885813149,False,99593.0,115599.0,0.001809322,0.002100003,16007.0,False,True,0.002100003,True,False,False,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)"
P-339p704237738_VX-0p701398887747_LS-5p24684299583e-05_ST-300p218383071_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p87785607775e-06_H-1d842653b1,new-data,True,PASS,,14625.0,14625.0,14625.0,14625.0,14625.0,12492.0,85598.0,0.0002270945,0.001555162,73107.0,0.6324134948096886,False,70974.0,85598.0,0.001289578,0.001555162,14625.0,False,True,0.0015551778296994676,False,False,False,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)"
P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c,old-data-local,True,PASS,,13744.0,13744.0,13744.0,13744.0,13744.0,111.0,68795.0,2.018181e-06,0.001250006,68685.0,0.9983865341008198,False,55052.0,68795.0,0.001000422,0.001250006,13744.0,False,True,0.001250006,True,False,False,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)"
P-104p101541641_VX-0p916529700054_LS-8p82882842693e-05_ST-394p968412652_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p2634634783e-06_H-6014a1f9c3,old-data-local,True,PASS,,10906.0,10906.0,10906.0,10906.0,10906.0,10990.0,65498.0,0.0001997951,0.00119013,54509.0,0.47153114186851214,False,54593.0,65498.0,0.0009920863,0.00119013,10906.0,False,True,0.001190141465067343,False,False,True,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)"
P-105p276295276_VX-0p639039009111_LS-7p6636834293e-05_ST-367p44858305_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p00822530836e-05_H-bf889bf790,old-data-local,True,PASS,,10732.0,10732.0,10732.0,10732.0,10732.0,15158.0,68795.0,0.0002755751,0.001250006,53638.0,0.7796674225245653,False,58064.0,68795.0,0.001055122,0.001250006,10732.0,False,True,0.001250006,True,False,False,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)"
P-107p176159755_VX-0p320752066655_LS-8p75302281584e-05_ST-393p859643937_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p50400296819e-05_H-8daf8adcd4,old-data-local,False,FAIL,missing kinetic-energy_melt.dat; missing time.dat,,,,,,,,,,,,,,,,,,,,,,,,
