experiment_name,partition,week6_simulation_id,exact_sph_v2_revision,P_W,VX_m_per_s,LS_m,LS_um,ST_K,has_conduction,has_keyhole,first_keyhole_label_frame_index,first_keyhole_timestep,keyhole_frame_count,keyhole_fraction_relevant_frames,target_extraction_valid,physical_target_extraction_success,extraction_status,extraction_failure_reasons,extraction_failure_reason,extraction_warning_reasons,geometry_monitor_available,geometry_parse_ok,geometry_target_ready,time_monitor_available,time_parse_ok,time_target_ready,iteration_monitor_available,iteration_parse_ok,iteration_target_ready,kinetic_energy_monitor_available,kinetic_energy_parse_ok,kinetic_energy_target_ready,label_analysis_ready,known_malformed_no_melt_sentinel_row_count,known_malformed_no_melt_sentinel_rows_excluded,source_label_modified,simulation_silently_removed,T0_width_um,T0_width_mean_um,T0_width_variance_um2,T0_width_std_um,T0_width_cv,T0_width_relative_trend,T0_width_valid_sample_count,max_width_um,max_width_row_index,max_width_iteration,max_width_time_s,max_width_relative_to_T0,T0_length_um,T0_length_mean_um,T0_length_variance_um2,T0_length_std_um,T0_length_cv,T0_length_relative_trend,T0_length_valid_sample_count,max_length_um,max_length_row_index,max_length_iteration,max_length_time_s,max_length_relative_to_T0,T0_depth_um,T0_depth_mean_um,T0_depth_variance_um2,T0_depth_std_um,T0_depth_cv,T0_depth_relative_trend,T0_depth_valid_sample_count,max_depth_um,max_depth_row_index,max_depth_iteration,max_depth_time_s,max_depth_relative_to_T0,T0_total_height_um,T0_total_height_mean_um,T0_total_height_variance_um2,T0_total_height_std_um,T0_total_height_cv,T0_total_height_relative_trend,T0_total_height_valid_sample_count,max_total_height_um,max_total_height_row_index,max_total_height_iteration,max_total_height_time_s,max_total_height_relative_to_T0,T0_kinetic_energy_nJ,T0_kinetic_energy_mean_nJ,T0_kinetic_energy_variance_nJ2,T0_kinetic_energy_std_nJ,T0_kinetic_energy_cv,T0_kinetic_energy_relative_trend,T0_kinetic_energy_valid_sample_count,max_kinetic_energy_nJ,max_kinetic_energy_row_index,max_kinetic_energy_iteration,max_kinetic_energy_time_s,max_kinetic_energy_relative_to_T0,G3_persistent_depth_um,R3_persistent_depth_width_ratio,G3_event_row_index,R3_event_row_index,rolling_50um_median_observation_count,rolling_50um_median_span_um,label_timestep_exact_alignment_count,label_timestep_unmatched_count,label_timestep_alignment_exact,unmatched_label_timesteps,first_keyhole_monitor_row_index,keyhole_frames_before_T0,keyhole_frames_inside_T0,keyhole_frames_after_T0,keyhole_overlaps_T0,keyhole_timing_relative_to_T0,monitor_row_count,kinetic_monitor_row_count,valid_melt_row_count,sentinel_or_invalid_melt_row_count,active_region_start_row_index,active_region_end_row_index,active_region_start_time_s,active_region_end_time_s,active_region_sample_count,active_region_fraction_of_monitor,active_region_too_short,T0_start_row_index,T0_end_row_index,T0_start_iteration,T0_end_iteration,T0_start_time_s,T0_end_time_s,T0_sample_count,T0_fallback_last_rows_used,T0_inside_active_region,cooling_rows_selected_in_T0,domain_max_x_m,laser_exit_time_s,active_cutoff_time_s,recording_ends_before_90pct_domain,length_flat_or_decreasing_across_active_region,flag_primary_window_unstable_week6_rule,width_formula,depth_formula,total_height_formula,kinetic_energy_semantics,T0_definition,active_region_definition,length_is_primary_target,length_retained_as_diagnostic,minimum_z_max_inside_T0_um,source_bundle_git_blob_sha256,max_depth_minus_G3_um,max_depth_over_G3,width_at_max_depth_um,total_height_at_max_depth_um,depth_ambiguity_score,flag_depth_bounding_box_ambiguity_candidate
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,new-data,,d69dac5bda8b622bc0de316b112815c6056c06ec,102.928146519,0.633805217924,5.29394366699e-05,52.939436669900005,318.223787128,True,False,,,0,0.0,True,True,PASS,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,False,False,125.25068999999999,124.40241507865593,4.026268817988483,2.006556457712686,0.016129054443413896,-0.044182759725923386,15892.0,127.83013999999999,45013.0,45013.0,0.0008181058,before_T0,268.06649999999996,267.4255132330733,66.71187026359995,8.16773348387421,0.030541126778925124,-0.1017404069077985,15892.0,1423.9652999999998,104890.0,104890.0,0.00190552,after_T0,38.979609999999994,39.337742644726916,7.450392503512035,2.729540712924435,0.06938514134889551,-0.2340178460483008,15892.0,43.09636,76544.0,76544.0,0.001390734,before_T0,61.817415000000004,62.112880248552734,8.855836169870692,2.975875697987181,0.04790925902165547,-0.1619042650124703,15892.0,67.79005000000001,74957.0,74957.0,0.001361913,before_T0,0.7339642,0.7329145864900579,0.0011157880839104317,0.03340341425528881,0.045574701205099544,-0.12955211992592852,15892.0,0.9021753,68868.0,68868.0,0.001251332,before_T0,42.87279,0.3434062066658582,78597.0,52194.0,4344.0,49.989675289667076,274.0,0.0,True,[],,0.0,0.0,0.0,False,no_Keyhole,115600.0,115600.0,100308.0,15292.0,15292.0,94731.0,0.0002780125,0.001721024,79440.0,0.68719723183391,False,78840.0,94731.0,78840.0,94731.0,0.001432431,0.001721024,15892.0,False,True,0.0,0.001212,0.0019122594224923715,0.0017210334802431344,False,False,False,y_max - y_min,"max(0, -z_min)",z_max - z_min,"instantaneous aggregate melt-subset kinetic energy; source J, reported nJ",median over final 20% of valid melt-present time before 90% +X-domain cutoff,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)",False,True,21.89911,c2d534e5ed426f07e0414733be7c5fa90c2062784103b6761cc7a5bb59d29740,0.22356999999999516,1.0052147294356162,126.2387,67.29154,0.22473585705991583,False
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,new-data,,d69dac5bda8b622bc0de316b112815c6056c06ec,109.741517589,0.915030812968,7.99759662409e-05,79.97596624090001,303.804431165,True,False,,,0,0.0,True,True,PASS,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,False,False,120.96344,120.80779203354298,7.051891620187542,2.6555397982684315,0.021980525638211134,-0.06937964588269677,10971.0,127.38824,24161.0,24161.0,0.0004393387,before_T0,289.4703,286.56733717983775,45.72413517899585,6.761962376336905,0.02359534153986584,-0.07317137787836356,10971.0,1423.9926,75196.0,75196.0,0.001366253,after_T0,26.90932,26.9262334290402,0.008260091096171332,0.09088504330290728,0.003375180616691702,0.00019697241734041376,10971.0,27.37239,52988.0,52988.0,0.0009629381,before_T0,51.44415,51.481727974660465,0.3799048488224973,0.6163642176688207,0.011971939378562169,-0.02808891453368027,10971.0,53.40922,53789.0,53789.0,0.000977485,before_T0,0.8855108,0.8732325653814602,0.006842486349010863,0.08271932270643216,0.09472339442165258,-0.2839669048894958,10971.0,1.018489,57229.0,57229.0,0.001039958,inside_T0,27.061709999999998,0.23491887943580428,54010.0,68721.0,3009.0,49.98602874157208,388.0,0.0,True,[],,0.0,0.0,0.0,False,no_Keyhole,115600.0,115600.0,79026.0,36574.0,10775.0,65606.0,0.0001958874,0.001192091,54832.0,0.4743252595155709,False,54636.0,65606.0,54636.0,65606.0,0.0009928672,0.001192091,10971.0,False,True,0.0,0.001212,0.0013245455593661908,0.0011920910034295719,False,False,False,y_max - y_min,"max(0, -z_min)",z_max - z_min,"instantaneous aggregate melt-subset kinetic energy; source J, reported nJ",median over final 20% of valid melt-present time before 90% +X-domain cutoff,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)",False,True,23.096809999999998,2e3057fcce1f4de4a2d6e522021b4e50f3e06fb644a47aff3abef855176d6b4a,0.3106800000000014,1.011480427511787,124.24156000000002,51.610499999999995,0.3142467392193634,False
P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,new-data,,d69dac5bda8b622bc0de316b112815c6056c06ec,111.098510779,0.492021331775,4.80108469254e-05,48.010846925399996,345.911753718,True,False,,,0,0.0,True,True,PASS,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,False,False,136.11750999999998,136.16919497606412,0.2381255072759972,0.4879810521690337,0.0035835443996873814,0.00922272756593159,19218.0,137.27107,111647.0,111647.0,0.002028232,inside_T0,276.3369500000001,275.85929433343745,14.042821468525414,3.7473752772474516,0.013584018579250116,-0.04194687327257082,19218.0,287.74719999999996,94429.0,94429.0,0.001715539,before_T0,46.872595000000004,47.2363657706317,7.481616217963128,2.7352543241832428,0.05790418282121073,-0.19360504248807553,19218.0,54.88141,62644.0,62644.0,0.001138299,before_T0,72.03333,72.05098539858466,6.660390786444741,2.5807732923379265,0.03581777726561756,-0.11763933414925916,19218.0,77.87564,81149.0,81149.0,0.001474364,before_T0,0.9327958000000001,0.9330584968519097,0.0007872258358464141,0.028057545078755807,0.030069727871341795,0.008832670141521568,19218.0,1.1030630000000001,83475.0,83475.0,0.001516606,before_T0,54.67908,0.4051871163927301,64037.0,64030.0,5596.0,49.99413991525818,215.0,0.0,True,[],,0.0,0.0,0.0,False,no_Keyhole,115600.0,115600.0,96075.0,19525.0,19525.0,115599.0,0.0003550104,0.002100003,96075.0,0.831098615916955,False,96382.0,115599.0,96382.0,115599.0,0.001751008,0.002100003,19218.0,False,True,0.0,0.001212,0.002463307831852795,0.002100003,True,False,False,y_max - y_min,"max(0, -z_min)",z_max - z_min,"instantaneous aggregate melt-subset kinetic energy; source J, reported nJ",median over final 20% of valid melt-present time before 90% +X-domain cutoff,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)",False,True,23.6857,2a6bc7768925ea562b39cf74d02110de8216562360c475324c0abd2b8acb5d4a,0.20233000000000345,1.0037003182935778,134.7094,72.36753,0.20307868540034305,False
P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,new-data,,d69dac5bda8b622bc0de316b112815c6056c06ec,113.729503671,0.646987288946,8.28088886776e-05,82.8088886776,328.878079062,True,False,,,0,0.0,True,True,PASS,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,False,False,155.367745,154.43464709760164,9.230585918235148,3.0381879333305153,0.019672337610632643,-0.0640244435402509,15594.0,158.87195,63202.0,63202.0,0.001148432,before_T0,292.63035,292.71807421444146,78.12212936401475,8.838672375646398,0.03019420305712577,-0.1006084214793737,15594.0,1423.9958,106426.0,106426.0,0.001933414,after_T0,34.473155000000006,33.26726904193921,3.166687753952997,1.7795189670113092,0.053489870360070094,-0.16968816940918136,15594.0,35.401709999999994,45603.0,45603.0,0.0008288207,before_T0,64.02622,63.29458496473003,3.8370913961160924,1.958849508286967,0.030947145013694093,-0.09718472148450927,15594.0,131.94279,46652.0,46652.0,0.0008478714,before_T0,0.90792385,0.9082065307297679,0.003137434697755607,0.05601280833662607,0.06167210919497437,-0.15862613061361674,15594.0,1.120391,68082.0,68082.0,0.001237057,before_T0,34.874810000000004,0.22807661440110197,37312.0,36262.0,4256.0,49.99529576601329,280.0,0.0,True,[],,0.0,0.0,0.0,False,no_Keyhole,115600.0,115600.0,100749.0,14851.0,14851.0,92800.0,0.0002699908,0.001685956,77950.0,0.6743079584775087,False,77207.0,92800.0,77207.0,92800.0,0.001402774,0.001685956,15594.0,False,True,0.0,0.001212,0.0018732980086431932,0.001685968207778874,False,False,False,y_max - y_min,"max(0, -z_min)",z_max - z_min,"instantaneous aggregate melt-subset kinetic energy; source J, reported nJ",median over final 20% of valid melt-present time before 90% +X-domain cutoff,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)",False,True,28.82723,e994ed7af23735c9b2f519365a9980607cb53b602450940d2b740b46b1d70330,0.5268999999999906,1.0151083260381917,154.88706000000002,109.08214,0.5348605769895136,False
P-208p096600196_VX-0p256636148953_LS-4p52492384214e-05_ST-395p602757306_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p87975101041e-05_H-1980b1708d,new-data,,d69dac5bda8b622bc0de316b112815c6056c06ec,208.096600196,0.256636148953,4.52492384214e-05,45.2492384214,395.602757306,True,True,63.0,65174.0,14,0.1818181818181818,True,True,PASS,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,False,False,190.79683,190.79723539139127,0.07775310575861064,0.2788424389482538,0.0014614138838261734,0.0007399981819224563,16007.0,191.69172,99903.0,99903.0,0.001814952,inside_T0,257.067,256.8269274317486,64.9396362727905,8.05851327930844,0.031376233160384785,0.10765292444775135,16007.0,270.28000000000003,115302.0,115302.0,0.00209461,inside_T0,74.71056,74.73534290685326,0.010159414900902419,0.10079392293636764,0.0013486360071989223,0.0004234330505482307,16007.0,158.3638,70549.0,70549.0,0.00128186,before_T0,91.20634,91.30599985568813,0.562587772277219,0.7500585125689988,0.008214521327297495,0.025430346862386335,16007.0,175.47879,68428.0,68428.0,0.001243341,before_T0,2.2334769999999997,2.2178822531392517,0.006863601135738365,0.0828468535053587,0.03735286916863356,0.12513324910058748,16007.0,2.3619,115283.0,115283.0,0.002094265,inside_T0,152.34725,0.8587055769270728,71831.0,71487.0,10728.0,49.99554481368288,113.0,0.0,True,[],65174.0,14.0,0.0,0.0,False,before_T0,115600.0,115600.0,80031.0,35569.0,35569.0,115599.0,0.0006465953,0.002100003,80031.0,0.6923096885813149,False,99593.0,115599.0,99593.0,115599.0,0.001809322,0.002100003,16007.0,False,True,0.0,0.001212,0.0047226394447727,0.002100003,True,False,False,y_max - y_min,"max(0, -z_min)",z_max - z_min,"instantaneous aggregate melt-subset kinetic energy; source J, reported nJ",median over final 20% of valid melt-present time before 90% +X-domain cutoff,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)",False,True,15.03581,775d390ad972c292c34db57cb13562a4ead3ae93c4f15bd153b40a6700ad1e24,6.016549999999995,1.0394923439707642,181.09452000000002,174.41952999999998,6.254157662117296,False
P-339p704237738_VX-0p701398887747_LS-5p24684299583e-05_ST-300p218383071_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p87785607775e-06_H-1d842653b1,new-data,,d69dac5bda8b622bc0de316b112815c6056c06ec,339.704237738,0.701398887747,5.24684299583e-05,52.4684299583,300.218383071,True,True,69.0,27612.0,39,0.1848341232227488,True,True,PASS,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,False,False,158.66603,158.6661069982906,0.06344856365900053,0.2518899832446708,0.0015874932349402976,0.0023211127321772777,14625.0,268.83489000000003,108093.0,108093.0,0.001963689,after_T0,560.9860999999999,560.6529570735042,11.399673935666764,3.3763403169210835,0.006021951444139128,0.004102202210931949,14625.0,1424.0,94554.0,94554.0,0.00171781,after_T0,85.48333000000001,83.82091715145299,8.173523798775951,2.858937529708537,0.03410651999211777,-0.11040231756193229,14625.0,311.9999,110260.0,110260.0,0.002003043,after_T0,106.46736000000001,104.7628811323077,7.854920880973323,2.8026631765114627,0.026751529998392948,-0.08598473613345588,14625.0,346.66426,110260.0,110260.0,0.002003043,after_T0,3.921858,3.9140858848547007,0.002292148496472654,0.04787638767150937,0.012231400192110917,-0.008281775415944923,14625.0,4.264696000000001,92582.0,92582.0,0.001681997,after_T0,150.4327,0.8996809841633915,38864.0,38864.0,3926.0,49.996414117494055,303.0,0.0,True,[],27612.0,39.0,0.0,0.0,False,before_T0,115600.0,115600.0,103108.0,12492.0,12492.0,85598.0,0.0002270945,0.001555162,73107.0,0.6324134948096886,False,70974.0,85598.0,70974.0,85598.0,0.001289578,0.001555162,14625.0,False,True,0.0,0.001212,0.0017279753663327418,0.0015551778296994676,False,False,False,y_max - y_min,"max(0, -z_min)",z_max - z_min,"instantaneous aggregate melt-subset kinetic energy; source J, reported nJ",median over final 20% of valid melt-present time before 90% +X-domain cutoff,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)",False,True,20.40337,58b69420581563bfae8c70735e0fd510614a0a040204e36d6f45c1695d4bc0d6,161.5672,2.074016487106859,232.18318000000002,346.66426,335.0930365756914,True
P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c,old-data-local,sim_00001,d69dac5bda8b622bc0de316b112815c6056c06ec,101.127472137,0.52394730996,4.5e-05,45.0,300.0,True,False,,,0,0.0,True,True,PASS,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,False,False,126.26144,126.28350129656577,0.14454671688297288,0.38019299951862984,0.0030105212805177587,0.002316257293117516,13744.0,127.54611,48545.0,48545.0,0.0008822497,before_T0,262.57084999999995,262.46068095168806,6.2912065041630765,2.508227761620359,0.009556237158138765,0.010847025423060824,13744.0,268.5267,66836.0,66836.0,0.001214429,inside_T0,50.71019,50.714899222933646,0.008608833019813788,0.09278379718363432,0.0018294509722914345,0.0002244527802832043,13744.0,51.0315,29030.0,29030.0,0.0005278419,before_T0,74.86579499999999,74.77998490832364,0.5063422000366794,0.7115772621695268,0.009515265023630062,0.027347168595354913,13744.0,76.24896,68713.0,68713.0,0.001248517,inside_T0,1.011336,1.0151514759385913,0.0017962667747786374,0.04238238755401396,0.041748297352615,0.06619406878407079,13744.0,1.155926,68209.0,68209.0,0.001239364,inside_T0,50.852430000000005,0.417644601644933,54928.0,28600.0,5255.0,49.993375684991385,352.0,0.0,True,[],,0.0,0.0,0.0,False,no_Keyhole,68796.0,68796.0,68685.0,111.0,111.0,68795.0,2.018181e-06,0.001250006,68685.0,0.9983865341008198,False,55052.0,68795.0,55052.0,68795.0,0.001000422,0.001250006,13744.0,False,True,0.0,0.001212,0.002313209700594757,0.001250006,True,False,False,y_max - y_min,"max(0, -z_min)",z_max - z_min,"instantaneous aggregate melt-subset kinetic energy; source J, reported nJ",median over final 20% of valid melt-present time before 90% +X-domain cutoff,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)",False,True,22.04767,74c57f6c03cc92e531603efd5aa8539abe72cafdd29cf19405bcaa5d1ea1db30,0.17906999999999584,1.0035213656456534,123.91548999999999,67.0768,0.17970057094616299,False
P-104p101541641_VX-0p916529700054_LS-8p82882842693e-05_ST-394p968412652_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p2634634783e-06_H-6014a1f9c3,old-data-local,sim_00002,d69dac5bda8b622bc0de316b112815c6056c06ec,104.101541641,0.916529700054,8.82882842693e-05,88.2882842693,394.968412652,True,False,,,0,0.0,True,True,PASS,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,False,False,126.328725,135.90697596277278,440.75865501020036,20.994252904311704,0.15446808542554089,0.11051258165033023,10906.0,176.14551999999998,63403.0,63403.0,0.001152083,inside_T0,297.70070000000004,294.4427978543921,81.05417649145986,9.003009301975638,0.03057502714701131,-0.09708608405471841,10906.0,309.3319,52667.0,52667.0,0.0009571085,before_T0,26.660185,26.618610517146525,0.04998754825332263,0.22357895306428696,0.008398962162670678,-0.010667639736030375,10906.0,26.93815,62094.0,62094.0,0.00112831,inside_T0,92.05556999999999,87.78928403631029,508.0759685298975,22.540540555405887,0.25674553993956445,-0.08522090937618293,10906.0,120.91751000000001,63403.0,63403.0,0.001152083,inside_T0,0.8618126,0.8535719067852559,0.006464129638588407,0.08039981118502958,0.09418787617741224,-0.23324733834274752,10906.0,1.065237,51053.0,51053.0,0.000927797,before_T0,26.758460000000003,0.23345659750047726,50547.0,65018.0,3004.0,49.98468859887507,390.0,0.0,True,[],,0.0,0.0,0.0,False,no_Keyhole,115600.0,115600.0,78809.0,36791.0,10990.0,65498.0,0.0001997951,0.00119013,54509.0,0.47153114186851214,False,54593.0,65498.0,54593.0,65498.0,0.0009920863,0.00119013,10906.0,False,True,0.0,0.001212,0.0013223794056303811,0.001190141465067343,False,False,True,y_max - y_min,"max(0, -z_min)",z_max - z_min,"instantaneous aggregate melt-subset kinetic energy; source J, reported nJ",median over final 20% of valid melt-present time before 90% +X-domain cutoff,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)",False,True,23.96256,71ccfd0605708556cd4eea3a95eb7ade12df7f9e73a1209f4dbfbb52287d757a,0.17968999999999724,1.006715259398336,165.77412,113.61118,0.1808966649612842,False
P-105p276295276_VX-0p639039009111_LS-7p6636834293e-05_ST-367p44858305_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p00822530836e-05_H-bf889bf790,old-data-local,sim_00003,d69dac5bda8b622bc0de316b112815c6056c06ec,105.276295276,0.639039009111,7.6636834293e-05,76.636834293,367.44858305,True,False,,,0,0.0,True,True,PASS,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,False,False,127.941225,127.95857091129334,0.13948018237328189,0.37347045716265415,0.0029185466377443917,0.0038089175389456977,10732.0,129.11311,68048.0,68048.0,0.00123644,inside_T0,261.8447,261.75241068766303,9.095709174068043,3.0159093444710905,0.011521455803019732,0.030865072322356916,10732.0,270.22389999999996,68788.0,68788.0,0.001249879,inside_T0,34.838854999999995,34.849081065970935,0.0071578551102418455,0.08460410811681573,0.002427615413732977,-0.001966694509480473,10732.0,35.43061,41864.0,41864.0,0.0007609175,before_T0,62.371975000000006,73.59848273387998,334.0669768131696,18.277499194724907,0.24832913606240095,0.7964296923201172,10732.0,111.20316,68795.0,68795.0,0.001250006,inside_T0,0.75972415,0.7600757769847185,0.00101512460118763,0.031861020090192184,0.04191626233451896,0.08034713586933545,10732.0,0.8474386,64080.0,64080.0,0.001164378,inside_T0,34.942479999999996,0.2758077184472268,35983.0,35579.0,4309.0,49.996303244114564,121.0,0.0,True,[],,0.0,0.0,0.0,False,no_Keyhole,68796.0,68796.0,53638.0,15158.0,15158.0,68795.0,0.0002755751,0.001250006,53638.0,0.7796674225245653,False,58064.0,68795.0,58064.0,68795.0,0.001055122,0.001250006,10732.0,False,True,0.0,0.001212,0.0018965978331840422,0.001250006,True,False,False,y_max - y_min,"max(0, -z_min)",z_max - z_min,"instantaneous aggregate melt-subset kinetic energy; source J, reported nJ",median over final 20% of valid melt-present time before 90% +X-domain cutoff,"valid melt rows from first valid melt through min(recording end, 90% laser-domain-exit time)",False,True,22.341199999999997,101d7e26c37fe4d8776b61b5c4f9aa8682d0e71886f2e9749d3fc148f4f2814a,0.4881300000000053,1.0139695293522384,126.99390999999999,50.75443,0.49494894636271347,False
P-107p176159755_VX-0p320752066655_LS-8p75302281584e-05_ST-393p859643937_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p50400296819e-05_H-8daf8adcd4,old-data-local,sim_00004,d69dac5bda8b622bc0de316b112815c6056c06ec,107.176159755,0.320752066655,8.75302281584e-05,87.53022815839999,393.859643937,True,False,,,0,0.0,False,False,FAIL,missing kinetic-energy_melt.dat; missing time.dat,missing kinetic-energy_melt.dat; missing time.dat,,True,True,False,False,False,False,True,True,False,False,False,False,True,0,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
