simulation_id,numeric_simulation_id,relative_path,experiment_details_available,parameters_available,metadata_available,labeling_provenance_available,frames_csv_available,monitor_available,monitor_dat_count,front_frame_image_count,side_frame_image_count,top_frame_image_count,frames_csv_row_count,missing_or_incomplete,unexpected_files,complete_for_phase1
sim_00065,65,final_data_processed/sim_00065,True,True,True,True,True,True,34,402,402,402,402,,,True
sim_00066,66,final_data_processed/sim_00066,True,True,True,True,True,True,34,213,213,213,213,,,True
sim_00067,67,final_data_processed/sim_00067,True,True,True,True,True,True,34,170,170,170,170,,,True
sim_00068,68,final_data_processed/sim_00068,True,True,True,True,True,True,34,418,418,418,418,,,True
sim_00069,69,final_data_processed/sim_00069,True,True,True,True,True,True,34,103,103,103,103,,,True
sim_00070,70,final_data_processed/sim_00070,True,True,True,True,True,True,34,390,390,390,390,,,True
sim_00071,71,final_data_processed/sim_00071,True,True,True,True,True,True,34,102,102,102,102,,,True
sim_00072,72,final_data_processed/sim_00072,True,True,True,True,True,True,34,425,425,425,425,,,True
sim_00073,73,final_data_processed/sim_00073,True,True,True,True,True,True,34,253,253,253,253,,,True
sim_00074,74,final_data_processed/sim_00074,True,True,True,True,True,True,34,337,337,337,337,,,True
sim_00075,75,final_data_processed/sim_00075,True,True,True,True,True,True,34,339,339,339,339,,,True
sim_00076,76,final_data_processed/sim_00076,True,True,True,True,True,True,34,290,290,290,290,,,True
sim_00077,77,final_data_processed/sim_00077,True,True,True,True,True,True,34,280,280,280,280,,,True
sim_00078,78,final_data_processed/sim_00078,True,True,True,True,True,True,34,129,129,129,129,,,True
sim_00079,79,final_data_processed/sim_00079,True,True,True,True,True,True,34,339,339,339,339,,,True
sim_00080,80,final_data_processed/sim_00080,True,True,True,True,True,True,34,401,401,401,401,,,True
sim_00081,81,final_data_processed/sim_00081,True,True,True,True,True,True,34,365,365,365,365,,,True
sim_00082,82,final_data_processed/sim_00082,True,True,True,True,True,True,34,211,211,211,211,,,True
sim_00083,83,final_data_processed/sim_00083,True,True,True,True,True,True,34,364,364,364,364,,,True
sim_00084,84,final_data_processed/sim_00084,True,True,True,True,True,True,34,387,387,387,387,,,True
sim_00085,85,final_data_processed/sim_00085,True,True,True,True,True,True,34,249,249,249,249,,,True
sim_00086,86,final_data_processed/sim_00086,True,True,True,True,True,True,34,406,406,406,406,,,True
sim_00087,87,final_data_processed/sim_00087,True,True,True,True,True,True,34,134,134,134,134,,,True
sim_00088,88,final_data_processed/sim_00088,True,True,True,True,True,True,34,311,311,311,311,,,True
sim_00089,89,final_data_processed/sim_00089,True,True,True,True,True,True,34,131,131,131,131,,,True
sim_00090,90,final_data_processed/sim_00090,True,True,True,True,True,True,34,171,171,171,171,,,True
sim_00091,91,final_data_processed/sim_00091,True,True,True,True,True,True,34,368,368,368,368,,,True
sim_00092,92,final_data_processed/sim_00092,True,True,True,True,True,True,34,414,414,414,414,,,True
sim_00093,93,final_data_processed/sim_00093,True,True,True,True,True,True,34,378,378,378,378,,,True
sim_00094,94,final_data_processed/sim_00094,True,True,True,True,True,True,34,374,374,374,374,,,True
sim_00095,95,final_data_processed/sim_00095,True,True,True,True,True,True,34,241,241,241,241,,,True
sim_00096,96,final_data_processed/sim_00096,True,True,True,True,True,True,34,299,299,299,299,,,True
sim_00097,97,final_data_processed/sim_00097,True,True,True,True,True,True,34,103,103,103,103,,,True
sim_00098,98,final_data_processed/sim_00098,True,True,True,True,True,True,34,108,108,108,108,,,True
sim_00099,99,final_data_processed/sim_00099,True,True,True,True,True,True,34,337,337,337,337,,,True
sim_00100,100,final_data_processed/sim_00100,True,True,True,True,True,True,34,178,178,178,178,,,True
sim_00101,101,final_data_processed/sim_00101,True,True,True,True,True,True,34,41,41,41,41,,,True
sim_00102,102,final_data_processed/sim_00102,True,True,True,True,True,True,34,151,151,151,151,,,True
sim_00103,103,final_data_processed/sim_00103,True,True,True,True,True,True,34,209,209,209,209,,,True
sim_00104,104,final_data_processed/sim_00104,True,True,True,True,True,True,34,350,350,350,350,,,True
sim_00105,105,final_data_processed/sim_00105,True,True,True,True,True,True,34,228,228,228,228,,,True
sim_00106,106,final_data_processed/sim_00106,True,True,True,True,True,True,34,344,344,344,344,,,True
sim_00107,107,final_data_processed/sim_00107,True,True,True,True,True,True,34,127,127,127,127,,,True
sim_00108,108,final_data_processed/sim_00108,True,True,True,True,True,True,34,178,178,178,178,,,True
sim_00109,109,final_data_processed/sim_00109,True,True,True,True,True,True,34,372,372,372,372,,,True
sim_00110,110,final_data_processed/sim_00110,True,True,True,True,True,True,34,305,305,305,305,,,True
sim_00111,111,final_data_processed/sim_00111,True,True,True,True,True,True,34,322,322,322,322,,,True
sim_00112,112,final_data_processed/sim_00112,True,True,True,True,True,True,34,397,397,397,397,,,True
sim_00113,113,final_data_processed/sim_00113,True,True,True,True,True,True,34,379,379,379,379,,,True
sim_00114,114,final_data_processed/sim_00114,True,True,True,True,True,True,34,427,427,427,427,,,True
sim_00115,115,final_data_processed/sim_00115,True,True,True,True,True,True,34,184,184,184,184,,,True
sim_00116,116,final_data_processed/sim_00116,True,True,True,True,True,True,34,143,143,143,143,,,True
sim_00117,117,final_data_processed/sim_00117,True,True,True,True,True,True,34,409,409,409,409,,,True
sim_00118,118,final_data_processed/sim_00118,True,True,True,True,True,True,34,127,127,127,127,,,True
sim_00119,119,final_data_processed/sim_00119,True,True,True,True,True,True,34,218,218,218,218,,,True
sim_00120,120,final_data_processed/sim_00120,True,True,True,True,True,True,34,375,375,375,375,,,True
sim_00121,121,final_data_processed/sim_00121,True,True,True,True,True,True,34,405,405,405,405,,,True
sim_00122,122,final_data_processed/sim_00122,True,True,True,True,True,True,34,134,134,134,134,,,True
sim_00123,123,final_data_processed/sim_00123,True,True,True,True,True,True,34,219,219,219,219,,,True
sim_00124,124,final_data_processed/sim_00124,True,True,True,True,True,True,34,209,209,209,209,,,True
sim_00125,125,final_data_processed/sim_00125,True,True,True,True,True,True,34,164,164,164,164,,,True
sim_00126,126,final_data_processed/sim_00126,True,True,True,True,True,True,34,210,210,210,210,,,True
sim_00127,127,final_data_processed/sim_00127,True,True,True,True,True,True,34,170,170,170,170,,,True
sim_00128,128,final_data_processed/sim_00128,True,True,True,True,True,True,34,359,359,359,359,,,True
sim_00129,129,final_data_processed/sim_00129,True,True,True,True,True,True,34,300,300,300,300,,,True
sim_00130,130,final_data_processed/sim_00130,True,True,True,True,True,True,34,348,348,348,348,,,True
sim_00131,131,final_data_processed/sim_00131,True,True,True,True,True,True,34,403,403,403,403,,,True
sim_00132,132,final_data_processed/sim_00132,True,True,True,True,True,True,34,379,379,379,379,,,True
sim_00133,133,final_data_processed/sim_00133,True,True,True,True,True,True,34,112,112,112,112,,,True
sim_00134,134,final_data_processed/sim_00134,True,True,True,True,True,True,34,301,301,301,301,,,True
sim_00135,135,final_data_processed/sim_00135,True,True,True,True,True,True,34,204,204,204,204,,,True
sim_00137,137,final_data_processed/sim_00137,True,True,True,True,True,True,34,238,238,238,238,,.DS_Store,True
sim_00138,138,final_data_processed/sim_00138,True,True,True,True,True,True,34,300,300,300,300,,,True
sim_00139,139,final_data_processed/sim_00139,True,True,True,True,True,True,34,217,217,217,217,,,True
sim_00140,140,final_data_processed/sim_00140,True,True,True,True,True,True,34,309,309,309,309,,,True
sim_00141,141,final_data_processed/sim_00141,True,True,True,True,True,True,34,423,423,423,423,,,True
sim_00142,142,final_data_processed/sim_00142,True,True,True,True,True,True,34,174,174,174,174,,,True
sim_00143,143,final_data_processed/sim_00143,True,True,True,True,True,True,34,424,424,424,424,,,True
sim_00144,144,final_data_processed/sim_00144,True,True,True,True,True,True,34,265,265,265,265,,,True
sim_00145,145,final_data_processed/sim_00145,True,True,True,True,True,True,34,170,170,170,170,,,True
sim_00146,146,final_data_processed/sim_00146,True,True,True,True,True,True,34,150,150,150,150,,,True
sim_00147,147,final_data_processed/sim_00147,True,True,True,True,True,True,34,587,587,587,587,,,True
sim_00148,148,final_data_processed/sim_00148,True,True,True,True,True,True,34,429,429,429,429,,,True
sim_00149,149,final_data_processed/sim_00149,True,True,True,True,True,True,34,361,361,361,361,,,True
sim_00150,150,final_data_processed/sim_00150,True,True,True,True,True,True,34,381,381,381,381,,,True
sim_00151,151,final_data_processed/sim_00151,True,True,True,True,True,True,34,640,640,640,640,,,True
sim_00152,152,final_data_processed/sim_00152,True,True,True,True,True,True,34,136,136,136,136,,,True
sim_00153,153,final_data_processed/sim_00153,True,True,True,True,True,True,34,299,299,299,299,,,True
sim_00154,154,final_data_processed/sim_00154,True,True,True,True,True,True,34,410,410,410,410,,,True
sim_00155,155,final_data_processed/sim_00155,True,True,True,True,True,True,34,368,368,368,368,,,True
sim_00156,156,final_data_processed/sim_00156,True,True,True,True,True,True,34,190,190,190,190,,,True
sim_00157,157,final_data_processed/sim_00157,True,True,True,True,True,True,34,539,539,539,539,,,True
sim_00158,158,final_data_processed/sim_00158,True,True,True,True,True,True,34,353,353,353,353,,,True
sim_00159,159,final_data_processed/sim_00159,True,True,True,True,True,True,34,316,316,316,316,,,True
sim_00160,160,final_data_processed/sim_00160,True,True,True,True,True,True,34,248,248,248,248,,,True
sim_00161,161,final_data_processed/sim_00161,True,True,True,True,True,True,34,142,142,142,142,,,True
sim_00162,162,final_data_processed/sim_00162,True,True,True,True,True,True,34,191,191,191,191,,,True
sim_00163,163,final_data_processed/sim_00163,True,True,True,True,True,True,34,219,219,219,219,,,True
sim_00164,164,final_data_processed/sim_00164,True,True,True,True,True,True,34,112,112,112,112,,,True
