method_left,method_right,budget,top1_agreement,top5_jaccard,top10_jaccard
M3_SMOCU_APPROX,M3_SUR_APPROX,32,0.35,0.49166666666666664,0.4873069319741146
M3_SMOCU_APPROX,M3_SUR_APPROX,40,0.34,0.3936507936507936,0.42773360454475
M3_SMOCU_APPROX,M3_SUR_APPROX,60,0.14,0.21761904761904763,0.22501423069534524
M3_SMOCU_APPROX,M3_SUR_APPROX,80,0.4,0.4824603174603175,0.5145873442003474
M3_SMOCU_APPROX,M3_TMES_GSUR,16,0.59,0.5534523809523809,0.4949542605657157
M3_SMOCU_APPROX,M3_TMES_GSUR,24,0.39,0.38932539682539685,0.42847386961164047
M3_SMOCU_APPROX,M3_TMES_GSUR,32,0.44,0.4751587301587301,0.465366445559944
M3_SMOCU_APPROX,M3_TMES_GSUR,40,0.52,0.4436507936507937,0.43101846553858936
M3_SMOCU_APPROX,M3_TMES_GSUR,60,0.09,0.10849206349206347,0.12660239399403486
M3_SMOCU_APPROX,M3_TMES_GSUR,80,0.03,0.04777777777777778,0.04795427482733985
M3_SMOCU_APPROX,PA_TVR_CANDIDATE,16,0.2,0.3709126984126984,0.4712273708403739
M3_SMOCU_APPROX,PA_TVR_CANDIDATE,24,0.12,0.17261904761904762,0.22588671304615576
M3_SMOCU_APPROX,PA_TVR_CANDIDATE,32,0.14,0.2290873015873016,0.27079567663158993
M3_SMOCU_APPROX,PA_TVR_CANDIDATE,40,0.32,0.21539682539682536,0.2697131154019699
M3_SMOCU_APPROX,PA_TVR_CANDIDATE,60,0.03,0.06638888888888889,0.07839987411968835
M3_SMOCU_APPROX,PA_TVR_CANDIDATE,80,0.02,0.044404761904761905,0.04639854727316028
M3_STRADDLE,M3_EMI,16,0.89,0.8509126984126983,0.7707317794005101
M3_STRADDLE,M3_EMI,24,0.79,0.822857142857143,0.8403668261562999
M3_STRADDLE,M3_EMI,32,0.86,0.8661904761904762,0.9074960127591707
M3_STRADDLE,M3_EMI,40,0.87,0.9042857142857144,0.9466666666666668
M3_STRADDLE,M3_EMI,60,0.84,0.7183730158730158,0.7691243843875423
M3_STRADDLE,M3_EMI,80,0.72,0.6067857142857143,0.6635797535797536
M3_STRADDLE,M3_SMOCU_APPROX,16,0.62,0.5866269841269841,0.600436074932979
M3_STRADDLE,M3_SMOCU_APPROX,24,0.35,0.368452380952381,0.3790882260154706
M3_STRADDLE,M3_SMOCU_APPROX,32,0.5,0.4582142857142857,0.43225510385727106
M3_STRADDLE,M3_SMOCU_APPROX,40,0.56,0.44976190476190475,0.4366359070925634
M3_STRADDLE,M3_SMOCU_APPROX,60,0.1,0.10456349206349205,0.11614627632429489
M3_STRADDLE,M3_SMOCU_APPROX,80,0.04,0.04206349206349207,0.04980478156174751
M3_STRADDLE,M3_SUR_APPROX,16,0.37,0.46742063492063496,0.5700339443837896
M3_STRADDLE,M3_SUR_APPROX,24,0.4,0.39932539682539686,0.45174598964846646
M3_STRADDLE,M3_SUR_APPROX,32,0.4,0.47757936507936505,0.5538282709722339
M3_STRADDLE,M3_SUR_APPROX,40,0.4,0.4244047619047619,0.5427879593746466
M3_STRADDLE,M3_SUR_APPROX,60,0.24,0.3698412698412698,0.40422198200835974
M3_STRADDLE,M3_SUR_APPROX,80,0.16,0.17825396825396825,0.21002871053954647
M3_STRADDLE,M3_TMES_GSUR,16,0.82,0.7697222222222223,0.7380045066732372
M3_STRADDLE,M3_TMES_GSUR,24,0.65,0.7426587301587301,0.7966505424400161
M3_STRADDLE,M3_TMES_GSUR,32,0.75,0.8357142857142857,0.8762572515204095
M3_STRADDLE,M3_TMES_GSUR,40,0.77,0.8272619047619049,0.8919114219114219
M3_STRADDLE,M3_TMES_GSUR,60,0.8,0.6973015873015872,0.7611257163888743
M3_STRADDLE,M3_TMES_GSUR,80,0.74,0.6176190476190476,0.6699200799200798
M3_STRADDLE,PA_TVR_CANDIDATE,16,0.25,0.5032539682539682,0.6570169733946823
M3_STRADDLE,PA_TVR_CANDIDATE,24,0.36,0.46785714285714286,0.5723011302423068
M3_STRADDLE,PA_TVR_CANDIDATE,32,0.31,0.4361904761904762,0.533421235627118
M3_STRADDLE,PA_TVR_CANDIDATE,40,0.42,0.3663095238095238,0.507258558435029
M3_STRADDLE,PA_TVR_CANDIDATE,60,0.36,0.44317460317460317,0.5031342513695455
M3_STRADDLE,PA_TVR_CANDIDATE,80,0.46,0.5044047619047619,0.6118539793539793
M3_SUR_APPROX,M3_TMES_GSUR,16,0.3,0.40492063492063496,0.45276927578785164
M3_SUR_APPROX,M3_TMES_GSUR,24,0.46,0.4600793650793651,0.5171599676553237
M3_SUR_APPROX,M3_TMES_GSUR,32,0.44,0.510079365079365,0.5917469458645929
M3_SUR_APPROX,M3_TMES_GSUR,40,0.45,0.44186507936507935,0.553824373940473
M3_SUR_APPROX,M3_TMES_GSUR,60,0.26,0.37170634920634915,0.43333429985906763
M3_SUR_APPROX,M3_TMES_GSUR,80,0.13,0.19134920634920632,0.2112370859274884
M3_SUR_APPROX,PA_TVR_CANDIDATE,16,0.17,0.38376984126984126,0.5185130469805392
M3_SUR_APPROX,PA_TVR_CANDIDATE,24,0.26,0.2944047619047619,0.3519445853424182
M3_SUR_APPROX,PA_TVR_CANDIDATE,32,0.25,0.33797619047619043,0.41627147276528076
M3_SUR_APPROX,PA_TVR_CANDIDATE,40,0.29,0.27404761904761904,0.4427737252427655
M3_SUR_APPROX,PA_TVR_CANDIDATE,60,0.21,0.29408730158730156,0.36704766166066477
M3_SUR_APPROX,PA_TVR_CANDIDATE,80,0.13,0.16313492063492063,0.1979866847978303
M3_TMES_GSUR,PA_TVR_CANDIDATE,16,0.2,0.4051190476190476,0.4714431466366451
M3_TMES_GSUR,PA_TVR_CANDIDATE,24,0.29,0.37876984126984126,0.4997658877070642
M3_TMES_GSUR,PA_TVR_CANDIDATE,32,0.29,0.45825396825396825,0.5233537824404697
M3_TMES_GSUR,PA_TVR_CANDIDATE,40,0.52,0.40757936507936504,0.5352279583161936
M3_TMES_GSUR,PA_TVR_CANDIDATE,60,0.43,0.576031746031746,0.5983239593224113
M3_TMES_GSUR,PA_TVR_CANDIDATE,80,0.62,0.6127380952380952,0.731948051948052
