run_id,repeat,fold,budget,revealed_count,candidate_count,revealed_prefix_sha256,source
w85__r02_f01,2,1,80,80,244,3798d6e01cb3fcbd076c84e9743af432d2ddfe27e0c781a704fbca6922ada3c2,Phase 1.14 published M3-margin path
w85__r02_f02,2,2,16,16,308,4fbe946aba362ca00d894cb04d5a21c778d67f350021e19871b85c9befa78f52,Phase 1.14 published M3-margin path
w85__r02_f02,2,2,24,24,300,a736f6bc3196afb9b23e9941f88b59b33ed6b087338564702a919e5d90f316ec,Phase 1.14 published M3-margin path
w85__r02_f02,2,2,32,32,292,bacd2ea5aaf6e40bd8f3c77845b17b4a5a53844444203592bb96511bda2dd789,Phase 1.14 published M3-margin path
w85__r02_f02,2,2,40,40,284,8b1d8a5915f33efbdf8f22d2fd2669a71f1dde3af6e907363a2923187dc1f114,Phase 1.14 published M3-margin path
w85__r02_f02,2,2,60,60,264,edc1b3289b49afcb8bb72140d594544f29bfcab0ea06145913987c0ecccb36ee,Phase 1.14 published M3-margin path
w85__r02_f02,2,2,80,80,244,b7fe4ef2ee3b0df1717baf4f51ae95e55a6a49b335bf2dbc3cc48bb331caec5f,Phase 1.14 published M3-margin path
w85__r02_f03,2,3,16,16,308,7cca714e3c65f8455c957a1d03c263fc7dbb0dca9e6c2610fc15b91926d6c45d,Phase 1.14 published M3-margin path
w85__r02_f03,2,3,24,24,300,3250106459084a220f75ea7c1a2d07376e8dfbeb6efe1e05dbbaeed17a9542e6,Phase 1.14 published M3-margin path
w85__r02_f03,2,3,32,32,292,91383783350da40a9b898f81ed01c4a0dff2f74b86e0eeab98d58702f2057c7d,Phase 1.14 published M3-margin path
w85__r02_f03,2,3,40,40,284,3050902639dc4c4644ea630ea530f3a0c4a84a53a34b99b0c9e447ca029b80e4,Phase 1.14 published M3-margin path
w85__r02_f03,2,3,60,60,264,dd37ce3cb00dc87286894bc4d1b223df9f65098b972ace183a7749986cd09b54,Phase 1.14 published M3-margin path
w85__r02_f03,2,3,80,80,244,d7a47108ead004f0ba3aead02bf40a24f7e4d735a487b9887c30f0143b78da2b,Phase 1.14 published M3-margin path
w85__r02_f04,2,4,16,16,308,2681061b0c8a7234993bc735a7fcc77aec96a18d96dc36e8093f8ebb9f2252ff,Phase 1.14 published M3-margin path
w85__r02_f04,2,4,24,24,300,06a7af1e6cb72b4e11f66c40b569d971b1f564e505742f19ffd240ef1c05e200,Phase 1.14 published M3-margin path
w85__r02_f04,2,4,32,32,292,70da35bf9ae9de8a8b5b7eaad0714225c96edac7f11758b6dcd414ccb34f2050,Phase 1.14 published M3-margin path
w85__r02_f04,2,4,40,40,284,6df919c524325ca329db75ded737dc7db1a791fe3b28d35e5b1fa501950db490,Phase 1.14 published M3-margin path
w85__r02_f04,2,4,60,60,264,1e84b73334217291a8a217ab1caa126365cbd76cea66308722c4f0a604bc6561,Phase 1.14 published M3-margin path
w85__r02_f04,2,4,80,80,244,96ad3adbbf33d223ddd2867802115bdd956448486895ae30c65cad4463c8512b,Phase 1.14 published M3-margin path
w85__r02_f05,2,5,16,16,308,ec237c44b2b5a61afe9568742c9e54896d47057ac5f40cccf0da0ae026adc386,Phase 1.14 published M3-margin path
w85__r02_f05,2,5,24,24,300,dafbb7bf2bde89fd8b1196e62682fd258b6f4e38828a1ce64422eff6171e1425,Phase 1.14 published M3-margin path
w85__r02_f05,2,5,32,32,292,1d3263f28a7a907bb89f19e0097d3b0b6ab0841d5eba21f54b73e6cb527d51e8,Phase 1.14 published M3-margin path
w85__r02_f05,2,5,40,40,284,49eebee70aa972b0ec480a1bc44757d72064fbf900a5a65e6d1cb2f4de8b1b9d,Phase 1.14 published M3-margin path
w85__r02_f05,2,5,60,60,264,b9d843d7a092e08e917a3e09f2f0c252c53725464a46082413de4d33ce19f814,Phase 1.14 published M3-margin path
w85__r02_f05,2,5,80,80,244,60c4d781b0c70466d46817e977c1b6e4f035b8e06d44ed16f830e72c50639a77,Phase 1.14 published M3-margin path
w85__r03_f01,3,1,16,16,308,39b5200902d16361b73181df1cc1c433815e8a3d438a78525b1d17f79b3e7e79,Phase 1.14 published M3-margin path
w85__r03_f01,3,1,24,24,300,ca21f0206dfcf51c7c2a4eeb6ac81b5317c5e75ba52a717a71fed8d634c0c763,Phase 1.14 published M3-margin path
w85__r03_f01,3,1,32,32,292,07e631b4bfb42e06f7a2f72c27d6bd48a059d4bfc492d15d79a5161123181623,Phase 1.14 published M3-margin path
w85__r03_f01,3,1,40,40,284,f3b6c39c6fac0cc1135259eef352f14fbbb8943c61b99cf3a48b0a15bb612bb1,Phase 1.14 published M3-margin path
w85__r03_f01,3,1,60,60,264,d257b2a7ffdb8b37db42a772e24ce6645c769c4a0b1878c52cfee4ec5e1eb039,Phase 1.14 published M3-margin path
w85__r03_f01,3,1,80,80,244,3e6d957e7131febc2980962c80bba05200e188563259a4285329723362017933,Phase 1.14 published M3-margin path
w85__r03_f02,3,2,16,16,308,83b88d4fc937985eef0e7633441037276d1f2594e4b398c337b309b31a92d3f3,Phase 1.14 published M3-margin path
w85__r03_f02,3,2,24,24,300,0eee2462f46ea76fea4b1963381d7976d7c8ddf64a7eb6a6f2355714b6e1150c,Phase 1.14 published M3-margin path
w85__r03_f02,3,2,32,32,292,f3556143f53d6ede2be9273716a2bb94545c1ca118bf67dd4fa2ffb89e7104f5,Phase 1.14 published M3-margin path
w85__r03_f02,3,2,40,40,284,c1d23b80472a94ac13978f4a38f5d0a522b25a8709deb545d2165089d81af785,Phase 1.14 published M3-margin path
w85__r03_f02,3,2,60,60,264,0a8398679c15be37145fccb41caae6590827a46b17c9b8743d429b32094e0c94,Phase 1.14 published M3-margin path
w85__r03_f02,3,2,80,80,244,7e4b1eaea2166a3bd77c72b0bbd742d69cebf020ada74632abea7893238f8224,Phase 1.14 published M3-margin path
