endpoint,repeat,delta_AULC
B1_q20_AULC_16_80,1,0.025643382352941214
B1_q20_AULC_16_80,2,0.0022977941176469453
B1_q20_AULC_16_80,3,0.020404411764705845
B1_q20_AULC_16_80,4,0.057720588235294225
B1_q20_AULC_16_80,5,0.032261029411764675
B1_q20_AULC_16_80,6,0.0013786764705882026
B1_q20_AULC_16_80,7,0.01645220588235301
B1_q20_AULC_16_80,8,0.02261029411764719
B1_q20_AULC_16_80,9,0.015624999999999934
B1_q20_AULC_16_80,10,0.0321691176470589
B1_q20_AULC_16_80,11,0.014889705882352966
B1_q20_AULC_16_80,12,0.0289522058823529
B1_q20_AULC_16_80,13,0.002022058823529327
B1_q20_AULC_16_80,14,0.010018382352941191
B1_q20_AULC_16_80,15,0.014154411764705933
B1_q20_AULC_16_80,16,0.018382352941176384
B1_q20_AULC_16_80,17,-0.0019301470588235948
B1_q20_AULC_16_80,18,0.03106617647058829
B1_q20_AULC_16_80,19,0.03474264705882357
B1_q20_AULC_16_80,20,0.021507352941176405
B1_q30_AULC_16_80,1,0.022812500000000013
B1_q30_AULC_16_80,2,-0.0023749999999999718
B1_q30_AULC_16_80,3,0.005125000000000002
B1_q30_AULC_16_80,4,0.036687499999999984
B1_q30_AULC_16_80,5,0.023562500000000042
B1_q30_AULC_16_80,6,-0.010187499999999993
B1_q30_AULC_16_80,7,0.009562499999999963
B1_q30_AULC_16_80,8,0.013624999999999998
B1_q30_AULC_16_80,9,-0.0022500000000000185
B1_q30_AULC_16_80,10,0.019249999999999944
B1_q30_AULC_16_80,11,0.007562499999999983
B1_q30_AULC_16_80,12,0.01981250000000001
B1_q30_AULC_16_80,13,-0.0033749999999999948
B1_q30_AULC_16_80,14,0.008125000000000049
B1_q30_AULC_16_80,15,0.007999999999999985
B1_q30_AULC_16_80,16,0.007437499999999963
B1_q30_AULC_16_80,17,-0.0010624999999999662
B1_q30_AULC_16_80,18,0.01031249999999997
B1_q30_AULC_16_80,19,0.02706249999999997
B1_q30_AULC_16_80,20,0.019124999999999993
