simulation_id,numeric_simulation_id,P,VX,LS,ST,melt_pool_depth_below_surface_selected_primary_scalar_target_m,depth_target_um,flag_primary_window_unstable,depth_bootstrap_variance_um2,depth_bootstrap_std_um,fold_index
sim_00001,1,101.127472137,0.52394730996,4.5e-05,300.0,5.071019e-05,50.71019,False,6.512842791292598e-05,0.0080702185790055,0
sim_00003,3,105.276295276,0.639039009111,7.6636834293e-05,367.44858305,3.4838855e-05,34.838855,False,1.807768422805676e-05,0.0042517860044993,1
sim_00004,4,107.176159755,0.320752066655,8.75302281584e-05,393.859643937,4.6715575e-05,46.715575,False,0.0002446138800997,0.0156401368312364,2
sim_00005,5,109.759946449,0.241926176876,4.5e-05,300.0,6.661901499999999e-05,66.61901499999999,False,3.4078284514125565e-05,0.0058376608769374,3
sim_00007,7,110.642328299,0.274154737479,7.4676600105e-05,358.612942181,5.078583e-05,50.78583,False,4.354413964328403e-06,0.0020867232601206,4
sim_00008,8,112.428225508,0.704865651228,6.30987392704e-05,309.241492678,3.868263e-05,38.68263,False,0.0004122693581607,0.0203044172081032,5
sim_00009,9,112.904894498,0.537693260466,4.63068354409e-05,322.169166627,5.458924e-05,54.58924,False,3.72947086712413e-05,0.0061069393865701,6
sim_00010,10,113.286681534,0.56768277259,5.80401726566e-05,302.148970527,4.68229e-05,46.822900000000004,False,4.299951525160583e-05,0.0065574015624792,7
sim_00011,11,114.820217584,0.948189613582,6.03705790634e-05,353.560035146,3.480239e-05,34.802389999999995,False,2.1948826091783508e-05,0.0046849574268912,8
sim_00012,12,115.281467344,0.424433079834,5.4086019252e-05,352.652659088,5.470013e-05,54.700129999999994,False,2.080303727294713e-05,0.004561034671316,9
sim_00013,13,116.440418649,0.621036488786,7.33150072515e-05,327.034160515,3.869279e-05,38.69279,False,0.001219447172731,0.0349205837971111,10
sim_00014,14,116.693370328,0.231004403842,8.2871053211e-05,317.198938228,5.081113e-05,50.81113,False,1.2096800618838152e-05,0.0034780455170739,11
sim_00015,15,118.4900546,0.535113778256,4.79907961621e-05,385.412174328,4.677987e-05,46.77987,False,0.0007287942051699,0.0269961887156304,12
sim_00016,16,119.65849417,0.305673131798,5.10692886867e-05,393.327897391,5.4776695e-05,54.776695,False,6.083643316533841e-06,0.0024665042705281,13
sim_00017,17,122.148440758,0.768953415756,4.5e-05,300.0,5.05307e-05,50.5307,False,3.487642706653264e-05,0.0059056267293601,14
sim_00019,19,123.578555013,0.413960648538,5.40122226787e-05,380.745973079,5.47679e-05,54.767900000000004,False,2.5077667630860952e-05,0.0050077607401772,15
sim_00020,20,124.939831153,0.895565001264,4.79284796095e-05,395.904294171,4.280561e-05,42.80561,False,8.797526097956016e-05,0.0093795128327413,16
sim_00021,21,126.228008246,0.201684842681,4.5e-05,300.0,7.479356e-05,74.79356,False,1.3213568205896191,1.14950285801716,17
sim_00022,22,126.429096271,0.381791494837,8.54596605095e-05,336.470624887,5.078823e-05,50.78823,False,1.0943639912926078e-05,0.0033081172761747,18
