repeat,fold,run_id,arm,budget,subset,accuracy,balanced_accuracy,keyhole_recall,specificity,false_negative,false_positive,true_negative,true_positive,row_count,continuations_averaged_within_fold
1,1,w85__r01_f01,binary_margin,40,B1_q20,0.8235294117647058,0.8071428571428572,0.7142857142857143,0.9,2.0,1.0,9.0,5.0,17.0,1
1,1,w85__r01_f01,binary_margin,40,B1_q30,0.88,0.8455882352941176,0.75,0.9411764705882353,2.0,1.0,16.0,6.0,25.0,1
1,1,w85__r01_f01,binary_margin,40,full81,0.9506172839506173,0.8924242424242425,0.8,0.9848484848484849,3.0,1.0,65.0,12.0,81.0,1
1,1,w85__r01_f01,binary_margin,80,B1_q20,0.8235294117647058,0.8071428571428572,0.7142857142857143,0.9,2.0,1.0,9.0,5.0,17.0,1
1,1,w85__r01_f01,binary_margin,80,B1_q30,0.88,0.8455882352941176,0.75,0.9411764705882353,2.0,1.0,16.0,6.0,25.0,1
1,1,w85__r01_f01,binary_margin,80,full81,0.9629629629629629,0.9257575757575758,0.8666666666666667,0.9848484848484849,2.0,1.0,65.0,13.0,81.0,1
1,1,w85__r01_f01,binary_margin,160,B1_q20,0.8823529411764706,0.8571428571428572,0.7142857142857143,1.0,2.0,0.0,10.0,5.0,17.0,1
1,1,w85__r01_f01,binary_margin,160,B1_q30,0.92,0.875,0.75,1.0,2.0,0.0,17.0,6.0,25.0,1
1,1,w85__r01_f01,binary_margin,160,full81,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,2.0,0.0,66.0,13.0,81.0,1
1,1,w85__r01_f01,binary_margin,320,B1_q20,0.8235294117647058,0.8071428571428572,0.7142857142857143,0.9,2.0,1.0,9.0,5.0,17.0,1
1,1,w85__r01_f01,binary_margin,320,B1_q30,0.88,0.8455882352941176,0.75,0.9411764705882353,2.0,1.0,16.0,6.0,25.0,1
1,1,w85__r01_f01,binary_margin,320,full81,0.9629629629629629,0.9257575757575758,0.8666666666666667,0.9848484848484849,2.0,1.0,65.0,13.0,81.0,1
1,1,w85__r01_f01,binary_random,40,B1_q20,0.8176470588235294,0.78,0.5666666666666667,0.9933333333333334,3.033333333333333,0.06666666666666667,9.933333333333334,3.966666666666667,17.0,30
1,1,w85__r01_f01,binary_random,40,B1_q30,0.8626666666666666,0.7876225490196078,0.5791666666666667,0.996078431372549,3.3666666666666667,0.06666666666666667,16.933333333333334,4.633333333333334,25.0,30
1,1,w85__r01_f01,binary_random,40,full81,0.9452674897119342,0.8556565656565656,0.7133333333333333,0.997979797979798,4.3,0.13333333333333333,65.86666666666666,10.7,81.0,30
1,1,w85__r01_f01,binary_random,80,B1_q20,0.8352941176470589,0.8057142857142857,0.638095238095238,0.9733333333333333,2.533333333333333,0.26666666666666666,9.733333333333333,4.466666666666667,17.0,30
1,1,w85__r01_f01,binary_random,80,B1_q30,0.8866666666666667,0.8317401960784314,0.6791666666666667,0.9843137254901961,2.566666666666667,0.26666666666666666,16.733333333333334,5.433333333333334,25.0,30
1,1,w85__r01_f01,binary_random,80,full81,0.9493827160493827,0.8727777777777778,0.7511111111111111,0.9944444444444444,3.7333333333333334,0.36666666666666664,65.63333333333334,11.266666666666667,81.0,30
1,1,w85__r01_f01,binary_random,160,B1_q20,0.8509803921568627,0.8269047619047619,0.6904761904761905,0.9633333333333333,2.1666666666666665,0.36666666666666664,9.633333333333333,4.833333333333333,17.0,30
