repeat,model,subset,accuracy_AULC_16_80
13,G1,B1_q20,0.8303308823529412
13,G1,B1_q30,0.8801874999999999
13,G2,B1_q20,0.7858455882352942
13,G2,B1_q30,0.8324999999999999
13,G3,B1_q20,0.8047794117647058
13,G3,B1_q30,0.8483124999999999
13,G4,B1_q20,0.8306066176470587
13,G4,B1_q30,0.88025
13,H,B1_q20,0.8252757352941176
13,H,B1_q30,0.867625
14,G0,B1_q20,0.8132352941176471
14,G0,B1_q30,0.8686874999999998
14,G1,B1_q20,0.799264705882353
14,G1,B1_q30,0.8608749999999998
14,G2,B1_q20,0.8084558823529413
14,G2,B1_q30,0.8504999999999999
14,G3,B1_q20,0.8325367647058824
14,G3,B1_q30,0.8707499999999999
14,G4,B1_q20,0.8027573529411764
14,G4,B1_q30,0.862125
14,H,B1_q20,0.8226102941176471
14,H,B1_q30,0.8699375
15,G0,B1_q20,0.8151654411764706
15,G0,B1_q30,0.8679375
15,G1,B1_q20,0.8127757352941177
15,G1,B1_q30,0.8654375
15,G2,B1_q20,0.8308823529411764
15,G2,B1_q30,0.873
15,G3,B1_q20,0.8314338235294118
15,G3,B1_q30,0.8690625000000001
15,G4,B1_q20,0.8084558823529413
15,G4,B1_q30,0.8628750000000001
15,H,B1_q20,0.8234375
15,H,B1_q30,0.8706250000000001
16,G0,B1_q20,0.823529411764706
16,G0,B1_q30,0.8779375
16,G1,B1_q20,0.8167279411764706
16,G1,B1_q30,0.8726875
16,G2,B1_q20,0.8409007352941178
16,G2,B1_q30,0.8867499999999999
16,G3,B1_q20,0.8402573529411764
16,G3,B1_q30,0.8873749999999999
16,G4,B1_q20,0.8210477941176471
16,G4,B1_q30,0.87575
16,H,B1_q20,0.8444852941176471
16,H,B1_q30,0.8791874999999999
17,G0,B1_q20,0.8521139705882353
17,G0,B1_q30,0.8873125
17,G1,B1_q20,0.8451286764705882
17,G1,B1_q30,0.883625
17,G2,B1_q20,0.8271139705882353
17,G2,B1_q30,0.8659375
17,G3,B1_q20,0.8392463235294118
17,G3,B1_q30,0.874875
17,G4,B1_q20,0.8540441176470589
17,G4,B1_q30,0.8889999999999999
17,H,B1_q20,0.8378676470588233
17,H,B1_q30,0.8731249999999999
18,G0,B1_q20,0.7946691176470587
18,G0,B1_q30,0.8536875
18,G1,B1_q20,0.8090992647058822
18,G1,B1_q30,0.8606874999999998
18,G2,B1_q20,0.8079044117647058
18,G2,B1_q30,0.8539375
18,G3,B1_q20,0.8089154411764706
18,G3,B1_q30,0.8553749999999999
18,G4,B1_q20,0.8039522058823529
18,G4,B1_q30,0.858
18,H,B1_q20,0.8390625
18,H,B1_q30,0.8680625
19,G0,B1_q20,0.8023897058823529
19,G0,B1_q30,0.85125
19,G1,B1_q20,0.8005514705882353
19,G1,B1_q30,0.8441875
19,G2,B1_q20,0.800091911764706
19,G2,B1_q30,0.8473749999999999
19,G3,B1_q20,0.8178308823529411
19,G3,B1_q30,0.861375
19,G4,B1_q20,0.8060661764705882
19,G4,B1_q30,0.852375
19,H,B1_q20,0.8309742647058824
19,H,B1_q30,0.8699999999999999
20,G0,B1_q20,0.8120404411764707
20,G0,B1_q30,0.86675
20,G1,B1_q20,0.8117647058823529
20,G1,B1_q30,0.8660625
20,G2,B1_q20,0.8434742647058823
20,G2,B1_q30,0.8858749999999999
20,G3,B1_q20,0.8485294117647058
20,G3,B1_q30,0.8899374999999999
20,G4,B1_q20,0.811029411764706
20,G4,B1_q30,0.8654375
20,H,B1_q20,0.8354779411764707
20,H,B1_q30,0.8851875
