model,subset,budget,metric,mean,ci_lower,ci_upper
G0,B1_q20,16,accuracy,0.7317647058823529,0.7141176470588233,0.75
G0,B1_q20,16,balanced_accuracy,0.6861943473193473,0.6596960744116995,0.7133508286852038
G0,B1_q20,16,keyhole_recall,0.4974920634920636,0.43162569444444443,0.5646050595238096
G0,B1_q20,16,conduction_recall,0.8748966311466312,0.8511110216172716,0.899834056915307
G0,B1_q20,16,false_negative,3.28,2.88,3.7
G0,B1_q20,16,false_positive,1.2800000000000002,1.04,1.53
G1,B1_q20,16,accuracy,0.7405882352941175,0.7235294117647058,0.7588235294117647
G1,B1_q20,16,balanced_accuracy,0.6958899850149849,0.6696705513236765,0.7227317821067821
G1,B1_q20,16,keyhole_recall,0.5103650793650794,0.4436409722222222,0.5757744047619047
G1,B1_q20,16,conduction_recall,0.8814148906648906,0.8564390435952934,0.9065507978132977
G1,B1_q20,16,false_negative,3.19,2.7800000000000002,3.6100000000000003
G1,B1_q20,16,false_positive,1.2200000000000002,0.9600000000000002,1.48
G2,B1_q20,16,accuracy,0.7223529411764706,0.7041176470588234,0.7405882352941175
G2,B1_q20,16,balanced_accuracy,0.6860749389499388,0.6658367732961481,0.7069403398684648
G2,B1_q20,16,keyhole_recall,0.5242023809523809,0.4747601190476191,0.5754833333333332
G2,B1_q20,16,conduction_recall,0.8479474969474972,0.8136964056776556,0.8783310973748475
G2,B1_q20,16,false_negative,3.1599999999999997,2.8400000000000003,3.4799999999999995
G2,B1_q20,16,false_positive,1.56,1.27,1.8800000000000001
G3,B1_q20,16,accuracy,0.7235294117647059,0.7047058823529411,0.74
G3,B1_q20,16,balanced_accuracy,0.6849286546786547,0.6654413867382617,0.7042904765373517
G3,B1_q20,16,keyhole_recall,0.5250714285714286,0.4754076388888888,0.5760608134920635
G3,B1_q20,16,conduction_recall,0.8447858807858808,0.7980850094350094,0.8819036414973916
G3,B1_q20,16,false_negative,3.13,2.8299999999999996,3.44
G3,B1_q20,16,false_positive,1.5699999999999998,1.21975,2.0
G4,B1_q20,16,accuracy,0.7388235294117648,0.7223529411764705,0.7564705882352941
G4,B1_q20,16,balanced_accuracy,0.694139985014985,0.6693211736180485,0.7214832927489176
G4,B1_q20,16,keyhole_recall,0.5081428571428572,0.4425738095238096,0.5726352182539683
G4,B1_q20,16,conduction_recall,0.8801371128871128,0.8550370795870796,0.9059911047286046
G4,B1_q20,16,false_negative,3.21,2.79,3.63
G4,B1_q20,16,false_positive,1.2300000000000002,0.97,1.4900000000000002
H,B1_q20,16,accuracy,0.7864705882352943,0.7700000000000001,0.8023529411764707
H,B1_q20,16,balanced_accuracy,0.7713169885669886,0.7537286543317793,0.7882608932733932
H,B1_q20,16,keyhole_recall,0.7193690476190476,0.6679152777777777,0.7692315476190477
H,B1_q20,16,conduction_recall,0.8232649295149294,0.7913468045843045,0.856431449106449
H,B1_q20,16,false_negative,1.8,1.48,2.13
H,B1_q20,16,false_positive,1.83,1.48,2.19
