model,subset,budget,metric,mean,ci_lower,ci_upper
G0,B1_q20,40,accuracy,0.8170588235294118,0.8058823529411766,0.8276470588235295
G0,B1_q20,40,balanced_accuracy,0.7971125124875125,0.7835195634226885,0.8091688405344654
G0,B1_q20,40,keyhole_recall,0.7110436507936508,0.6831777777777777,0.7369686507936508
G0,B1_q20,40,conduction_recall,0.8831813741813743,0.8672336524586525,0.8980651161338662
G0,B1_q20,80,accuracy,0.8329411764705883,0.8211764705882354,0.8441176470588235
G0,B1_q20,80,balanced_accuracy,0.8130964590964591,0.800888706085581,0.8245532908064159
G0,B1_q20,80,keyhole_recall,0.7323809523809524,0.7095502976190476,0.754650992063492
G0,B1_q20,80,conduction_recall,0.8938119658119659,0.8813699203574205,0.9066848290598292
G1,B1_q20,40,accuracy,0.8211764705882354,0.8076470588235296,0.8341176470588236
G1,B1_q20,40,balanced_accuracy,0.8007690781440783,0.7874978074009324,0.8135060789904539
G1,B1_q20,40,keyhole_recall,0.7078214285714285,0.6858486111111112,0.7295994047619047
G1,B1_q20,40,conduction_recall,0.8937167277167278,0.8751356733544233,0.9104055298867798
G1,B1_q20,80,accuracy,0.8323529411764706,0.8258823529411765,0.8394117647058824
G1,B1_q20,80,balanced_accuracy,0.8080788378288378,0.8016158445720946,0.8146376488095238
G1,B1_q20,80,keyhole_recall,0.7098492063492063,0.6958053571428572,0.7237105158730158
G1,B1_q20,80,conduction_recall,0.9063084693084693,0.8970100233100232,0.9154747329059829
G2,B1_q20,40,accuracy,0.8200000000000001,0.803529411764706,0.8370588235294119
G2,B1_q20,40,balanced_accuracy,0.8013703518703519,0.7834343292124542,0.8194219194000445
G2,B1_q20,40,keyhole_recall,0.7258253968253969,0.6956027777777779,0.75414375
G2,B1_q20,40,conduction_recall,0.8769153069153066,0.8533168366355867,0.8983521221833723
G2,B1_q20,80,accuracy,0.8552941176470588,0.8464705882352941,0.863529411764706
G2,B1_q20,80,balanced_accuracy,0.8335446775446776,0.8233633283383281,0.8432420426795427
G2,B1_q20,80,keyhole_recall,0.7531111111111113,0.7359083333333334,0.770199007936508
G2,B1_q20,80,conduction_recall,0.913978243978244,0.9007989267676767,0.9256691919191917
G3,B1_q20,40,accuracy,0.825294117647059,0.8135147058823531,0.8382352941176471
G3,B1_q20,40,balanced_accuracy,0.809377788877789,0.7955163909007659,0.8238011956793208
G3,B1_q20,40,keyhole_recall,0.7473214285714286,0.7192578373015872,0.7737741071428572
G3,B1_q20,40,conduction_recall,0.8714341491841491,0.854724796037296,0.8869573426573427
G3,B1_q20,80,accuracy,0.8570588235294118,0.8458823529411765,0.8676470588235295
G3,B1_q20,80,balanced_accuracy,0.8382195304695303,0.8258500981657231,0.8506710744116993
G3,B1_q20,80,keyhole_recall,0.764373015873016,0.7449125,0.7836906746031745
G3,B1_q20,80,conduction_recall,0.9120660450660452,0.8995603389665888,0.9235660984848486
G4,B1_q20,40,accuracy,0.8223529411764707,0.8123529411764707,0.8311764705882354
G4,B1_q20,40,balanced_accuracy,0.8029615384615385,0.7925058729464979,0.8133069805194804
G4,B1_q20,40,keyhole_recall,0.7187896825396825,0.6953047619047619,0.7421510912698411
G4,B1_q20,40,conduction_recall,0.8871333943833944,0.8750626255688755,0.8990527541902542
G4,B1_q20,80,accuracy,0.8282352941176472,0.8211764705882354,0.8364705882352942
G4,B1_q20,80,balanced_accuracy,0.806189948939949,0.7981420801420802,0.8147156992313241
G4,B1_q20,80,keyhole_recall,0.716515873015873,0.6995871031746034,0.7329882936507935
G4,B1_q20,80,conduction_recall,0.8958640248640248,0.8861372086247086,0.9062959061771564
H,B1_q20,40,accuracy,0.8358823529411765,0.8288235294117647,0.8429411764705883
H,B1_q20,40,balanced_accuracy,0.8193412837162837,0.8123620598151848,0.827031571900322
H,B1_q20,40,keyhole_recall,0.7457499999999999,0.733,0.7589127976190477
H,B1_q20,40,conduction_recall,0.8929325674325673,0.8808870747308247,0.904302204045954
H,B1_q20,80,accuracy,0.8341176470588236,0.8288235294117647,0.8388235294117647
H,B1_q20,80,balanced_accuracy,0.8104528665778666,0.8019788347069599,0.8186373331529582
H,B1_q20,80,keyhole_recall,0.7117579365079365,0.6940750992063492,0.7291078373015872
H,B1_q20,80,conduction_recall,0.9091477966477965,0.903228574897325,0.9147764464701964
