contrast,subset,budget,metric,mean_difference,ci_lower,ci_upper
G3-G0,B1_q20,16,accuracy,-0.00823529411764705,-0.036470588235294095,0.015294117647058837
G3-H,B1_q20,16,accuracy,-0.06294117647058821,-0.0929411764705882,-0.0364705882352941
G1-G0,B1_q20,16,accuracy,0.008823529411764706,0.0017647058823529438,0.015897058823529205
G2-G1,B1_q20,16,accuracy,-0.018235294117647058,-0.04176470588235294,0.0029411764705882374
G4-G0,B1_q20,16,accuracy,0.0070588235294117676,0.0029411764705882374,0.011764705882352944
G3-G0,B1_q20,16,balanced_accuracy,-0.0012656926406926438,-0.028708004148629156,0.02292925130425131
G3-H,B1_q20,16,balanced_accuracy,-0.08638833388833388,-0.11403463550338551,-0.060689308608058615
G1-G0,B1_q20,16,balanced_accuracy,0.009695637695637697,0.002551554001554001,0.017014316933066924
G2-G1,B1_q20,16,balanced_accuracy,-0.009815046065046074,-0.03239448051948052,0.010539594433344426
G4-G0,B1_q20,16,balanced_accuracy,0.007945637695637695,0.0031997773060273016,0.013573057844932849
G3-G0,B1_q20,16,keyhole_recall,0.027579365079365082,-0.005798015873015875,0.06340744047619046
G3-H,B1_q20,16,keyhole_recall,-0.19429761904761905,-0.23453690476190478,-0.15346815476190476
G1-G0,B1_q20,16,keyhole_recall,0.012873015873015878,-0.00041716269841269633,0.026980853174603168
G2-G1,B1_q20,16,keyhole_recall,0.013837301587301587,-0.02015962301587302,0.049077281746031716
G4-G0,B1_q20,16,keyhole_recall,0.010650793650793652,-8.035714285706868e-06,0.02422708333333333
G3-G0,B1_q20,16,conduction_recall,-0.030110750360750366,-0.06952658452658451,0.004748631923631904
G3-H,B1_q20,16,conduction_recall,0.02152095127095128,-0.02485400086025084,0.06350174062049062
G1-G0,B1_q20,16,conduction_recall,0.006518259518259512,-0.001565200077700085,0.014649621212121216
G2-G1,B1_q20,16,conduction_recall,-0.03346739371739372,-0.0730779754967255,0.0045876026751026635
G4-G0,B1_q20,16,conduction_recall,0.005240481740481735,-0.0003257818570318603,0.010732905982905976
G3-G0,B1_q20,16,false_negative,-0.15,-0.42000000000000004,0.08
G3-H,B1_q20,16,false_negative,1.3299999999999998,1.0500000000000003,1.6
G1-G0,B1_q20,16,false_negative,-0.09,-0.20000000000000004,0.01
G2-G1,B1_q20,16,false_negative,-0.03000000000000002,-0.29000000000000004,0.20024999999999646
G4-G0,B1_q20,16,false_negative,-0.07,-0.17,2.7755575615628915e-18
G3-G0,B1_q20,16,false_positive,0.29000000000000004,-0.04000000000000003,0.6599999999999999
G3-H,B1_q20,16,false_positive,-0.26,-0.6699999999999999,0.20000000000000004
G1-G0,B1_q20,16,false_positive,-0.06000000000000001,-0.14,0.02
G2-G1,B1_q20,16,false_positive,0.33999999999999997,-0.020000000000000025,0.74
G4-G0,B1_q20,16,false_positive,-0.05,-0.1,0.01
