model,subset,mean_AULC,ci_lower,ci_upper
G0,B1_q20,0.8135202205882353,0.8068197380514707,0.8203815487132354
G0,B1_q30,0.866115625,0.8616371093749999,0.870675078125
G1,B1_q20,0.8128216911764706,0.806438419117647,0.819296875
G1,B1_q30,0.8642156249999999,0.859890390625,0.8685468749999998
G2,B1_q20,0.8226194852941177,0.814669002757353,0.8302389705882354
G2,B1_q30,0.8663281249999999,0.859009375,0.873384765625
G3,B1_q20,0.826594669117647,0.8189428998161765,0.8342603400735293
G3,B1_q30,0.869675,0.8623653906250001,0.8764874999999999
G4,B1_q20,0.8121599264705882,0.805404296875,0.8193843060661764
G4,B1_q30,0.8642656249999998,0.859984375,0.8687782031250001
H,B1_q20,0.8308134191176471,0.8266818704044119,0.8350045955882353
H,B1_q30,0.871596875,0.8687250000000001,0.87433125
