run_id,repeat,fold,model,budget,subset,roc_auc,pr_auc,accuracy,balanced_accuracy,keyhole_recall,conduction_recall,brier_score,false_negative,false_positive,true_negative,true_positive,row_count
w85__r01_f01,1,1,G0,16,full81,0.9969696969696971,0.9888888888888889,0.9135802469135802,0.7666666666666666,0.5333333333333333,1.0,0.06627309973386945,7,0,66,8,81
w85__r01_f01,1,1,G0,16,B1_q30,0.9926470588235294,0.9861111111111112,0.76,0.625,0.25,1.0,0.13632700401116046,6,0,17,2,25
w85__r01_f01,1,1,G0,16,B1_q20,0.9857142857142858,0.982142857142857,0.7058823529411765,0.6428571428571428,0.2857142857142857,1.0,0.16497457475243044,5,0,10,2,17
w85__r01_f01,1,1,G0,40,full81,0.992929292929293,0.9716666666666667,0.9506172839506173,0.8924242424242425,0.8,0.9848484848484849,0.048910846993141556,3,1,65,12,81
w85__r01_f01,1,1,G0,40,B1_q30,0.963235294117647,0.9381313131313131,0.88,0.8455882352941176,0.75,0.9411764705882353,0.09926547169928149,2,1,16,6,25
w85__r01_f01,1,1,G0,40,B1_q20,0.942857142857143,0.9325396825396826,0.8235294117647058,0.8071428571428572,0.7142857142857143,0.9,0.11840727822893558,2,1,9,5,17
w85__r01_f01,1,1,G0,80,full81,0.997979797979798,0.9913888888888889,0.9629629629629629,0.9257575757575758,0.8666666666666667,0.9848484848484849,0.022823839369560034,2,1,65,13,81
w85__r01_f01,1,1,G0,80,B1_q30,0.9852941176470588,0.9704861111111112,0.88,0.8455882352941176,0.75,0.9411764705882353,0.05786666678530739,2,1,16,6,25
w85__r01_f01,1,1,G0,80,B1_q20,0.9714285714285714,0.9617346938775511,0.8235294117647058,0.8071428571428572,0.7142857142857143,0.9,0.08121564702882614,2,1,9,5,17
w85__r01_f02,1,2,G0,16,full81,0.976545842217484,0.9122183372183372,0.9506172839506173,0.9136460554371002,0.8571428571428571,0.9701492537313433,0.08089223080888125,2,2,65,12,81
w85__r01_f02,1,2,G0,16,B1_q30,0.868421052631579,0.7464285714285713,0.88,0.8070175438596491,0.6666666666666666,0.9473684210526315,0.1507989504077033,2,1,18,4,25
w85__r01_f02,1,2,G0,16,B1_q20,0.8166666666666667,0.6885281385281385,0.8235294117647058,0.7583333333333333,0.6,0.9166666666666666,0.17783441630290983,2,1,11,3,17
w85__r01_f02,1,2,G0,40,full81,0.9850746268656716,0.9342181627895914,0.9506172839506173,0.9418976545842217,0.9285714285714286,0.9552238805970149,0.04126077767795802,1,3,64,13,81
w85__r01_f02,1,2,G0,40,B1_q30,0.8947368421052632,0.6988455988455987,0.84,0.8377192982456141,0.8333333333333334,0.8421052631578947,0.11939410195022632,1,3,16,5,25
w85__r01_f02,1,2,G0,40,B1_q20,0.8166666666666667,0.6533333333333333,0.7647058823529411,0.775,0.8,0.75,0.16840918157242368,1,3,9,4,17
w85__r01_f02,1,2,G0,80,full81,0.9904051172707888,0.9566780558377197,0.9506172839506173,0.9418976545842217,0.9285714285714286,0.9552238805970149,0.035248896696954884,1,3,64,13,81
w85__r01_f02,1,2,G0,80,B1_q30,0.9210526315789473,0.7746031746031746,0.84,0.8377192982456141,0.8333333333333334,0.8421052631578947,0.11269501739007234,1,3,16,5,25
w85__r01_f02,1,2,G0,80,B1_q20,0.85,0.6783333333333332,0.7647058823529411,0.775,0.8,0.75,0.16274559829574148,1,3,9,4,17
w85__r01_f03,1,3,G0,16,full81,0.9968017057569296,0.9846415489272632,0.9629629629629629,0.9211087420042643,0.8571428571428571,0.9850746268656716,0.05571157240764102,2,1,66,12,81
w85__r01_f03,1,3,G0,16,B1_q30,0.9761904761904762,0.9379251700680271,0.88,0.8293650793650793,0.7142857142857143,0.9444444444444444,0.1067605201881059,2,1,17,5,25
w85__r01_f03,1,3,G0,16,B1_q20,0.9571428571428572,0.9379251700680271,0.8235294117647058,0.8071428571428572,0.7142857142857143,0.9,0.13201027981464902,2,1,9,5,17
w85__r01_f03,1,3,G0,40,full81,0.9957356076759062,0.9804748822605965,0.9629629629629629,0.8928571428571428,0.7857142857142857,1.0,0.028934975102894372,3,0,67,11,81
w85__r01_f03,1,3,G0,40,B1_q30,0.9761904761904762,0.9379251700680271,0.88,0.7857142857142857,0.5714285714285714,1.0,0.07795738256680668,3,0,18,4,25
w85__r01_f03,1,3,G0,40,B1_q20,0.9571428571428572,0.9379251700680271,0.8235294117647058,0.7857142857142857,0.5714285714285714,1.0,0.10995781699388235,3,0,10,4,17
w85__r01_f03,1,3,G0,80,full81,0.9989339019189765,0.9952380952380953,0.9876543209876543,0.9642857142857143,0.9285714285714286,1.0,0.014561485252029178,1,0,67,13,81
w85__r01_f03,1,3,G0,80,B1_q30,0.9920634920634921,0.982142857142857,0.96,0.9285714285714286,0.8571428571428571,1.0,0.04261222203772846,1,0,18,6,25
w85__r01_f03,1,3,G0,80,B1_q20,0.9857142857142858,0.982142857142857,0.9411764705882353,0.9285714285714286,0.8571428571428571,1.0,0.061039678750634846,1,0,10,6,17
w85__r01_f04,1,4,G0,16,full81,0.9909090909090909,0.9704545454545455,0.9629629629629629,0.9515151515151515,0.9333333333333333,0.9696969696969697,0.05483491801350994,1,2,64,14,81
w85__r01_f04,1,4,G0,16,B1_q30,0.9485294117647058,0.9241452991452991,0.88,0.8786764705882353,0.875,0.8823529411764706,0.10808574063199997,1,2,15,7,25
w85__r01_f04,1,4,G0,16,B1_q20,0.8939393939393939,0.8766233766233765,0.8235294117647058,0.8257575757575758,0.8333333333333334,0.8181818181818182,0.13383727796746456,1,2,9,5,17
w85__r01_f04,1,4,G0,40,full81,0.9939393939393939,0.9788888888888888,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,0.03250658298957295,2,0,66,13,81
w85__r01_f04,1,4,G0,40,B1_q30,0.9558823529411764,0.9362980769230769,0.92,0.875,0.75,1.0,0.09552865906042729,2,0,17,6,25
w85__r01_f04,1,4,G0,40,B1_q20,0.9090909090909091,0.8964646464646464,0.8823529411764706,0.8333333333333333,0.6666666666666666,1.0,0.12127198101404109,2,0,11,4,17
w85__r01_f04,1,4,G0,80,full81,0.997979797979798,0.992156862745098,0.9629629629629629,0.9,0.8,1.0,0.03020820420643721,3,0,66,12,81
w85__r01_f04,1,4,G0,80,B1_q30,0.9852941176470588,0.975,0.88,0.8125,0.625,1.0,0.09444195045561415,3,0,17,5,25
w85__r01_f04,1,4,G0,80,B1_q20,0.9696969696969696,0.9583333333333334,0.8823529411764706,0.8333333333333333,0.6666666666666666,1.0,0.11513065816926438,2,0,11,4,17
w85__r01_f05,1,5,G0,16,full81,0.9777777777777779,0.9167117250940781,0.8641975308641975,0.6333333333333333,0.26666666666666666,1.0,0.0880058616067961,11,0,66,4,81
w85__r01_f05,1,5,G0,16,B1_q30,0.8831168831168831,0.8531551781551782,0.56,0.5,0.0,1.0,0.23843809012269418,11,0,14,0,25
w85__r01_f05,1,5,G0,16,B1_q20,0.8142857142857143,0.7507326007326007,0.5882352941176471,0.5,0.0,1.0,0.2425295745667198,7,0,10,0,17
w85__r01_f05,1,5,G0,40,full81,0.9868686868686868,0.9483848667672197,0.9506172839506173,0.8924242424242425,0.8,0.9848484848484849,0.04759594592529669,3,1,65,12,81
w85__r01_f05,1,5,G0,40,B1_q30,0.9155844155844155,0.9064199689199689,0.84,0.827922077922078,0.7272727272727273,0.9285714285714286,0.13801259680573819,3,1,13,8,25
w85__r01_f05,1,5,G0,40,B1_q20,0.8714285714285714,0.8690476190476191,0.8235294117647058,0.8071428571428572,0.7142857142857143,0.9,0.15966341758540906,2,1,9,5,17
w85__r01_f05,1,5,G0,80,full81,0.9848484848484849,0.9445100069013113,0.9382716049382716,0.8590909090909091,0.7333333333333333,0.9848484848484849,0.03913308114172829,4,1,65,11,81
w85__r01_f05,1,5,G0,80,B1_q30,0.9090909090909092,0.9034205693296603,0.8,0.7824675324675325,0.6363636363636364,0.9285714285714286,0.12344291875360018,4,1,13,7,25
w85__r01_f05,1,5,G0,80,B1_q20,0.8714285714285714,0.8745421245421245,0.8235294117647058,0.8071428571428572,0.7142857142857143,0.9,0.1461302737713768,2,1,9,5,17
w85__r02_f01,2,1,G0,16,full81,0.997979797979798,0.992156862745098,0.9629629629629629,0.9772727272727273,1.0,0.9545454545454546,0.07030043348631924,0,3,63,15,81
w85__r02_f01,2,1,G0,16,B1_q30,0.9841269841269841,0.9682539682539681,0.88,0.9166666666666667,1.0,0.8333333333333334,0.13889818844748825,0,3,15,7,25
w85__r02_f01,2,1,G0,16,B1_q20,0.9714285714285715,0.9682539682539681,0.8235294117647058,0.85,1.0,0.7,0.154890958664096,0,3,7,7,17
w85__r02_f01,2,1,G0,40,full81,0.996969696969697,0.9877124183006536,0.9753086419753086,0.9590909090909091,0.9333333333333333,0.9848484848484849,0.04013863394357563,1,1,65,14,81
w85__r02_f01,2,1,G0,40,B1_q30,0.9761904761904762,0.947845804988662,0.92,0.9007936507936507,0.8571428571428571,0.9444444444444444,0.09990488011361366,1,1,17,6,25
w85__r02_f01,2,1,G0,40,B1_q20,0.9571428571428572,0.947845804988662,0.8823529411764706,0.8785714285714286,0.8571428571428571,0.9,0.13190830762027544,1,1,9,6,17
w85__r02_f01,2,1,G0,80,full81,0.994949494949495,0.9778223084105437,0.9753086419753086,0.9848484848484849,1.0,0.9696969696969697,0.022760929749719615,0,2,64,15,81
w85__r02_f01,2,1,G0,80,B1_q30,0.9603174603174602,0.8954648526077098,0.92,0.9444444444444444,1.0,0.8888888888888888,0.07122981078509914,0,2,16,7,25
w85__r02_f01,2,1,G0,80,B1_q20,0.9285714285714286,0.8954648526077098,0.8823529411764706,0.9,1.0,0.8,0.10400378641289493,0,2,8,7,17
w85__r02_f02,2,2,G0,16,full81,0.9949494949494949,0.9833333333333332,0.9753086419753086,0.9590909090909091,0.9333333333333333,0.9848484848484849,0.05347724258386792,1,1,65,14,81
w85__r02_f02,2,2,G0,16,B1_q30,0.9600000000000001,0.9111111111111112,0.92,0.875,0.8,0.95,0.10620778328779024,1,1,19,4,25
w85__r02_f02,2,2,G0,16,B1_q20,0.9333333333333333,0.9111111111111112,0.8823529411764706,0.8583333333333334,0.8,0.9166666666666666,0.13261250353719314,1,1,11,4,17
w85__r02_f02,2,2,G0,40,full81,0.998989898989899,0.9958333333333333,0.9876543209876543,0.9666666666666667,0.9333333333333333,1.0,0.021308919447669432,1,0,66,14,81
w85__r02_f02,2,2,G0,40,B1_q30,0.99,0.9666666666666668,0.96,0.9,0.8,1.0,0.04338536415181252,1,0,20,4,25
w85__r02_f02,2,2,G0,40,B1_q20,0.9833333333333333,0.9666666666666668,0.9411764705882353,0.9,0.8,1.0,0.05856016803463294,1,0,12,4,17
w85__r02_f02,2,2,G0,80,full81,0.997979797979798,0.992156862745098,0.9876543209876543,0.9666666666666667,0.9333333333333333,1.0,0.011962917605392736,1,0,66,14,81
w85__r02_f02,2,2,G0,80,B1_q30,0.98,0.9428571428571428,0.96,0.9,0.8,1.0,0.03495074307520906,1,0,20,4,25
