repeat,H_AULC,oracle_GPC_AULC,H_minus_oracle,oracle_selected_model,diagnostic_status
1,0.8268382352941176,0.8350183823529411,-0.008180147058823528,G2,NON_DEPLOYABLE_REPEATWISE_ORACLE
2,0.8236213235294118,0.8175551470588236,0.006066176470588158,G0,NON_DEPLOYABLE_REPEATWISE_ORACLE
3,0.8289522058823529,0.8238051470588236,0.0051470588235292825,G0,NON_DEPLOYABLE_REPEATWISE_ORACLE
4,0.8189338235294118,0.8,0.018933823529411753,G2,NON_DEPLOYABLE_REPEATWISE_ORACLE
5,0.8147058823529412,0.8428308823529411,-0.028124999999999956,G3,NON_DEPLOYABLE_REPEATWISE_ORACLE
6,0.8386029411764706,0.8601102941176471,-0.02150735294117645,G3,NON_DEPLOYABLE_REPEATWISE_ORACLE
7,0.8363051470588235,0.8371323529411765,-0.000827205882352966,G2,NON_DEPLOYABLE_REPEATWISE_ORACLE
8,0.8356617647058824,0.8256433823529413,0.010018382352941058,G2,NON_DEPLOYABLE_REPEATWISE_ORACLE
9,0.8509191176470589,0.8407169117647058,0.0102022058823531,G3,NON_DEPLOYABLE_REPEATWISE_ORACLE
10,0.8189338235294118,0.8368566176470589,-0.01792279411764708,G2,NON_DEPLOYABLE_REPEATWISE_ORACLE
11,0.8409926470588236,0.8384191176470589,0.0025735294117646967,G3,NON_DEPLOYABLE_REPEATWISE_ORACLE
12,0.8226102941176471,0.801470588235294,0.021139705882353033,G3,NON_DEPLOYABLE_REPEATWISE_ORACLE
13,0.8252757352941176,0.8306066176470587,-0.005330882352941102,G4,NON_DEPLOYABLE_REPEATWISE_ORACLE
14,0.8226102941176471,0.8325367647058824,-0.00992647058823537,G3,NON_DEPLOYABLE_REPEATWISE_ORACLE
15,0.8234375,0.8314338235294118,-0.007996323529411709,G3,NON_DEPLOYABLE_REPEATWISE_ORACLE
16,0.8444852941176471,0.8409007352941178,0.0035845588235292603,G2,NON_DEPLOYABLE_REPEATWISE_ORACLE
17,0.8378676470588233,0.8540441176470589,-0.01617647058823557,G4,NON_DEPLOYABLE_REPEATWISE_ORACLE
18,0.8390625,0.8090992647058822,0.029963235294117818,G1,NON_DEPLOYABLE_REPEATWISE_ORACLE
19,0.8309742647058824,0.8178308823529411,0.013143382352941324,G3,NON_DEPLOYABLE_REPEATWISE_ORACLE
20,0.8354779411764707,0.8485294117647058,-0.013051470588235081,G3,NON_DEPLOYABLE_REPEATWISE_ORACLE
