model,budget,parameter,median,q1,q3,space
G2,16,l_P,2.029467531262555,1.777420229531292,2.436542016490958,standardized outer-training-pool inputs
G2,16,l_VX,13.204070963205679,3.673319399281787,100.00000000000004,standardized outer-training-pool inputs
G2,16,l_LS,9.30506316973178,2.893228539173302,100.00000000000004,standardized outer-training-pool inputs
G2,16,l_ST,100.00000000000004,100.00000000000004,100.00000000000004,standardized outer-training-pool inputs
G2,16,anisotropy_ratio,53.39196305732486,44.98921697845148,89.53177054783966,standardized outer-training-pool inputs
G2,40,l_P,2.505418794073538,1.8648726140691527,3.034362103385469,standardized outer-training-pool inputs
G2,40,l_VX,3.4498420462895503,2.592582349102985,4.286584432865031,standardized outer-training-pool inputs
G2,40,l_LS,2.6107584389161422,2.166179071310485,3.184149250363701,standardized outer-training-pool inputs
G2,40,l_ST,100.00000000000004,100.00000000000004,100.00000000000004,standardized outer-training-pool inputs
G2,40,anisotropy_ratio,44.10040061318814,34.0681407092836,62.39293808383963,standardized outer-training-pool inputs
G2,80,l_P,4.273069225871875,3.694606065823122,4.825184136531444,standardized outer-training-pool inputs
G2,80,l_VX,3.641905249239346,3.316505015625752,3.9314694052615646,standardized outer-training-pool inputs
G2,80,l_LS,4.009667545695317,3.481399198506282,4.4610343697446275,standardized outer-training-pool inputs
G2,80,l_ST,100.00000000000004,100.00000000000004,100.00000000000004,standardized outer-training-pool inputs
G2,80,anisotropy_ratio,28.33996722881198,25.92775870472162,30.752563040471156,standardized outer-training-pool inputs
G3,16,l_P,2.713049067907235,2.23839503241333,3.5412766567940426,standardized outer-training-pool inputs
G3,16,l_VX,19.223234767873215,5.2711855772422735,100.00000000000004,standardized outer-training-pool inputs
G3,16,l_LS,100.00000000000004,4.249300812115171,100.00000000000004,standardized outer-training-pool inputs
G3,16,l_ST,100.00000000000004,100.00000000000004,100.00000000000004,standardized outer-training-pool inputs
G3,16,anisotropy_ratio,37.82022217961898,31.37336251812551,62.50600665738439,standardized outer-training-pool inputs
G3,40,l_P,4.045677072821743,3.2547156468271328,4.77978912599698,standardized outer-training-pool inputs
G3,40,l_VX,5.868209277660644,4.694931356745519,7.016381386024437,standardized outer-training-pool inputs
G3,40,l_LS,4.737262678744271,4.147735522586454,6.194720871239064,standardized outer-training-pool inputs
G3,40,l_ST,100.00000000000004,100.00000000000004,100.00000000000004,standardized outer-training-pool inputs
G3,40,anisotropy_ratio,26.192212406598728,21.976424576572413,32.574091950796245,standardized outer-training-pool inputs
G3,80,l_P,6.10052674013177,5.282002515544559,7.212822741336195,standardized outer-training-pool inputs
G3,80,l_VX,6.510975943086824,5.644496072405413,7.628748270168174,standardized outer-training-pool inputs
G3,80,l_LS,6.867138560592743,6.068840764307745,8.061944774067918,standardized outer-training-pool inputs
G3,80,l_ST,100.00000000000004,100.00000000000004,100.00000000000004,standardized outer-training-pool inputs
G3,80,anisotropy_ratio,16.802258435845395,14.324496292111526,19.50190758682694,standardized outer-training-pool inputs
