arm,label,endpoint,mean_AULC,ci_lower,ci_upper
Y00,4D model / 4D path,B1_q20_accuracy_AULC_16_80,0.8135202205882353,0.8068745404411765,0.8203172104779411
Y00,4D model / 4D path,B1_q30_accuracy_AULC_16_80,0.866115625,0.861627890625,0.8708252343749999
Y01,4D model / physics path,B1_q20_accuracy_AULC_16_80,0.8071874999999998,0.7959603630514707,0.8173489200367647
Y01,4D model / physics path,B1_q30_accuracy_AULC_16_80,0.857571875,0.848799921875,0.8653218749999999
Y10,physics model / 4D path,B1_q20_accuracy_AULC_16_80,0.8299724264705881,0.8264430147058824,0.8332766544117647
Y10,physics model / 4D path,B1_q30_accuracy_AULC_16_80,0.87196875,0.8694999218749998,0.8746001562500001
Y11,physics model / physics path,B1_q20_accuracy_AULC_16_80,0.8335386029411765,0.8304641544117647,0.8367143841911764
Y11,physics model / physics path,B1_q30_accuracy_AULC_16_80,0.8770562499999999,0.8742061718749999,0.8798656249999999
