candidate_id,candidate_name,unit,group,n,median,q25,q75,mean,standard_deviation,minimum,maximum
T0_depth,T0 penetration depth,um,Keyhole-negative,101,62.75334,50.87139500000001,74.64661000000001,63.875443415841595,14.90188737624721,26.90932,94.62022
T0_depth,T0 penetration depth,um,Keyhole-positive,63,152.05270000000002,92.43941000000001,233.131975,169.73174373015874,81.58010706589306,74.3066,300.5299
max_depth,Maximum penetration depth,um,Keyhole-negative,101,66.837,55.06646,82.93315,69.2834112871287,18.309245824114146,27.37239,111.5838
max_depth,Maximum penetration depth,um,Keyhole-positive,63,302.4097,205.4355,302.92355,255.90152222222218,71.92835985175817,111.1982,311.9999
G3,G3 persistent depth,um,Keyhole-negative,101,66.52321,54.82536,78.72644,66.92520836633663,16.243903042105153,27.06171,98.565725
G3,G3 persistent depth,um,Keyhole-positive,63,282.998,159.76297499999998,300.676475,236.33524285714282,74.05729177467609,103.3518,301.24170000000004
R3,R3 persistent aspect ratio,dimensionless,Keyhole-negative,101,0.3928879904730948,0.3412277004390361,0.4376306309693392,0.39313638811401974,0.07934833065804843,0.2280766144011019,0.6922254374489708
R3,R3 persistent aspect ratio,dimensionless,Keyhole-positive,63,1.4945661653660811,1.0179266110214602,1.735550105476121,1.382977070515718,0.42414317412326086,0.6101000122399665,1.9527174981261235
T0_width,T0 width,um,Keyhole-negative,101,170.28470000000002,143.50918,190.8829,172.48651485148514,35.47719542033063,111.529485,281.37294999999995
T0_width,T0 width,um,Keyhole-positive,63,158.6812,142.437455,191.42123,169.70671476190478,38.42679103575368,118.71622,300.26985
T0_total_height,T0 total height,um,Keyhole-negative,101,91.73953,79.83139,102.054405,90.8021905940594,15.63904145943274,51.44415,125.35813
T0_total_height,T0 total height,um,Keyhole-positive,63,185.07669,109.6473,252.5933175,189.9274287301588,82.231654318726,91.04755,322.61455
T0_kinetic_energy,T0 kinetic energy,nJ,Keyhole-negative,101,2.471139,1.5058575,3.308473,2.5504314460396036,1.1790304081481335,0.7339642,5.377543999999999
T0_kinetic_energy,T0 kinetic energy,nJ,Keyhole-positive,63,4.604340499999999,3.9135057499999997,5.492538250000001,4.867027309523811,1.42928386182582,2.233477,8.876052
R0,R0 T0 aspect ratio,dimensionless,Keyhole-negative,101,0.37452289032841973,0.32282417104312777,0.4178936017392954,0.3737675739189918,0.07223669364669655,0.22188102813746832,0.6207435669104809
R0,R0 T0 aspect ratio,dimensionless,Keyhole-positive,63,1.0216934599559775,0.6141085666038191,1.3496559409005655,1.004931532722488,0.4366493827899784,0.34907908352465644,1.8836352384529487
