candidate_id,unit,fold_n,majority_direction,majority_direction_fraction,threshold_minimum,threshold_q25,threshold_median,threshold_q75,threshold_maximum,threshold_iqr,candidate_value_iqr,threshold_iqr_over_candidate_iqr,threshold_unique_count,stability_class,stability_rule
T0_depth,um,164,higher,1.0,77.778445,82.41506749999999,82.41506749999999,82.41506749999999,92.527355,0.0,41.98339875,0.0,4,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
max_depth,um,164,higher,1.0,108.14150000000001,108.601,108.601,108.601,111.90119999999999,0.0,208.86628749999997,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
G3,um,164,higher,1.0,100.85673,100.9587625,100.9587625,100.9587625,102.2617125,0.0,135.22771875,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
R3,dimensionless,164,higher,1.0,0.5759476539134093,0.5782153663226665,0.5782153663226665,0.5782153663226665,0.5848338566678534,0.0,0.8257971374220114,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
T0_width,um,164,lower,1.0,158.926175,159.2590775,159.2590775,159.2590775,165.209975,0.0,48.41070124999999,0.0,4,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
T0_total_height,um,164,higher,1.0,107.55897,112.91155499999999,126.053505,126.053505,126.053505,13.141950000000008,37.40602749999999,0.3513324156113613,4,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
T0_kinetic_energy,nJ,164,higher,1.0,3.32420925,3.366769,3.366769,3.366769,3.37433,0.0,2.3638735,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
R0,dimensionless,164,higher,1.0,0.5144084439493,0.5185328763247001,0.5185328763247001,0.5185328763247001,0.5274117127471352,0.0,0.3231272028610912,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
