experiment_name,partition,exact_sph_v2_revision,P_W,VX_m_per_s,LS_um,ST_K,has_conduction,has_keyhole,keyhole_frame_count,keyhole_segment_count,keyhole_timing_relative_to_T0,keyhole_transient_by_sequence,keyhole_persistent_to_last_physical_frame,repeated_keyhole_episodes,keyhole_persistence_group,physical_target_extraction_success,extraction_status,extraction_failure_reasons,geometry_target_ready,kinetic_energy_target_ready,source_label_modified,simulation_silently_removed,parameters_sha256,frames_csv_sha256,frames_csv_path,side_png_count,gif_count,ready__T0_depth,value__T0_depth,ready__max_depth,value__max_depth,ready__G3,value__G3,ready__R3,value__R3,ready__T0_width,value__T0_width,ready__T0_total_height,value__T0_total_height,ready__T0_kinetic_energy,value__T0_kinetic_energy,ready__R0,value__R0
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,102.928146519,0.633805217924,52.939436669900005,318.223787128,True,False,0,0,no_Keyhole,False,False,False,Keyhole-negative,True,PASS,,True,True,False,False,bcd12a566337ae9fbce76f758476b495fd861e00c348268cc2fa4112f35721ab,5d6d8eeca5c42b985416b74d02b020ef4200b6d599d12adcd41c71c675694fab,P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f/frames.csv,274,3,True,38.97961,True,43.09636,True,42.87279,True,0.3434062066658582,True,125.25069,True,61.817415,True,0.7339642,True,0.31121273663242893
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,109.741517589,0.915030812968,79.97596624090001,303.804431165,True,False,0,0,no_Keyhole,False,False,False,Keyhole-negative,True,PASS,,True,True,False,False,f0045cac7db05c59706a6cab40089cbdaa9ebf55e4f4a2ceba3a1cca83fe041b,c1aa8de1b1a702512245a2570695b8386132ea901bbddaeab9c1fd04f05693e1,P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094/frames.csv,388,3,True,26.90932,True,27.37239,True,27.06171,True,0.2349188794358042,True,120.96344,True,51.44415,True,0.8855108,True,0.2224582898766768
P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,111.098510779,0.492021331775,48.0108469254,345.911753718,True,False,0,0,no_Keyhole,False,False,False,Keyhole-negative,True,PASS,,True,True,False,False,9dbf508947a61cb37a68c4a5c02612cd77fdfe5a50b438a9cbb72b9837ad1388,9252d414ed1a4b86a112dcbd4b16b28ddf57cc41ae5a931afa67059b5ae09bad,P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780/frames.csv,215,3,True,46.872595,True,54.88141,True,54.67908,True,0.4051871163927301,True,136.11750999999998,True,72.03333,True,0.9327958,True,0.34435389686455475
P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,113.729503671,0.646987288946,82.8088886776,328.878079062,True,False,0,0,no_Keyhole,False,False,False,Keyhole-negative,True,PASS,,True,True,False,False,872124d2827a6650c3d15d1b01ded0eb6c3222c7d1093cde769320de4218990b,8ce3b79076bb451f799616e85c1c28041ded296f0a56d77aff649a5426821ae2,P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094/frames.csv,280,3,True,34.473155000000006,True,35.401709999999994,True,34.874810000000004,True,0.2280766144011019,True,155.367745,True,64.02622,True,0.90792385,True,0.22188102813746832
P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,115.973342836,0.629021136955,58.1694798744,308.264473639,True,False,0,0,no_Keyhole,False,False,False,Keyhole-negative,True,PASS,,True,True,False,False,88e92ed7c7684fc1281c352a98ea8c23e5bf67e306bdc22cfe524c1780cd8916,12315541374a54049872c3ea6bddbfaa00042c2157ecc3a9e45027b3c1101de2,P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053/frames.csv,267,3,True,42.71745,True,47.09942,True,46.86994,True,0.3474605610893356,True,135.67203,True,67.86899000000001,True,0.9256427,True,0.3148581914783762
P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,117.204089079,0.299188895548,66.1946140465,399.004242061,True,False,0,0,no_Keyhole,False,False,False,Keyhole-negative,True,PASS,,True,True,False,False,d59234df406f33c0c90573e4f039db5fb4db0cbc9abb197b5f93033c2cc245d9,8075d0b8e4863ef57930a3af82db4c6efeb0e5e7c5bc1d940db141566abd1886,P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094/frames.csv,132,3,True,54.719100000000005,True,54.9824,True,54.809000000000005,True,0.2942614195170074,True,194.974095,True,75.53502,True,1.295771,True,0.2806480522450944
P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,118.239150472,0.728951155133,55.9862781201,395.421202378,True,False,0,0,no_Keyhole,False,False,False,Keyhole-negative,True,PASS,,True,True,False,False,7318bbf40eade10f6d6458066adc25ff4ab4f39dff35f31468af1ca41c97c4a7,c219bb47d879b7f2f9876d164961dac0c101a18594a508aefb89f6d5aa89c22b,P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888/frames.csv,317,3,True,42.71263,True,46.944770000000005,True,46.76281,True,0.3674138030538265,True,127.48467,True,66.76444000000001,True,0.9721797,True,0.3350413033974987
P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,119.523515535,0.859779155666,67.0931710444,392.874711106,True,False,0,0,no_Keyhole,False,False,False,Keyhole-negative,True,PASS,,True,True,False,False,6d9aab8bba0f2bfaf62555433627544e3d766a9ae248e1cbd423a7a236ef1912,a41ab7e7b90d505e6322e2a60f648bf083301a7690777a403726899b65dea786,P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202/frames.csv,369,3,True,38.07826,True,38.90503,True,38.77427,True,0.3044454526543478,True,127.62046,True,62.80503,True,1.009012,True,0.298371123250927
P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,120.079917874,0.610410046914,82.9242579558,398.6729924,True,False,0,0,no_Keyhole,False,False,False,Keyhole-negative,True,PASS,,True,True,False,False,8d14f75f15abbb9053edf5c53edfbe0412803e30e40e437ff542914f70add0e1,76a9720c5085399a44f28415c1aa7b9a5438c1a563a5f52363b099180b78369b,P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600/frames.csv,261,3,True,38.589385,True,39.06833,True,38.92551,True,0.2417858911879544,True,165.552355,True,68.73441,True,1.0267275,True,0.23309475120423384
P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,120.906267006,0.64748664338,60.3748750968,359.518818343,True,False,0,0,no_Keyhole,False,False,False,Keyhole-negative,True,PASS,,True,True,False,False,083bae8da4bfb3008666d1e0d16c356ed7ed613a61da62a5536dec37c1f295c3,a47dd1ae41b7d75b18d0e16fd47e2874fbe8e1931211e6fbf8a7e0f723ff73b3,P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67/frames.csv,275,3,True,43.11279,True,47.09125,True,46.904770000000006,True,0.3383151796770374,True,137.9262,True,68.84588000000001,True,1.0083125000000002,True,0.31257868338285255
P-122p181848607_VX-0p882188233955_LS-4p98408399334e-05_ST-370p38962934_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p46835745177e-06_H-2afbe2208b,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,122.181848607,0.882188233955,49.840839933400005,370.38962934,True,False,0,0,no_Keyhole,False,False,False,Keyhole-negative,True,PASS,,True,True,False,False,89e1edb5752e007238e0034b699c2814b6d783e4e226c14f3c5551011bcafff4,e4312981a6b42e6c23803be2bb35d3aa4ed984e76857cb81fd43ab9de9a2b6e4,P-122p181848607_VX-0p882188233955_LS-4p98408399334e-05_ST-370p38962934_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p46835745177e-06_H-2afbe2208b/frames.csv,381,3,True,42.580775,True,43.1616,True,42.9282,True,0.3874203598816666,True,111.529485,True,63.95455,True,1.0085894999999998,True,0.38178939856128635
P-124p08408212_VX-0p537482635976_LS-5p36452858207e-05_ST-384p350705088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p97539805031e-06_H-1d842653b1,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,124.08408212,0.537482635976,53.6452858207,384.350705088,True,False,0,0,no_Keyhole,False,False,False,Keyhole-negative,True,PASS,,True,True,False,False,56aabfe29590b274bed011dd2ac856bd375e78ca0be4a1af1d5e2d55e74861f0,5ee8ce97a6136f4d14568b8c533c6a10d7adc01119ec3aa5b337b20a8cd92c74,P-124p08408212_VX-0p537482635976_LS-5p36452858207e-05_ST-384p350705088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p97539805031e-06_H-1d842653b1/frames.csv,234,3,True,46.98435,True,55.08516,True,54.88154,True,0.3840636155704838,True,143.95735000000002,True,73.53677,True,1.122537,True,0.3263768748174372
P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,126.384227376,0.205870034079,45.5514058242,348.956388187,True,False,0,0,no_Keyhole,False,False,False,Keyhole-negative,True,PASS,,True,True,False,False,36aab8ffc07b9a71e7726b7528f4296a3d5452bbb43718254f3aa04c1c980a79,31529922f3892341f2b789661fc7b96ec84c0d2bbff47bee0c8a19266d5fc916,P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1/frames.csv,91,3,True,58.710765,True,58.86335,True,58.118385,True,0.3412277004390361,True,172.34558500000003,True,71.19574,True,1.1872195,True,0.34065720337425526
P-129p716882801_VX-0p574107735504_LS-5p55330779174e-05_ST-369p509713723_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p40281414912e-06_H-0e4c2fc094,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,129.716882801,0.574107735504,55.5330779174,369.509713723,True,False,0,0,no_Keyhole,False,False,False,Keyhole-negative,True,PASS,,True,True,False,False,92c2e03d65f72f0875db2e7e5e37400a4e7bb2fc2a34127503394b2da8396a4d,edad08fd8998abaf707482c44e9eaf71599fd9ae38c5ef7b19b91202c86fb211,P-129p716882801_VX-0p574107735504_LS-5p55330779174e-05_ST-369p509713723_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p40281414912e-06_H-0e4c2fc094/frames.csv,249,3,True,47.43797,True,55.39056,True,54.82536,True,0.3839077370170473,True,144.07869999999997,True,74.64802,True,1.181835,True,0.32925040273128514
P-131p192514944_VX-0p432823544687_LS-6p72236683266e-05_ST-324p578264519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p11456982002e-05_H-dfd65b549a,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,131.192514944,0.432823544687,67.22366832659999,324.578264519,True,False,0,0,no_Keyhole,False,False,False,Keyhole-negative,True,PASS,,True,True,False,False,fa6a594993b771689e161cdad17ef6d0c9ac02fcb61d1e14b4eceefc79512eec,826677d0f496fc8282cbad4b8ac22a8d13e65d0a356e1019110148c0473aba3b,P-131p192514944_VX-0p432823544687_LS-6p72236683266e-05_ST-324p578264519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p11456982002e-05_H-dfd65b549a/frames.csv,186,3,True,54.79085,True,58.50217,True,58.298370000000006,True,0.3326824124068773,True,175.76846999999998,True,84.369,True,1.291556,True,0.3117217211937955
