candidate_id,candidate_name,unit,n,keyhole_positive_n,keyhole_negative_n,keyhole_prevalence,physical_direction,raw_roc_auc_higher_value_positive,raw_roc_auc_ci_low,raw_roc_auc_ci_high,direction_adjusted_roc_auc,direction_adjusted_roc_auc_ci_low,direction_adjusted_roc_auc_ci_high,raw_average_precision_higher_value_positive,raw_average_precision_ci_low,raw_average_precision_ci_high,direction_adjusted_average_precision,direction_adjusted_average_precision_ci_low,direction_adjusted_average_precision_ci_high,bootstrap_resamples,bootstrap_unit,class_imbalance_baseline_average_precision
G3,G3 persistent depth,um,164,63,101,0.38414634146341464,higher_is_more_keyhole_like,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,0.9999999999999998,1.0,0.9999999999999998,0.9999999999999998,1.0,5000,simulation,0.38414634146341464
max_depth,Maximum penetration depth,um,164,63,101,0.38414634146341464,higher_is_more_keyhole_like,0.9998428414269999,0.9990570485619991,1.0,0.9998428414269999,0.9990570485619991,1.0,0.999751984126984,0.9985569985569984,1.0,0.999751984126984,0.9985569985569984,1.0,5000,simulation,0.38414634146341464
R3,R3 persistent aspect ratio,dimensionless,164,63,101,0.38414634146341464,higher_is_more_keyhole_like,0.9985855728429985,0.9954424013829954,1.0,0.9985855728429985,0.9954424013829954,1.0,0.9977350794651101,0.9928747811687753,1.0,0.9977350794651101,0.9928747811687753,1.0,5000,simulation,0.38414634146341464
R0,R0 T0 aspect ratio,dimensionless,164,63,101,0.38414634146341464,higher_is_more_keyhole_like,0.9608675153229609,0.9253496778249254,0.9874312431243125,0.9608675153229609,0.9253496778249254,0.9874312431243125,0.9576401388305318,0.9234799024976642,0.9843441527757857,0.9576401388305318,0.9234799024976642,0.9843441527757857,5000,simulation,0.38414634146341464
T0_depth,T0 penetration depth,um,164,63,101,0.38414634146341464,higher_is_more_keyhole_like,0.9577243438629577,0.9299072764419299,0.9798837026559798,0.9577243438629577,0.9299072764419299,0.9798837026559798,0.9434314745521312,0.9091734637763688,0.9721368274286529,0.9434314745521312,0.9091734637763688,0.9721368274286529,5000,simulation,0.38414634146341464
T0_total_height,T0 total height,um,164,63,101,0.38414634146341464,higher_is_more_keyhole_like,0.9066478076379066,0.8579286500078579,0.9479883702655979,0.9066478076379066,0.8579286500078579,0.9479883702655979,0.8938487876930341,0.8421070822089645,0.9398911913595895,0.8938487876930341,0.8421070822089645,0.9398911913595895,5000,simulation,0.38414634146341464
T0_kinetic_energy,T0 kinetic energy,nJ,164,63,101,0.38414634146341464,higher_is_more_keyhole_like,0.8995756718528995,0.8502278799308502,0.9416941694169417,0.8995756718528995,0.8502278799308502,0.9416941694169417,0.8517749076735998,0.7809167987187395,0.9147511547598517,0.8517749076735998,0.7809167987187395,0.9147511547598517,5000,simulation,0.38414634146341464
T0_width,T0 width,um,164,63,101,0.38414634146341464,lower_is_more_keyhole_like,0.4576457645764576,0.36632877573471634,0.551001885902876,0.5423542354235423,0.44899811409712403,0.6336712242652836,0.3918432692298857,0.331045844949523,0.4909818877387083,0.41373758518763215,0.3602532577087256,0.51114875667554,5000,simulation,0.38414634146341464
