benchmark,method,mean_final_global_error,std_final_global_error,mean_final_near_boundary_error_q10,std_final_near_boundary_error_q10,mean_final_near_boundary_error_q20,std_final_near_boundary_error_q20,mean_final_near_boundary_error_q30,std_final_near_boundary_error_q30,mean_final_latent_uncertainty_region_fraction,std_final_latent_uncertainty_region_fraction,mean_final_latent_uncertainty_region_fraction_q10,std_final_latent_uncertainty_region_fraction_q10,mean_final_latent_uncertainty_region_fraction_q20,std_final_latent_uncertainty_region_fraction_q20,mean_final_latent_uncertainty_region_fraction_q30,std_final_latent_uncertainty_region_fraction_q30,mean_query_distance,median_query_distance,query_distance_q25,query_distance_q75,fraction_queries_in_pool_boundary_band_q10,fraction_queries_in_pool_boundary_band_q20,fraction_queries_in_pool_boundary_band_q30,rank_global_error,rank_near_boundary_error_q10,rank_near_boundary_error_q20,rank_near_boundary_error_q30,rank_median_query_distance
branin,random,0.119400,0.029243,0.417000,0.041575,0.343250,0.047648,0.282333,0.044983,0.479850,0.107541,0.601500,0.104338,0.570750,0.100214,0.545500,0.091985,42.336557,24.899938,12.019579,54.677847,0.095455,0.168182,0.268182,5,5,5,5,5
branin,smallest_abs_mu,0.065900,0.010975,0.364000,0.005831,0.246750,0.022144,0.186833,0.019188,0.742200,0.019692,0.643500,0.062020,0.613250,0.032650,0.623333,0.028122,27.717099,12.038580,5.020593,23.453951,0.254545,0.368182,0.509091,3,3,1,2,1
branin,straddle,0.062000,0.008296,0.358500,0.030602,0.257250,0.033998,0.192833,0.028851,0.482300,0.049739,0.606000,0.079382,0.539250,0.069681,0.498167,0.069758,43.034971,19.439750,8.472150,52.963831,0.145455,0.259091,0.340909,2,1,3,3,3
branin,randomized_straddle,0.060200,0.004279,0.363000,0.027221,0.251500,0.011549,0.186500,0.008873,0.632600,0.048045,0.663500,0.052240,0.619500,0.044375,0.606500,0.035498,39.665499,17.551774,8.402247,38.435918,0.168182,0.263636,0.377273,1,2,2,1,2
branin,expected_feasibility,0.066350,0.010226,0.389500,0.043168,0.282250,0.029616,0.211333,0.027420,0.185050,0.014716,0.478000,0.062538,0.422250,0.040089,0.364000,0.022101,46.597989,22.232665,11.103026,64.021034,0.122727,0.204545,0.277273,4,4,4,4,4
