benchmark,method,seed,budget,global_error,latent_uncertainty_region_fraction,mean_true_boundary_distance_test,near_boundary_error_q10,near_boundary_test_size_q10,near_boundary_error_q20,near_boundary_test_size_q20,near_boundary_error_q30,near_boundary_test_size_q30
branin,random,0,6,0.251,0.971,37.89289019425876,0.4875,400,0.41375,800,0.3625,1200
branin,random,0,7,0.211,0.967,37.89289019425876,0.4875,400,0.41375,800,0.3591666666666667,1200
branin,random,0,8,0.21625,0.91475,37.89289019425876,0.49,400,0.42875,800,0.37666666666666665,1200
branin,random,0,9,0.22125,0.89125,37.89289019425876,0.49,400,0.43875,800,0.38916666666666666,1200
branin,random,0,10,0.195,0.8475,37.89289019425876,0.45,400,0.3825,800,0.3333333333333333,1200
branin,random,0,11,0.11875,0.84325,37.89289019425876,0.4325,400,0.35125,800,0.29083333333333333,1200
branin,random,0,12,0.11275,0.773,37.89289019425876,0.425,400,0.3375,800,0.2791666666666667,1200
branin,random,0,13,0.11375,0.72525,37.89289019425876,0.42,400,0.33,800,0.27416666666666667,1200
branin,random,0,14,0.12275,0.69175,37.89289019425876,0.415,400,0.33625,800,0.2808333333333333,1200
branin,random,0,15,0.12325,0.78575,37.89289019425876,0.4075,400,0.3425,800,0.285,1200
branin,random,0,16,0.11375,0.85725,37.89289019425876,0.4575,400,0.3675,800,0.28833333333333333,1200
branin,random,0,17,0.11375,0.82675,37.89289019425876,0.4575,400,0.375,800,0.2916666666666667,1200
branin,random,0,18,0.11525,0.804,37.89289019425876,0.46,400,0.37375,800,0.2941666666666667,1200
branin,random,0,19,0.11575,0.774,37.89289019425876,0.4575,400,0.37375,800,0.295,1200
branin,random,0,20,0.12,0.823,37.89289019425876,0.4625,400,0.375,800,0.30083333333333334,1200
branin,random,0,21,0.1165,0.812,37.89289019425876,0.4575,400,0.36625,800,0.29083333333333333,1200
branin,random,0,22,0.1135,0.79925,37.89289019425876,0.455,400,0.3725,800,0.28833333333333333,1200
branin,random,0,23,0.113,0.7955,37.89289019425876,0.45,400,0.37,800,0.2866666666666667,1200
branin,random,0,24,0.11375,0.75975,37.89289019425876,0.455,400,0.36875,800,0.2841666666666667,1200
branin,random,0,25,0.114,0.7465,37.89289019425876,0.455,400,0.37,800,0.285,1200
branin,random,0,26,0.11525,0.728,37.89289019425876,0.4475,400,0.36875,800,0.285,1200
branin,random,0,27,0.10425,0.7315,37.89289019425876,0.445,400,0.365,800,0.2808333333333333,1200
branin,random,0,28,0.10425,0.71225,37.89289019425876,0.4425,400,0.365,800,0.28,1200
branin,random,0,29,0.1025,0.705,37.89289019425876,0.435,400,0.36,800,0.27666666666666667,1200
branin,random,0,30,0.1025,0.68275,37.89289019425876,0.435,400,0.36,800,0.27666666666666667,1200
branin,random,0,31,0.10125,0.66125,37.89289019425876,0.4275,400,0.35875,800,0.2775,1200
branin,random,0,32,0.1,0.62975,37.89289019425876,0.425,400,0.35375,800,0.2733333333333333,1200
branin,random,0,33,0.0955,0.61825,37.89289019425876,0.4225,400,0.35,800,0.265,1200
branin,random,0,34,0.09525,0.601,37.89289019425876,0.4225,400,0.35,800,0.2658333333333333,1200
branin,random,0,35,0.094,0.58275,37.89289019425876,0.4225,400,0.35,800,0.26416666666666666,1200
branin,random,0,36,0.094,0.56775,37.89289019425876,0.42,400,0.34625,800,0.2625,1200
branin,random,0,37,0.095,0.56025,37.89289019425876,0.43,400,0.3275,800,0.24916666666666668,1200
branin,random,0,38,0.08975,0.53725,37.89289019425876,0.425,400,0.31625,800,0.23916666666666667,1200
branin,random,0,39,0.092,0.53075,37.89289019425876,0.4275,400,0.31875,800,0.24333333333333335,1200
branin,random,0,40,0.092,0.53725,37.89289019425876,0.4225,400,0.31375,800,0.24083333333333334,1200
branin,random,0,41,0.0895,0.52,37.89289019425876,0.4175,400,0.305,800,0.23333333333333334,1200
branin,random,0,42,0.096,0.606,37.89289019425876,0.435,400,0.33,800,0.25166666666666665,1200
branin,random,0,43,0.09675,0.593,37.89289019425876,0.435,400,0.33125,800,0.25416666666666665,1200
branin,random,0,44,0.09675,0.58075,37.89289019425876,0.435,400,0.33125,800,0.25416666666666665,1200
branin,random,0,45,0.10425,0.5695,37.89289019425876,0.4475,400,0.35625,800,0.2733333333333333,1200
branin,random,0,46,0.10275,0.59175,37.89289019425876,0.4475,400,0.34625,800,0.2633333333333333,1200
branin,random,0,47,0.1,0.58225,37.89289019425876,0.445,400,0.3425,800,0.2608333333333333,1200
branin,random,0,48,0.101,0.5635,37.89289019425876,0.4475,400,0.3475,800,0.26416666666666666,1200
branin,random,0,49,0.11425,0.5535,37.89289019425876,0.4525,400,0.36875,800,0.2916666666666667,1200
branin,random,0,50,0.114,0.54225,37.89289019425876,0.4525,400,0.37,800,0.29083333333333333,1200
branin,random,1,6,0.3635,0.97425,40.072198386339714,0.4625,400,0.40875,800,0.37666666666666665,1200
branin,random,1,7,0.28,0.96975,40.072198386339714,0.42,400,0.36875,800,0.3275,1200
branin,random,1,8,0.20575,0.9635,40.072198386339714,0.4025,400,0.36125,800,0.31416666666666665,1200
branin,random,1,9,0.217,0.8875,40.072198386339714,0.41,400,0.3675,800,0.325,1200
branin,random,1,10,0.23025,0.8435,40.072198386339714,0.44,400,0.37625,800,0.33166666666666667,1200
branin,random,1,11,0.222,0.8365,40.072198386339714,0.4225,400,0.3475,800,0.31166666666666665,1200
branin,random,1,12,0.22075,0.784,40.072198386339714,0.4225,400,0.35,800,0.31333333333333335,1200
branin,random,1,13,0.2165,0.744,40.072198386339714,0.415,400,0.34625,800,0.30916666666666665,1200
branin,random,1,14,0.21725,0.7465,40.072198386339714,0.435,400,0.36125,800,0.3175,1200
branin,random,1,15,0.215,0.7135,40.072198386339714,0.4375,400,0.365,800,0.3125,1200
branin,random,1,16,0.21525,0.6845,40.072198386339714,0.4375,400,0.36625,800,0.31333333333333335,1200
branin,random,1,17,0.216,0.6545,40.072198386339714,0.4375,400,0.365,800,0.3125,1200
branin,random,1,18,0.1875,0.70625,40.072198386339714,0.4075,400,0.33375,800,0.2808333333333333,1200
branin,random,1,19,0.18425,0.63625,40.072198386339714,0.4,400,0.32875,800,0.27666666666666667,1200
branin,random,1,20,0.1775,0.61575,40.072198386339714,0.3625,400,0.29375,800,0.25166666666666665,1200
branin,random,1,21,0.14325,0.6285,40.072198386339714,0.355,400,0.2875,800,0.2425,1200
branin,random,1,22,0.1215,0.57475,40.072198386339714,0.3475,400,0.2725,800,0.22666666666666666,1200
branin,random,1,23,0.108,0.54725,40.072198386339714,0.3425,400,0.27,800,0.2225,1200
branin,random,1,24,0.1085,0.5165,40.072198386339714,0.34,400,0.2725,800,0.22333333333333333,1200
branin,random,1,25,0.1045,0.49925,40.072198386339714,0.345,400,0.2675,800,0.21583333333333332,1200
branin,random,1,26,0.11075,0.4455,40.072198386339714,0.36,400,0.2875,800,0.2275,1200
branin,random,1,27,0.12,0.4765,40.072198386339714,0.355,400,0.30375,800,0.25166666666666665,1200
branin,random,1,28,0.118,0.44475,40.072198386339714,0.3575,400,0.3,800,0.2475,1200
branin,random,1,29,0.12375,0.43825,40.072198386339714,0.3675,400,0.3075,800,0.25333333333333335,1200
branin,random,1,30,0.1255,0.42525,40.072198386339714,0.37,400,0.31375,800,0.2575,1200
branin,random,1,31,0.126,0.40125,40.072198386339714,0.3675,400,0.31125,800,0.255,1200
branin,random,1,32,0.122,0.3665,40.072198386339714,0.37,400,0.3175,800,0.2633333333333333,1200
branin,random,1,33,0.12975,0.4475,40.072198386339714,0.3975,400,0.34,800,0.2875,1200
branin,random,1,34,0.1325,0.4285,40.072198386339714,0.3975,400,0.34,800,0.2875,1200
branin,random,1,35,0.129,0.40975,40.072198386339714,0.39,400,0.335,800,0.2825,1200
branin,random,1,36,0.12775,0.40675,40.072198386339714,0.385,400,0.33,800,0.2791666666666667,1200
branin,random,1,37,0.1285,0.39,40.072198386339714,0.385,400,0.33,800,0.2791666666666667,1200
branin,random,1,38,0.11125,0.387,40.072198386339714,0.4225,400,0.32875,800,0.255,1200
branin,random,1,39,0.11075,0.36775,40.072198386339714,0.42,400,0.32625,800,0.25333333333333335,1200
branin,random,1,40,0.117,0.35325,40.072198386339714,0.415,400,0.325,800,0.25916666666666666,1200
branin,random,1,41,0.1145,0.335,40.072198386339714,0.4125,400,0.3275,800,0.26,1200
branin,random,1,42,0.1155,0.33375,40.072198386339714,0.41,400,0.33,800,0.2625,1200
branin,random,1,43,0.11625,0.323,40.072198386339714,0.41,400,0.32875,800,0.2608333333333333,1200
branin,random,1,44,0.1295,0.3155,40.072198386339714,0.42,400,0.345,800,0.2791666666666667,1200
branin,random,1,45,0.1355,0.3145,40.072198386339714,0.4225,400,0.35375,800,0.2925,1200
branin,random,1,46,0.13475,0.28975,40.072198386339714,0.4225,400,0.34875,800,0.2891666666666667,1200
branin,random,1,47,0.136,0.28675,40.072198386339714,0.42,400,0.3475,800,0.28583333333333333,1200
branin,random,1,48,0.13425,0.28575,40.072198386339714,0.43,400,0.3525,800,0.2925,1200
branin,random,1,49,0.13425,0.2815,40.072198386339714,0.43,400,0.35375,800,0.29333333333333333,1200
branin,random,1,50,0.1445,0.29575,40.072198386339714,0.43,400,0.34875,800,0.2891666666666667,1200
branin,random,2,6,0.396,0.75775,38.38582212377317,0.455,400,0.4,800,0.36083333333333334,1200
branin,random,2,7,0.3705,0.92225,38.38582212377317,0.4225,400,0.35375,800,0.31833333333333336,1200
branin,random,2,8,0.24775,0.9275,38.38582212377317,0.44,400,0.335,800,0.29083333333333333,1200
branin,random,2,9,0.2465,0.911,38.38582212377317,0.44,400,0.3325,800,0.2891666666666667,1200
branin,random,2,10,0.2515,0.86325,38.38582212377317,0.4575,400,0.355,800,0.305,1200
