benchmark_population,run_id,repeat,fold,nominal_warm_start,effective_warm_start,positive_count,negative_count,maximum_warm_start_limit,same_for_all_methods,hidden_labels_used_to_skip_candidates,sequential_stop_used_revealed_labels_only,warm_start_sha256
primary_common,primary_common__r01_f01,1,1,12,12,2,10,80,True,False,True,2550ccd57a5ca71b1207b95cdc1a47c681c887b7540e204147a7de64d7ee26a1
primary_common,primary_common__r01_f02,1,2,12,12,2,10,80,True,False,True,0ba0da05baa1b0a7d94af9b2e96a0380a7128e02b4b819e20765dee46a906dcf
primary_common,primary_common__r01_f03,1,3,12,12,1,11,80,True,False,True,6c5a17002b211b1b03e221ef867f7a7e51f9eb1adeb4e83afecb315aebf0a66e
primary_common,primary_common__r01_f04,1,4,12,12,4,8,80,True,False,True,776484823029f4d6c98e4ef07637ede0be72c174b2a06d258004caa70a130fb2
primary_common,primary_common__r01_f05,1,5,12,12,2,10,80,True,False,True,eb21fe47591edcb84ff909e9cb7869abebf83670cb5557c15abb3be22edece46
primary_common,primary_common__r02_f01,2,1,12,16,1,15,80,True,False,True,0b6c533c39d190bdeaec74d71d622a035f908da4dbfaa256cc17f50a1e27b4fa
primary_common,primary_common__r02_f02,2,2,12,12,4,8,80,True,False,True,45cc7aca72bd19fbcdda1bfe1a031d027b71ecab8ae1031b3f5e3fb7c47b3f3f
primary_common,primary_common__r02_f03,2,3,12,12,2,10,80,True,False,True,bb56c479f26a7e6b7d3e99878c6fb6fabf423f5990caf7432ec3656ea18760ff
primary_common,primary_common__r02_f04,2,4,12,12,3,9,80,True,False,True,3fc6f95366a4d17bb11fc4d986daf6fd59327e3405e63b421200e4eac0fb5dd5
primary_common,primary_common__r02_f05,2,5,12,12,3,9,80,True,False,True,ff57bf02960a3647dd548e75e73d0b8677257652f13f6d17b101b5dbab9cdd16
primary_common,primary_common__r03_f01,3,1,12,12,2,10,80,True,False,True,695de7bb43b2ac2052733a918ee8aaa15d225fb74db706802b1265f6a1aeecc8
primary_common,primary_common__r03_f02,3,2,12,12,1,11,80,True,False,True,68561b9098b5de10bdf4bdd7ebd491bb9dc47940d6bc30a2010372d405754b66
primary_common,primary_common__r03_f03,3,3,12,12,3,9,80,True,False,True,3a1987b2adf1f5413f9006217b1c448e9a6e0922031264a0d77c63cc7839b93e
primary_common,primary_common__r03_f04,3,4,12,12,3,9,80,True,False,True,4fb16fa99395ee1f53f7ba780a25d60f85e073258415d23fc1dec54ec1850f16
primary_common,primary_common__r03_f05,3,5,12,12,3,9,80,True,False,True,f8143edd9eeed4b53770ad2df13d1d54971a39ba11ca7206e1829eda9d3f04b6
primary_common,primary_common__r04_f01,4,1,12,12,1,11,80,True,False,True,b54ca5f0e3c842c9f25322291cbed2787676e720eeef1b9a510d9486ad254930
primary_common,primary_common__r04_f02,4,2,12,12,3,9,80,True,False,True,41934d6c8a6e7f7f13053c3b803b7def77bcd1ab55d5c33ebaa6f457f920991f
primary_common,primary_common__r04_f03,4,3,12,12,1,11,80,True,False,True,805b0b54c93912c802c67fd3a86e18ee53c2db17f61a55fe8f52ef9d1bac287a
primary_common,primary_common__r04_f04,4,4,12,12,5,7,80,True,False,True,8cfc4e7b5132b8e0c093c87005ccd09c755f3f7024859c83a3c2d1ef86cf539b
primary_common,primary_common__r04_f05,4,5,12,12,3,9,80,True,False,True,7eedf936eead439003e8b393eb6f9bba176e62f48b8a9c700740a7c3ac25ce77
secondary_g3_common,secondary_g3_common__r01_f01,1,1,12,12,1,11,80,True,False,True,bcca39ca84cc4c8c0ea5258529c2d24df6976c1466b9b3155e8321c594a4a878
secondary_g3_common,secondary_g3_common__r01_f02,1,2,12,12,3,9,80,True,False,True,bb253606f3ed4fb698c376454c4b37713329063b0c74606256dc44ea2b32bc99
secondary_g3_common,secondary_g3_common__r01_f03,1,3,12,12,1,11,80,True,False,True,54b8c1884b6de8a80e256d51cfecc993024679aa94ce7ef46a187187cde76311
secondary_g3_common,secondary_g3_common__r01_f04,1,4,12,12,1,11,80,True,False,True,e9f0acea1a0a4b76b29baa0b765f3a175bd77b2f05c2b711810bb6b5c48f5808
secondary_g3_common,secondary_g3_common__r01_f05,1,5,12,12,1,11,80,True,False,True,b826d8e661b40d3abe2cba599906a1b344476a9edf8b29fc2c96671db829580b
secondary_g3_common,secondary_g3_common__r02_f01,2,1,12,12,3,9,80,True,False,True,91c425023bc4ac0353b60e0c61f720e50f034651c018366ad41f3d439e700a43
secondary_g3_common,secondary_g3_common__r02_f02,2,2,12,12,5,7,80,True,False,True,b3f4d3fb6d90ff7a04df8a9c572c8e341dd15f05209db8092c9af166694c31ff
secondary_g3_common,secondary_g3_common__r02_f03,2,3,12,12,2,10,80,True,False,True,1d1aafffcf10ca1056b6a241ad1e405e88d115edaf47493ec33f60e8ffb7d7c9
secondary_g3_common,secondary_g3_common__r02_f04,2,4,12,12,8,4,80,True,False,True,ba283ad3b7f4d848357d20136dc62d7344e2ad80c363f2fcc1f6a507e029af27
secondary_g3_common,secondary_g3_common__r02_f05,2,5,12,12,2,10,80,True,False,True,31fb6d23b387b523cd8e7f3f62651a6237b7d731c6d06e3232c70ab97c44b25e
secondary_g3_common,secondary_g3_common__r03_f01,3,1,12,12,2,10,80,True,False,True,dc6754a7d09f449fa626971773eea24cd1628b792b24bb87c99d8e0b31c7791e
secondary_g3_common,secondary_g3_common__r03_f02,3,2,12,12,1,11,80,True,False,True,d70942cacf0ab48e31637a8dd543004de58dda23799563b9fe7bfbad7e89f2be
secondary_g3_common,secondary_g3_common__r03_f03,3,3,12,12,2,10,80,True,False,True,3e2f0efedfed713c3c9f1f9aeaa5fa69c27f4ab9cd3ba496e6f783c05c4af4fc
secondary_g3_common,secondary_g3_common__r03_f04,3,4,12,12,2,10,80,True,False,True,1d83b176ae3a851fb7bf7e4f21a62dece635ebe9f3b62c0c413481a6ce4d8daa
secondary_g3_common,secondary_g3_common__r03_f05,3,5,12,12,3,9,80,True,False,True,41f1f33c3b16d4194e96329c1d95700ec464e56a586f41bf90aa0205a2e16631
secondary_g3_common,secondary_g3_common__r04_f01,4,1,12,12,1,11,80,True,False,True,06afb3745458f3beef6187a7f630ba38828a21e0ea67200756595d76ce8f2909
secondary_g3_common,secondary_g3_common__r04_f02,4,2,12,12,2,10,80,True,False,True,710222477c55ba002ab1b8291c1ff291ef1d31967bbb2ded7454c3f2a5179b5e
