benchmark,method,mean_final_global_error,std_final_global_error,rank_final_global_error,mean_final_near_boundary_error_q10,std_final_near_boundary_error_q10,rank_final_near_boundary_error_q10,mean_final_near_boundary_error_q20,std_final_near_boundary_error_q20,rank_final_near_boundary_error_q20,mean_final_near_boundary_error_q30,std_final_near_boundary_error_q30,rank_final_near_boundary_error_q30,mean_final_latent_uncertainty_region_fraction,std_final_latent_uncertainty_region_fraction,rank_final_latent_uncertainty_region_fraction,mean_final_latent_uncertainty_region_fraction_q20,std_final_latent_uncertainty_region_fraction_q20,rank_final_latent_uncertainty_region_fraction_q20,mean_final_latent_uncertainty_region_fraction_q30,std_final_latent_uncertainty_region_fraction_q30,rank_final_latent_uncertainty_region_fraction_q30,mean_query_distance,median_query_distance,query_distance_q25,query_distance_q75,fraction_queries_in_pool_boundary_band_q10,fraction_queries_in_pool_boundary_band_q20,fraction_queries_in_pool_boundary_band_q30,rank_median_query_distance
ackley,random,0.282660,0.019293,8,0.478000,0.007376,8,0.459300,0.003881,8,0.434200,0.008090,8,0.919440,0.065801,7,0.949300,0.038796,7,0.947000,0.038351,7,1.337517,1.130254,0.508493,1.881220,0.111765,0.182353,0.305882,3
ackley,smallest_abs_mu,0.236240,0.022286,7,0.461800,0.021563,5,0.439600,0.016209,6,0.412600,0.019825,7,0.943340,0.018807,8,0.963800,0.008970,8,0.960933,0.009810,8,1.079449,0.839807,0.406172,1.612873,0.105882,0.238235,0.358824,1
ackley,straddle,0.168400,0.021478,1,0.460000,0.015007,4,0.415400,0.017080,3,0.369733,0.016774,2,0.696420,0.075812,2,0.878700,0.033780,4,0.868533,0.033719,4,1.435860,1.282224,0.694081,2.079673,0.070588,0.152941,0.223529,6
ackley,randomized_straddle,0.175380,0.008484,2,0.450800,0.012156,1,0.408400,0.012575,1,0.368200,0.010649,1,0.697440,0.069228,3,0.876500,0.045566,3,0.865600,0.044380,3,1.395886,1.250842,0.654597,1.952730,0.061765,0.144118,0.232353,4
ackley,expected_feasibility,0.189820,0.011489,5,0.469600,0.017188,6,0.429300,0.017628,5,0.389867,0.016386,5,0.683880,0.103941,1,0.856500,0.047147,1,0.841800,0.055545,1,1.624536,1.519027,0.797758,2.460125,0.061765,0.141176,0.197059,8
ackley,diversified_straddle,0.182420,0.018210,3,0.456200,0.013790,3,0.418500,0.015037,4,0.377600,0.016694,4,0.737920,0.071532,5,0.895800,0.036073,5,0.886333,0.038843,5,1.492771,1.415815,0.666464,2.184032,0.097059,0.158824,0.226471,7
ackley,boundary_gated_diversified_straddle,0.184440,0.018303,4,0.452000,0.018033,2,0.412600,0.018236,2,0.375733,0.019103,3,0.715520,0.064753,4,0.871600,0.032384,2,0.865267,0.035146,2,1.441832,1.274541,0.599566,2.137693,0.091176,0.161765,0.255882,5
ackley,lookahead_boundary_uncertainty_reduction,0.228960,0.027604,6,0.473000,0.016864,7,0.444200,0.012528,7,0.408000,0.018431,6,0.849940,0.090306,6,0.917200,0.046005,6,0.911933,0.050196,6,1.041577,0.888686,0.464036,1.365778,0.108824,0.202941,0.347059,2
