benchmark,display_name,diversified_alpha,boundary_gated_gate_fraction,boundary_gated_beta,boundary_gated_min_shortlist_size,gbc_shortlist_size,gbc_finite_difference_h,gbc_curvature_clip,gbc_repulsion_bandwidth,gbc_boundary_weight_power,gbc_global_error,gbc_q20_error,gbc_q30_error,gbc_median_query_distance,gbc_global_uncertainty_fraction,gbc_q20_uncertainty_fraction,gbc_q30_uncertainty_fraction,boundary_gated_global_error,boundary_gated_q20_error,boundary_gated_q30_error,boundary_gated_median_query_distance,boundary_gated_q20_uncertainty_fraction,boundary_gated_q30_uncertainty_fraction,diversified_global_error,diversified_q20_error,diversified_q30_error,diversified_median_query_distance,best_original_global_method,best_original_global_error,improves_global_over_best_original,improves_global_over_straddle,improves_global_over_randomized_straddle,improves_global_over_diversified_straddle,improves_global_over_boundary_gated_diversified_straddle,best_original_q20_method,best_original_q20_error,improves_q20_over_best_original,improves_q20_over_straddle,improves_q20_over_randomized_straddle,improves_q20_over_diversified_straddle,improves_q20_over_boundary_gated_diversified_straddle,best_original_q30_method,best_original_q30_error,improves_q30_over_best_original,improves_q30_over_straddle,improves_q30_over_randomized_straddle,improves_q30_over_diversified_straddle,improves_q30_over_boundary_gated_diversified_straddle,queries_closer_than_diversified_straddle,queries_closer_than_straddle,queries_closer_than_randomized_straddle,queries_closer_than_boundary_gated_diversified_straddle,queries_closer_than_smallest_abs_mu,reduces_global_uncertainty_vs_straddle,reduces_global_uncertainty_vs_randomized_straddle,reduces_global_uncertainty_vs_boundary_gated_diversified_straddle,reduces_q20_uncertainty_vs_diversified_straddle,reduces_q20_uncertainty_vs_straddle,reduces_q20_uncertainty_vs_randomized_straddle,reduces_q20_uncertainty_vs_boundary_gated_diversified_straddle,reduces_q20_uncertainty_vs_expected_feasibility,reduces_q30_uncertainty_vs_diversified_straddle,reduces_q30_uncertainty_vs_straddle,reduces_q30_uncertainty_vs_randomized_straddle,reduces_q30_uncertainty_vs_boundary_gated_diversified_straddle,reduces_q30_uncertainty_vs_expected_feasibility,lookahead_boundary_uncertainty_reduction_reference_available,lookahead_reference_global_error,lookahead_reference_q20_error,lookahead_reference_q30_error,lookahead_reference_median_query_distance,lookahead_reference_global_uncertainty_fraction,lookahead_reference_q20_uncertainty_fraction,lookahead_reference_q30_uncertainty_fraction
branin,Thresholded Branin,0.25,0.1,0.5,25,200,0.001,10.0,0.15,1.0,0.071700,0.271750,0.210000,24.222446,0.231450,0.438750,0.386500,0.063450,0.262750,0.197333,20.654992,0.495750,0.432667,0.064450,0.259250,0.197333,21.850675,randomized_straddle,0.060200,False,False,False,False,False,smallest_abs_mu,0.246750,False,False,False,False,False,randomized_straddle,0.186500,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,True,True,False,True,0.055900,0.235500,0.175333,20.954706,0.284200,0.478500,0.416833
ackley,Thresholded 4D Ackley,0.25,0.1,0.5,25,200,0.001,10.0,0.15,1.0,0.200440,0.422000,0.384733,1.292692,0.712940,0.838000,0.833667,0.184440,0.412600,0.375733,1.274541,0.871600,0.865267,0.182420,0.418500,0.377600,1.415815,straddle,0.168400,False,False,False,False,False,randomized_straddle,0.408400,False,False,False,False,False,randomized_straddle,0.368200,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,0.228960,0.444200,0.408000,0.888686,0.849940,0.917200,0.911933
