simulation_id,analysis_domain,window_type,window_value,window_distance_um,candidate_id,value,unit,event_position_s,available,typical_window_observation_count,minimum_required_observations,minimum_span_fraction,any_keyhole,record_type,availability_count,availability_fraction,median_value,roc_auc_any_keyhole,pr_auc_any_keyhole,prevalence,positive_count,negative_count,median_window_observation_count
sim_00001,common_interior,normalized_track_fraction,2.5,30.3,R3,0.418954717772296,dimensionless,0.22374231781361098,True,3185.0,5,0.8,False,simulation,,,,,,,,,
sim_00001,common_interior,normalized_track_fraction,5.0,60.6,G3,50.843819999999994,um,0.4394145501545559,True,6369.0,5,0.8,False,simulation,,,,,,,,,
sim_00001,common_interior,normalized_track_fraction,5.0,60.6,G4,50.89674,um,0.24522238509295216,True,6369.0,5,0.8,False,simulation,,,,,,,,,
sim_00001,common_interior,normalized_track_fraction,5.0,60.6,R3,0.4170592236003311,dimensionless,0.2523196231841545,True,6369.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,adaptive_active_interior,physical_um,20.0,20.0,G3,26.848979999999997,um,0.8568955287532093,True,1202.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,adaptive_active_interior,physical_um,20.0,20.0,G4,26.9183,um,0.8548356055659593,True,1202.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,adaptive_active_interior,physical_um,20.0,20.0,R3,0.2365526352320158,dimensionless,0.8861617135071612,True,1202.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,adaptive_active_interior,physical_um,50.0,49.99999999999999,G3,26.758460000000003,um,0.6946626634449875,True,3004.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,adaptive_active_interior,physical_um,50.0,49.99999999999999,G4,26.852036,um,0.8568131015772144,True,3004.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,adaptive_active_interior,physical_um,50.0,49.99999999999999,R3,0.23345659750047726,dimensionless,0.8933986683169937,True,3004.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,adaptive_active_interior,physical_um,100.0,99.99999999999999,G3,26.722765,um,0.6950197470459492,True,6008.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,adaptive_active_interior,physical_um,100.0,99.99999999999999,G4,26.798119999999997,um,0.8583376262268092,True,6008.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,adaptive_active_interior,physical_um,100.0,99.99999999999999,R3,0.22126454665436524,dimensionless,0.7503242985903956,True,6008.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,adaptive_active_interior,normalized_track_fraction,1.0,12.12,G3,26.896639999999998,um,0.8555774501499138,True,729.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,adaptive_active_interior,normalized_track_fraction,1.0,12.12,G4,26.930678,um,0.8542313916795375,True,729.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,adaptive_active_interior,normalized_track_fraction,1.0,12.12,R3,0.2370198934263855,dimensionless,0.8858320048031816,True,729.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,adaptive_active_interior,normalized_track_fraction,2.5,30.3,G3,26.80444,um,0.8577886158619255,True,1821.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,adaptive_active_interior,normalized_track_fraction,2.5,30.3,G4,26.896639999999998,um,0.8555774501499138,True,1821.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,adaptive_active_interior,normalized_track_fraction,2.5,30.3,R3,0.23585278552255023,dimensionless,0.8866971120448167,True,1821.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,adaptive_active_interior,normalized_track_fraction,5.0,60.6,G3,26.746399999999998,um,0.6905426658279626,True,3641.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,adaptive_active_interior,normalized_track_fraction,5.0,60.6,G4,26.83484,um,0.8572804409787269,True,3641.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,adaptive_active_interior,normalized_track_fraction,5.0,60.6,R3,0.2322825621974155,dimensionless,0.8977665524321025,True,3641.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,common_interior,physical_um,20.0,20.0,G3,23.015960000000003,um,0.4000808676748838,True,1201.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,common_interior,physical_um,20.0,20.0,G4,23.133168,um,0.3970732588274789,True,1201.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,common_interior,physical_um,20.0,20.0,R3,0.19006203266830907,dimensionless,0.2923289627425205,True,1201.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,common_interior,physical_um,50.0,49.99999999999999,G3,22.959229999999998,um,0.3165660310631069,True,3001.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,common_interior,physical_um,50.0,49.99999999999999,G4,23.015974,um,0.4000808676748838,True,3001.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,common_interior,physical_um,50.0,49.99999999999999,R3,0.1885603158401749,dimensionless,0.3021365867457221,True,3001.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,common_interior,physical_um,100.0,99.99999999999999,G3,22.92943,um,0.35200003721935297,True,6001.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,common_interior,physical_um,100.0,99.99999999999999,G4,23.002938,um,0.4257486146584506,True,6001.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,common_interior,physical_um,100.0,99.99999999999999,R3,0.1861772552351284,dimensionless,0.3153142723069193,True,6001.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,common_interior,normalized_track_fraction,1.0,12.12,G3,23.09795,um,0.3980483193846156,True,728.0,5,0.8,False,simulation,,,,,,,,,
sim_00002,common_interior,normalized_track_fraction,1.0,12.12,G4,25.951368,um,0.5494318021790793,True,728.0,5,0.8,False,simulation,,,,,,,,,
