target,target_label,target_unit,model,model_label,model_family,kernel,noise_method,probabilistic,probabilistic_deployable,eligible_n,n,MAE,relative_MAE_pct,RMSE,relative_RMSE_pct,R2,target_median_abs_scale,relative_error_denominator_definition,target_min,target_median,target_max,target_range,NLPD,coverage_95,calibration_absolute_error_from_0_95,median_predictive_interval_width,fit_failures,warnings,convergence_warning_folds,bound_hit_folds,bound_hit_fraction,aggregate_fold_runtime_seconds,metrics_recomputed_from_prediction_rows,dataset_revision,partition,rank_by_RMSE,probabilistic_calibration_rank
depth,T0 penetration depth,um,rbf_learned_nugget,RBF + learned nugget,Gaussian process,RBF,B_shared_learned_nugget,True,True,12,12,29.289580055563203,41.58926231292961,57.86409639397908,82.16318154321746,0.38009957232654557,70.4258225,median(abs(y_observed)),38.97961,70.4258225,298.89750000000004,259.91789000000006,5.279044449275009,0.9166666666666666,0.033333333333333326,109.52018843258239,0,4,4,6,0.5,9.71931500005303,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,2,1
depth,T0 penetration depth,um,matern52_learned_nugget,Matérn 5/2 + learned nugget,Gaussian process,Matérn 5/2,B_shared_learned_nugget,True,True,12,12,30.96368516204377,43.96638060143887,58.05165385959175,82.42950071274177,0.37607443788140404,70.4258225,median(abs(y_observed)),38.97961,70.4258225,298.89750000000004,259.91789000000006,5.344650779880076,0.9166666666666666,0.033333333333333326,115.66651856676927,0,6,6,8,0.6666666666666666,10.619672300061211,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,3,3
depth,T0 penetration depth,um,matern32_learned_nugget,Matérn 3/2 + learned nugget,Gaussian process,Matérn 3/2,B_shared_learned_nugget,True,True,12,12,33.14851428688647,47.06869314431716,59.0597992845535,83.86100039449806,0.3542156468498634,70.4258225,median(abs(y_observed)),38.97961,70.4258225,298.89750000000004,259.91789000000006,5.482065608257497,0.9166666666666666,0.033333333333333326,130.55207148776407,0,3,3,6,0.5,9.902504499943461,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,5,5
kinetic_energy,T0 melt kinetic energy,nJ,matern32_learned_nugget,Matérn 3/2 + learned nugget,Gaussian process,Matérn 3/2,B_shared_learned_nugget,True,True,12,12,0.9366502810294723,26.538723632121304,1.2917519007964944,36.60004954979227,0.4781217093813056,3.529372,median(abs(y_observed)),0.7339642,3.529372,6.751311,6.0173468,1.8314258424068084,0.75,0.19999999999999996,3.148683141003423,0,3,3,6,0.5,9.468767000013031,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,4,2
kinetic_energy,T0 melt kinetic energy,nJ,matern52_learned_nugget,Matérn 5/2 + learned nugget,Gaussian process,Matérn 5/2,B_shared_learned_nugget,True,True,12,12,0.9506623364234503,26.935736341293868,1.32985586868453,37.67967413705696,0.44687898262093795,3.529372,median(abs(y_observed)),0.7339642,3.529372,6.751311,6.0173468,2.137656854851086,0.6666666666666666,0.2833333333333333,3.157344738843968,0,1,1,5,0.4166666666666667,9.343132400070317,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,6,4
kinetic_energy,T0 melt kinetic energy,nJ,rbf_learned_nugget,RBF + learned nugget,Gaussian process,RBF,B_shared_learned_nugget,True,True,12,12,0.9536229248977511,27.01962062649534,1.362974712288738,38.618051944899484,0.41898598385160435,3.529372,median(abs(y_observed)),0.7339642,3.529372,6.751311,6.0173468,2.35276503336617,0.6666666666666666,0.2833333333333333,3.152291795471837,0,3,3,6,0.5,10.02264300006209,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,8,6
total_height,T0 total vertical melt-pool height,um,matern52_learned_nugget,Matérn 5/2 + learned nugget,Gaussian process,Matérn 5/2,B_shared_learned_nugget,True,True,12,12,31.047499099879342,31.6258440730272,58.553708736717304,59.6444324371385,0.3072428094969598,98.17129,median(abs(y_observed)),61.817415,98.17129,317.11514,255.297725,5.486553722611681,0.9166666666666666,0.033333333333333326,115.15503830805677,0,6,6,8,0.6666666666666666,10.623690899985377,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,2,3
total_height,T0 total vertical melt-pool height,um,rbf_learned_nugget,RBF + learned nugget,Gaussian process,RBF,B_shared_learned_nugget,True,True,12,12,30.325571670894096,30.89046876219524,58.63878114398339,59.731089551724736,0.30522833984289943,98.17129,median(abs(y_observed)),61.817415,98.17129,317.11514,255.297725,5.442303546237487,0.9166666666666666,0.033333333333333326,109.12849365921338,0,4,4,6,0.5,10.098543000058271,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,4,1
total_height,T0 total vertical melt-pool height,um,matern32_learned_nugget,Matérn 3/2 + learned nugget,Gaussian process,Matérn 3/2,B_shared_learned_nugget,True,True,12,12,32.894100140938754,33.50684313197754,59.25400927523391,60.357777997247375,0.2905730079351002,98.17129,median(abs(y_observed)),61.817415,98.17129,317.11514,255.297725,5.603573277696294,0.9166666666666666,0.033333333333333326,129.13180942088408,0,4,4,7,0.5833333333333334,10.15030349988956,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,6,5
width,T0 melt-pool width,um,matern52_learned_nugget,Matérn 5/2 + learned nugget,Gaussian process,Matérn 5/2,B_shared_learned_nugget,True,True,12,12,6.537691391056608,4.298287410952066,8.699678312548789,5.719712897631541,0.8511400403434172,152.09991250000002,median(abs(y_observed)),125.25069,152.09991250000002,206.59155,81.34086,3.3906639699223633,1.0,0.050000000000000044,26.685859190483626,0,4,4,6,0.5,10.633948699920438,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,3,6
