target,target_label,target_unit,model,model_label,model_family,kernel,noise_method,probabilistic,probabilistic_deployable,eligible_n,n,MAE,relative_MAE_pct,RMSE,relative_RMSE_pct,R2,target_median_abs_scale,relative_error_denominator_definition,target_min,target_median,target_max,target_range,NLPD,coverage_95,calibration_absolute_error_from_0_95,median_predictive_interval_width,fit_failures,warnings,convergence_warning_folds,bound_hit_folds,bound_hit_fraction,aggregate_fold_runtime_seconds,metrics_recomputed_from_prediction_rows,dataset_revision,partition,rank_by_RMSE,probabilistic_calibration_rank
kinetic_energy,T0 melt kinetic energy,nJ,matern52_learned_nugget,Matérn 5/2 + learned nugget,Gaussian process,Matérn 5/2,B_shared_learned_nugget,True,True,12,12,0.9506623364234503,26.935736341293868,1.32985586868453,37.67967413705696,0.44687898262093795,3.529372,median(abs(y_observed)),0.7339642,3.529372,6.751311,6.0173468,2.137656854851086,0.6666666666666666,0.2833333333333333,3.157344738843968,0,1,1,5,0.4166666666666667,9.343132400070317,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,6,4
kinetic_energy,T0 melt kinetic energy,nJ,rbf_no_nugget,"RBF, numerical jitter",Gaussian process,RBF,A_numerical_jitter,True,True,12,12,0.9473813433707617,26.84277382409,1.3607222863245292,38.55423249021438,0.4209047424093927,3.529372,median(abs(y_observed)),0.7339642,3.529372,6.751311,6.0173468,2.266059106214483,0.6666666666666666,0.2833333333333333,2.881984686221661,0,0,0,0,0.0,3.4286048999638297,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,7,5
kinetic_energy,T0 melt kinetic energy,nJ,rbf_learned_nugget,RBF + learned nugget,Gaussian process,RBF,B_shared_learned_nugget,True,True,12,12,0.9536229248977511,27.01962062649534,1.362974712288738,38.618051944899484,0.41898598385160435,3.529372,median(abs(y_observed)),0.7339642,3.529372,6.751311,6.0173468,2.35276503336617,0.6666666666666666,0.2833333333333333,3.152291795471837,0,3,3,6,0.5,10.02264300006209,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,8,6
total_height,T0 total vertical melt-pool height,um,matern32_no_nugget,"Matérn 3/2, numerical jitter",Gaussian process,Matérn 3/2,A_numerical_jitter,True,True,12,12,32.894037151807126,33.506778969500274,59.254031283025796,60.35780041499484,0.2905724809522112,98.17129,median(abs(y_observed)),61.817415,98.17129,317.11514,255.297725,5.60358175999649,0.9166666666666666,0.033333333333333326,129.13268835280064,0,0,0,0,0.0,3.9305381999583915,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,7,6
total_height,T0 total vertical melt-pool height,um,matern32_learned_nugget,Matérn 3/2 + learned nugget,Gaussian process,Matérn 3/2,B_shared_learned_nugget,True,True,12,12,32.894100140938754,33.50684313197754,59.25400927523391,60.357777997247375,0.2905730079351002,98.17129,median(abs(y_observed)),61.817415,98.17129,317.11514,255.297725,5.603573277696294,0.9166666666666666,0.033333333333333326,129.13180942088408,0,4,4,7,0.5833333333333334,10.15030349988956,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,6,5
total_height,T0 total vertical melt-pool height,um,matern32_heteroskedastic_alpha,Matérn 3/2 + heteroskedastic alpha,Gaussian process,Matérn 3/2,C_heteroskedastic_alpha,True,False,12,12,32.91307185768189,33.52616824906945,59.28717923786434,60.391565841565644,0.2897785215018096,98.17129,median(abs(y_observed)),61.817415,98.17129,317.11514,255.297725,5.607658737495023,0.9166666666666666,0.033333333333333326,129.2214910226364,0,0,0,0,0.0,3.4047446000622585,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,8,
total_height,T0 total vertical melt-pool height,um,matern52_no_nugget,"Matérn 5/2, numerical jitter",Gaussian process,Matérn 5/2,A_numerical_jitter,True,True,12,12,31.047631766352538,31.625979210777956,58.553822241672016,59.64454805643484,0.3072401237080852,98.17129,median(abs(y_observed)),61.817415,98.17129,317.11514,255.297725,5.486561130249246,0.9166666666666666,0.033333333333333326,115.15645377083038,0,0,0,0,0.0,3.4244343999307603,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,3,4
total_height,T0 total vertical melt-pool height,um,matern52_learned_nugget,Matérn 5/2 + learned nugget,Gaussian process,Matérn 5/2,B_shared_learned_nugget,True,True,12,12,31.047499099879342,31.6258440730272,58.553708736717304,59.6444324371385,0.3072428094969598,98.17129,median(abs(y_observed)),61.817415,98.17129,317.11514,255.297725,5.486553722611681,0.9166666666666666,0.033333333333333326,115.15503830805677,0,6,6,8,0.6666666666666666,10.623690899985377,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,2,3
total_height,T0 total vertical melt-pool height,um,rbf_no_nugget,"RBF, numerical jitter",Gaussian process,RBF,A_numerical_jitter,True,True,12,12,30.325593684737743,30.890491186107205,58.638835452900516,59.73114487229465,0.305227052902303,98.17129,median(abs(y_observed)),61.817415,98.17129,317.11514,255.297725,5.4423086090198,0.9166666666666666,0.033333333333333326,109.13196854009564,0,0,0,0,0.0,3.2272594001260586,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,5,2
total_height,T0 total vertical melt-pool height,um,rbf_learned_nugget,RBF + learned nugget,Gaussian process,RBF,B_shared_learned_nugget,True,True,12,12,30.325571670894096,30.89046876219524,58.63878114398339,59.731089551724736,0.30522833984289943,98.17129,median(abs(y_observed)),61.817415,98.17129,317.11514,255.297725,5.442303546237487,0.9166666666666666,0.033333333333333326,109.12849365921338,0,4,4,6,0.5,10.098543000058271,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,4,1
width,T0 melt-pool width,um,matern32_no_nugget,"Matérn 3/2, numerical jitter",Gaussian process,Matérn 3/2,A_numerical_jitter,True,True,12,12,9.901421991403295,6.509814390197821,17.608398668096246,11.57686311495823,0.39016656186402376,152.09991250000002,median(abs(y_observed)),125.25069,152.09991250000002,206.59155,81.34086,3.864995506211329,0.9166666666666666,0.033333333333333326,30.803833855905538,0,0,0,0,0.0,4.000011699972674,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,5,4
width,T0 melt-pool width,um,matern32_learned_nugget,Matérn 3/2 + learned nugget,Gaussian process,Matérn 3/2,B_shared_learned_nugget,True,True,12,12,9.90129889905373,6.509733461584817,17.60815909854274,11.576705606942896,0.3901831558239156,152.09991250000002,median(abs(y_observed)),125.25069,152.09991250000002,206.59155,81.34086,3.8649871153985527,0.9166666666666666,0.033333333333333326,30.80341727017578,0,2,2,5,0.4166666666666667,10.109146000235341,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,4,3
width,T0 melt-pool width,um,matern32_heteroskedastic_alpha,Matérn 3/2 + heteroskedastic alpha,Gaussian process,Matérn 3/2,C_heteroskedastic_alpha,True,False,12,12,9.901444815045043,6.509829395888075,17.608420509064644,11.576877474577536,0.39016504902218485,152.09991250000002,median(abs(y_observed)),125.25069,152.09991250000002,206.59155,81.34086,3.8649994814493724,0.9166666666666666,0.033333333333333326,30.804123924952926,0,0,0,0,0.0,3.7749514000606723,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,6,
width,T0 melt-pool width,um,matern52_no_nugget,"Matérn 5/2, numerical jitter",Gaussian process,Matérn 5/2,A_numerical_jitter,True,True,12,12,6.53766258258975,4.298268470463288,8.699632696705843,5.719682906922015,0.8511416014022275,152.09991250000002,median(abs(y_observed)),125.25069,152.09991250000002,206.59155,81.34086,3.3906564742793446,1.0,0.050000000000000044,26.686476336751994,0,0,0,0,0.0,4.3326100002159365,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,2,5
width,T0 melt-pool width,um,matern52_learned_nugget,Matérn 5/2 + learned nugget,Gaussian process,Matérn 5/2,B_shared_learned_nugget,True,True,12,12,6.537691391056608,4.298287410952066,8.699678312548789,5.719712897631541,0.8511400403434172,152.09991250000002,median(abs(y_observed)),125.25069,152.09991250000002,206.59155,81.34086,3.3906639699223633,1.0,0.050000000000000044,26.685859190483626,0,4,4,6,0.5,10.633948699920438,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,3,6
width,T0 melt-pool width,um,rbf_no_nugget,"RBF, numerical jitter",Gaussian process,RBF,A_numerical_jitter,True,True,12,12,9.809251879741984,6.449215991325427,17.6094989683838,11.577586521217622,0.3900903458622784,152.09991250000002,median(abs(y_observed)),125.25069,152.09991250000002,206.59155,81.34086,3.7481902675494783,0.9166666666666666,0.033333333333333326,26.225806268743135,0,0,0,0,0.0,3.6532302999985404,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,7,1
width,T0 melt-pool width,um,rbf_learned_nugget,RBF + learned nugget,Gaussian process,RBF,B_shared_learned_nugget,True,True,12,12,10.124265865904894,6.6563258975608495,17.649022362064397,11.603571673365948,0.38734946706006845,152.09991250000002,median(abs(y_observed)),125.25069,152.09991250000002,206.59155,81.34086,3.836511790459243,0.9166666666666666,0.033333333333333326,28.906767245038615,0,1,1,4,0.3333333333333333,10.712445799959823,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,8,2
