target,target_unit,comparison_group,model_a,model_b,metric,difference_definition,paired_n,observed_difference,ci_low,ci_high,ci_excludes_zero,robustly_favours_model_a,robustly_favours_model_b,bootstrap_resamples,paired_by_experiment_name,dataset_revision
kinetic_energy,nJ,learned_kernel_candidate_vs_matern32,rbf_learned_nugget,matern32_learned_nugget,MAE,model_a minus model_b; negative favours model_a,12,0.01697264386827879,-0.047194090261500725,0.0872774204503723,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
kinetic_energy,nJ,learned_kernel_candidate_vs_matern32,rbf_learned_nugget,matern32_learned_nugget,RMSE,model_a minus model_b; negative favours model_a,12,0.07122281149224352,-0.010652378115469431,0.14272106229095521,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
kinetic_energy,nJ,noise_B_vs_A,matern32_learned_nugget,matern32_no_nugget,MAE,model_a minus model_b; negative favours model_a,12,0.001248371283367855,-0.002095328302504243,0.005843930683306711,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
kinetic_energy,nJ,noise_B_vs_A,matern32_learned_nugget,matern32_no_nugget,RMSE,model_a minus model_b; negative favours model_a,12,0.00018975320017067254,-4.71689202722364e-05,0.0009143500112881811,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
kinetic_energy,nJ,noise_B_vs_C,matern32_learned_nugget,matern32_heteroskedastic_alpha,MAE,model_a minus model_b; negative favours model_a,12,0.0013299653764741182,-0.0019980850558551587,0.0058891318773400675,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
kinetic_energy,nJ,noise_B_vs_C,matern32_learned_nugget,matern32_heteroskedastic_alpha,RMSE,model_a minus model_b; negative favours model_a,12,0.00031978446856939513,2.1865027563616752e-05,0.0010211742633541934,True,False,True,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
kinetic_energy,nJ,noise_C_vs_A,matern32_heteroskedastic_alpha,matern32_no_nugget,MAE,model_a minus model_b; negative favours model_a,12,-8.159409310626309e-05,-0.0001804416160108291,8.199083383947353e-06,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
kinetic_energy,nJ,noise_C_vs_A,matern32_heteroskedastic_alpha,matern32_no_nugget,RMSE,model_a minus model_b; negative favours model_a,12,-0.0001300312683987226,-0.0002020344157290188,-2.9485331951217832e-05,True,True,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
kinetic_energy,nJ,selected_gp_vs_baseline,matern32_learned_nugget,linear_ridge,MAE,model_a minus model_b; negative favours model_a,12,0.05688857586964702,-0.1917413978166406,0.30424939181291627,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
kinetic_energy,nJ,selected_gp_vs_baseline,matern32_learned_nugget,linear_ridge,RMSE,model_a minus model_b; negative favours model_a,12,0.14084342642005665,-0.101375465536048,0.32407976953454853,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
kinetic_energy,nJ,selected_gp_vs_baseline,matern32_learned_nugget,polynomial_ridge_degree2,MAE,model_a minus model_b; negative favours model_a,12,-0.3865953117492238,-1.0044703740124414,0.15407429861106342,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
kinetic_energy,nJ,selected_gp_vs_baseline,matern32_learned_nugget,polynomial_ridge_degree2,RMSE,model_a minus model_b; negative favours model_a,12,-0.734852333132241,-1.3761327322550745,0.13547163118019787,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
kinetic_energy,nJ,selected_gp_vs_baseline,matern32_learned_nugget,training_mean,MAE,model_a minus model_b; negative favours model_a,12,-0.7175227916978002,-1.305579438782437,-0.15216362643342393,True,True,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
kinetic_energy,nJ,selected_gp_vs_baseline,matern32_learned_nugget,training_mean,RMSE,model_a minus model_b; negative favours model_a,12,-0.6589147291649895,-1.2866629425766116,-0.1586799998935578,True,True,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
kinetic_energy,nJ,selected_kernel_learned_nugget_vs_no_nugget,matern32_learned_nugget,matern32_no_nugget,MAE,model_a minus model_b; negative favours model_a,12,0.001248371283367855,-0.002095328302504243,0.005843930683306711,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
kinetic_energy,nJ,selected_kernel_learned_nugget_vs_no_nugget,matern32_learned_nugget,matern32_no_nugget,RMSE,model_a minus model_b; negative favours model_a,12,0.00018975320017067254,-4.71689202722364e-05,0.0009143500112881811,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
total_height,um,learned_kernel_candidate_vs_matern32,matern52_learned_nugget,matern32_learned_nugget,MAE,model_a minus model_b; negative favours model_a,12,-1.8466010410594116,-3.169598665344908,-0.5273491540706309,True,True,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
total_height,um,learned_kernel_candidate_vs_matern32,matern52_learned_nugget,matern32_learned_nugget,RMSE,model_a minus model_b; negative favours model_a,12,-0.7003005385166077,-2.714792805794774,-0.017297443370730317,True,True,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
total_height,um,learned_kernel_candidate_vs_matern32,rbf_learned_nugget,matern32_learned_nugget,MAE,model_a minus model_b; negative favours model_a,12,-2.568528470044658,-4.440950369116277,-0.6820147429248578,True,True,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
total_height,um,learned_kernel_candidate_vs_matern32,rbf_learned_nugget,matern32_learned_nugget,RMSE,model_a minus model_b; negative favours model_a,12,-0.6152281312505252,-4.871063600790956,0.6795321176908433,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
total_height,um,noise_B_vs_A,matern32_learned_nugget,matern32_no_nugget,MAE,model_a minus model_b; negative favours model_a,12,6.298913162794406e-05,-0.00012032068196354828,0.00033542541281867945,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
total_height,um,noise_B_vs_A,matern32_learned_nugget,matern32_no_nugget,RMSE,model_a minus model_b; negative favours model_a,12,-2.2007791883993377e-05,-0.0001579951107633093,0.0004673095857763873,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
total_height,um,noise_B_vs_C,matern32_learned_nugget,matern32_heteroskedastic_alpha,MAE,model_a minus model_b; negative favours model_a,12,-0.018971716743138245,-0.04206473845396648,0.001347016846864687,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
total_height,um,noise_B_vs_C,matern32_learned_nugget,matern32_heteroskedastic_alpha,RMSE,model_a minus model_b; negative favours model_a,12,-0.03316996263043137,-0.055385824819158457,0.0040877562312197566,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
total_height,um,noise_C_vs_A,matern32_heteroskedastic_alpha,matern32_no_nugget,MAE,model_a minus model_b; negative favours model_a,12,0.01903470587476619,-0.00018995253214049152,0.04218267754752015,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
total_height,um,noise_C_vs_A,matern32_heteroskedastic_alpha,matern32_no_nugget,RMSE,model_a minus model_b; negative favours model_a,12,0.03314795483854738,-0.003196691089764769,0.05372219997189375,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
total_height,um,selected_gp_vs_baseline,matern32_learned_nugget,linear_ridge,MAE,model_a minus model_b; negative favours model_a,12,-10.241452913560202,-21.410692727178294,1.4927596091457511,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
total_height,um,selected_gp_vs_baseline,matern32_learned_nugget,linear_ridge,RMSE,model_a minus model_b; negative favours model_a,12,2.14683839579304,-17.673795954917075,13.4092464819424,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
total_height,um,selected_gp_vs_baseline,matern32_learned_nugget,polynomial_ridge_degree2,MAE,model_a minus model_b; negative favours model_a,12,-4.4090617383400215,-14.365462544516218,4.520309830737939,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
total_height,um,selected_gp_vs_baseline,matern32_learned_nugget,polynomial_ridge_degree2,RMSE,model_a minus model_b; negative favours model_a,12,-0.5341387987988853,-11.622623796632839,3.9445101106771934,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
total_height,um,selected_gp_vs_baseline,matern32_learned_nugget,training_mean,MAE,model_a minus model_b; negative favours model_a,12,-26.444425995424893,-42.66256778959276,-9.558162183563846,True,True,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
total_height,um,selected_gp_vs_baseline,matern32_learned_nugget,training_mean,RMSE,model_a minus model_b; negative favours model_a,12,-17.4914073094573,-39.00503068347985,-8.60885578934277,True,True,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
total_height,um,selected_kernel_learned_nugget_vs_no_nugget,matern32_learned_nugget,matern32_no_nugget,MAE,model_a minus model_b; negative favours model_a,12,6.298913162794406e-05,-0.00012032068196354828,0.00033542541281867945,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
total_height,um,selected_kernel_learned_nugget_vs_no_nugget,matern32_learned_nugget,matern32_no_nugget,RMSE,model_a minus model_b; negative favours model_a,12,-2.2007791883993377e-05,-0.0001579951107633093,0.0004673095857763873,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
width,um,learned_kernel_candidate_vs_matern32,matern52_learned_nugget,matern32_learned_nugget,MAE,model_a minus model_b; negative favours model_a,12,-3.3636075079971217,-10.439910106938044,0.5108712832102505,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
width,um,learned_kernel_candidate_vs_matern32,matern52_learned_nugget,matern32_learned_nugget,RMSE,model_a minus model_b; negative favours model_a,12,-8.90848078599395,-19.229069212417233,1.3467063128985022,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
width,um,learned_kernel_candidate_vs_matern32,rbf_learned_nugget,matern32_learned_nugget,MAE,model_a minus model_b; negative favours model_a,12,0.22296696685116402,-1.2013076370076288,1.9013366866795152,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
width,um,learned_kernel_candidate_vs_matern32,rbf_learned_nugget,matern32_learned_nugget,RMSE,model_a minus model_b; negative favours model_a,12,0.0408632635216577,-0.9102114166756103,2.5505461310769926,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
width,um,noise_B_vs_A,matern32_learned_nugget,matern32_no_nugget,MAE,model_a minus model_b; negative favours model_a,12,-0.00012309234956475734,-0.00028621523441083594,8.766957254313599e-06,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
width,um,noise_B_vs_A,matern32_learned_nugget,matern32_no_nugget,RMSE,model_a minus model_b; negative favours model_a,12,-0.00023956955350712406,-0.0004482510674557183,5.016617766457898e-05,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
width,um,noise_B_vs_C,matern32_learned_nugget,matern32_heteroskedastic_alpha,MAE,model_a minus model_b; negative favours model_a,12,-0.0001459159913128616,-0.00034411875537010417,2.443828360678688e-05,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
width,um,noise_B_vs_C,matern32_learned_nugget,matern32_heteroskedastic_alpha,RMSE,model_a minus model_b; negative favours model_a,12,-0.00026141052190453706,-0.00049182382984565,8.425061160508552e-05,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
width,um,noise_C_vs_A,matern32_heteroskedastic_alpha,matern32_no_nugget,MAE,model_a minus model_b; negative favours model_a,12,2.282364174810425e-05,-3.356671476559825e-05,7.894060765716303e-05,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
width,um,noise_C_vs_A,matern32_heteroskedastic_alpha,matern32_no_nugget,RMSE,model_a minus model_b; negative favours model_a,12,2.1840968397413008e-05,-2.9074510513460437e-05,4.633223252674678e-05,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
width,um,selected_gp_vs_baseline,matern32_learned_nugget,linear_ridge,MAE,model_a minus model_b; negative favours model_a,12,3.309524204133285,-3.1489984887580107,13.72363582128616,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
width,um,selected_gp_vs_baseline,matern32_learned_nugget,linear_ridge,RMSE,model_a minus model_b; negative favours model_a,12,9.372453352795597,-3.5734296284585367,22.917144972878333,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
width,um,selected_gp_vs_baseline,matern32_learned_nugget,polynomial_ridge_degree2,MAE,model_a minus model_b; negative favours model_a,12,-6.830010633049158,-12.178417439730584,-2.1369202687352544,True,True,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
width,um,selected_gp_vs_baseline,matern32_learned_nugget,polynomial_ridge_degree2,RMSE,model_a minus model_b; negative favours model_a,12,-4.4789086591733,-11.497518017055867,-1.1346172764532567,True,True,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
width,um,selected_gp_vs_baseline,matern32_learned_nugget,training_mean,MAE,model_a minus model_b; negative favours model_a,12,-10.050780646400808,-15.34406336100487,-5.414501362966472,True,True,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
width,um,selected_gp_vs_baseline,matern32_learned_nugget,training_mean,RMSE,model_a minus model_b; negative favours model_a,12,-6.990011344304243,-14.955418523292375,-3.267015720323945,True,True,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
width,um,selected_kernel_learned_nugget_vs_no_nugget,matern32_learned_nugget,matern32_no_nugget,MAE,model_a minus model_b; negative favours model_a,12,-0.00012309234956475734,-0.00028621523441083594,8.766957254313599e-06,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
width,um,selected_kernel_learned_nugget_vs_no_nugget,matern32_learned_nugget,matern32_no_nugget,RMSE,model_a minus model_b; negative favours model_a,12,-0.00023956955350712406,-0.0004482510674557183,5.016617766457898e-05,False,False,False,1000,True,d69dac5bda8b622bc0de316b112815c6056c06ec
