target,target_label,target_unit,model,model_label,n,target_median_abs_scale,relative_error_denominator_definition,MAE,relative_MAE_pct,RMSE,relative_RMSE_pct,R2
depth,T0 penetration depth,um,rbf_no_nugget,"RBF, numerical jitter",12,70.4258225,median(abs(y_observed)),29.289478914372342,41.58911869914241,57.863952355522585,82.16297701815635,0.3801026585024375
depth,T0 penetration depth,um,rbf_learned_nugget,RBF + learned nugget,12,70.4258225,median(abs(y_observed)),29.289580055563203,41.58926231292961,57.86409639397908,82.16318154321746,0.38009957232654557
depth,T0 penetration depth,um,matern52_learned_nugget,Matérn 5/2 + learned nugget,12,70.4258225,median(abs(y_observed)),30.96368516204377,43.96638060143887,58.05165385959175,82.42950071274177,0.37607443788140404
depth,T0 penetration depth,um,matern52_no_nugget,"Matérn 5/2, numerical jitter",12,70.4258225,median(abs(y_observed)),30.963793747513876,43.96653478560918,58.05170973232983,82.4295800483265,0.3760732368666535
depth,T0 penetration depth,um,matern32_learned_nugget,Matérn 3/2 + learned nugget,12,70.4258225,median(abs(y_observed)),33.14851428688647,47.06869314431716,59.0597992845535,83.86100039449806,0.3542156468498634
depth,T0 penetration depth,um,matern32_no_nugget,"Matérn 3/2, numerical jitter",12,70.4258225,median(abs(y_observed)),33.148615509755906,47.06883687408253,59.05983539586578,83.86105167016797,0.354214857137475
depth,T0 penetration depth,um,matern32_heteroskedastic_alpha,Matérn 3/2 + heteroskedastic alpha,12,70.4258225,median(abs(y_observed)),33.16737672414969,47.09547655499471,59.09020593134971,83.90417581754151,0.3535505178871905
depth,T0 penetration depth,um,linear_ridge,Linear Ridge,12,70.4258225,median(abs(y_observed)),47.32335122081211,67.1960220568416,65.87862585972249,93.54328216716603,0.1964874795046333
depth,T0 penetration depth,um,polynomial_ridge_degree2,Polynomial Ridge degree 2,12,70.4258225,median(abs(y_observed)),41.403953289801116,58.79086934313209,71.27374198141979,101.20398946199,0.05949154118992761
depth,T0 penetration depth,um,training_mean,Training-fold mean,12,70.4258225,median(abs(y_observed)),62.84992727272728,89.2427309212147,80.17459383536128,113.84260913014013,-0.1900826446280992
kinetic_energy,T0 melt kinetic energy,nJ,linear_ridge,Linear Ridge,12,3.529372,median(abs(y_observed)),0.8797617051598253,24.926862488845757,1.1509084743764377,32.60944084036587,0.5857213156078782
kinetic_energy,T0 melt kinetic energy,nJ,matern32_heteroskedastic_alpha,Matérn 3/2 + heteroskedastic alpha,12,3.529372,median(abs(y_observed)),0.9353203156529982,26.501040855228585,1.291432116327925,36.59098888776601,0.4783800684583984
kinetic_energy,T0 melt kinetic energy,nJ,matern32_no_nugget,"Matérn 3/2, numerical jitter",12,3.529372,median(abs(y_observed)),0.9354019097461045,26.503352713913536,1.2915621475963237,36.59467314854665,0.4782750217972097
kinetic_energy,T0 melt kinetic energy,nJ,matern32_learned_nugget,Matérn 3/2 + learned nugget,12,3.529372,median(abs(y_observed)),0.9366502810294723,26.538723632121304,1.2917519007964944,36.60004954979227,0.4781217093813056
kinetic_energy,T0 melt kinetic energy,nJ,matern52_no_nugget,"Matérn 5/2, numerical jitter",12,3.529372,median(abs(y_observed)),0.9473448977532642,26.84174118662652,1.3289311546129239,37.653473609835515,0.44764793957628346
kinetic_energy,T0 melt kinetic energy,nJ,matern52_learned_nugget,Matérn 5/2 + learned nugget,12,3.529372,median(abs(y_observed)),0.9506623364234503,26.935736341293868,1.32985586868453,37.67967413705696,0.44687898262093795
kinetic_energy,T0 melt kinetic energy,nJ,rbf_no_nugget,"RBF, numerical jitter",12,3.529372,median(abs(y_observed)),0.9473813433707617,26.84277382409,1.3607222863245292,38.55423249021438,0.4209047424093927
kinetic_energy,T0 melt kinetic energy,nJ,rbf_learned_nugget,RBF + learned nugget,12,3.529372,median(abs(y_observed)),0.9536229248977511,27.01962062649534,1.362974712288738,38.618051944899484,0.41898598385160435
kinetic_energy,T0 melt kinetic energy,nJ,training_mean,Training-fold mean,12,3.529372,median(abs(y_observed)),1.6541730727272725,46.86876511535969,1.9506666299614839,55.26951055206093,-0.19008264462809898
kinetic_energy,T0 melt kinetic energy,nJ,polynomial_ridge_degree2,Polynomial Ridge degree 2,12,3.529372,median(abs(y_observed)),1.3232455927786961,37.492380876220935,2.0266042339287353,57.42110023904353,-0.2845437604257528
total_height,T0 total vertical melt-pool height,um,linear_ridge,Linear Ridge,12,98.17129,median(abs(y_observed)),43.135553054498956,43.939071244249675,57.10717087944087,58.17094883793508,0.341048399575289
total_height,T0 total vertical melt-pool height,um,matern52_learned_nugget,Matérn 5/2 + learned nugget,12,98.17129,median(abs(y_observed)),31.047499099879342,31.6258440730272,58.553708736717304,59.6444324371385,0.3072428094969598
total_height,T0 total vertical melt-pool height,um,matern52_no_nugget,"Matérn 5/2, numerical jitter",12,98.17129,median(abs(y_observed)),31.047631766352538,31.625979210777956,58.553822241672016,59.64454805643484,0.3072401237080852
total_height,T0 total vertical melt-pool height,um,rbf_learned_nugget,RBF + learned nugget,12,98.17129,median(abs(y_observed)),30.325571670894096,30.89046876219524,58.63878114398339,59.731089551724736,0.30522833984289943
total_height,T0 total vertical melt-pool height,um,rbf_no_nugget,"RBF, numerical jitter",12,98.17129,median(abs(y_observed)),30.325593684737743,30.890491186107205,58.638835452900516,59.73114487229465,0.305227052902303
total_height,T0 total vertical melt-pool height,um,matern32_learned_nugget,Matérn 3/2 + learned nugget,12,98.17129,median(abs(y_observed)),32.894100140938754,33.50684313197754,59.25400927523391,60.357777997247375,0.2905730079351002
total_height,T0 total vertical melt-pool height,um,matern32_no_nugget,"Matérn 3/2, numerical jitter",12,98.17129,median(abs(y_observed)),32.894037151807126,33.506778969500274,59.254031283025796,60.35780041499484,0.2905724809522112
total_height,T0 total vertical melt-pool height,um,matern32_heteroskedastic_alpha,Matérn 3/2 + heteroskedastic alpha,12,98.17129,median(abs(y_observed)),32.91307185768189,33.52616824906945,59.28717923786434,60.391565841565644,0.2897785215018096
total_height,T0 total vertical melt-pool height,um,polynomial_ridge_degree2,Polynomial Ridge degree 2,12,98.17129,median(abs(y_observed)),37.303161879278775,37.99803575900732,59.7881480740328,60.901866598710065,0.2777252560689043
