target,target_label,target_unit,week6_n,new_data_n,week6_selected_point_model,new_data_selected_point_model,week6_best_learned_gp_kernel,week6_protocol_selected_gp,new_data_best_learned_gp_kernel,new_data_protocol_selected_gp,week6_learned_nugget_useful,new_data_learned_nugget_useful,week6_MAE,new_data_MAE,week6_relative_MAE_pct,new_data_relative_MAE_pct,week6_RMSE,new_data_RMSE,week6_relative_RMSE_pct,new_data_relative_RMSE_pct,week6_R2,new_data_R2,week6_target_median_scale,new_data_target_median_scale,week6_gp_minus_polynomial_RMSE,new_data_gp_minus_polynomial_RMSE,relative_RMSE_ratio_new_over_week6,model_difficulty_observation,point_model_same,protocol_gp_same,dataset_populations_pooled,new_dataset_revision
depth,T0 penetration depth,um,230,12,matern32_learned_nugget,polynomial_ridge_degree2,matern52_learned_nugget,matern32_learned_nugget,rbf_learned_nugget,matern32_learned_nugget,True,True,1.8022708265928276,41.403953289801116,3.2934839505942506,58.79086934313209,2.728942784700328,71.27374198141979,4.986891609676504,101.20398946199,0.9688730302355166,0.05949154118992761,54.72232,70.4258225,-1.159564631487771,-12.21394269686629,20.294002232896943,higher relative out-of-sample error in the new sampled domain,False,True,False,d69dac5bda8b622bc0de316b112815c6056c06ec
kinetic_energy,T0 melt kinetic energy,nJ,241,12,linear_ridge,linear_ridge,matern32_learned_nugget,matern32_learned_nugget,matern32_learned_nugget,matern32_learned_nugget,True,False,0.11538454387106,0.8797617051598253,7.5431447798603735,24.926862488845757,0.1875181567184448,1.1509084743764377,12.25880484097096,32.60944084036587,0.9409686294810776,0.5857213156078782,1.529661,3.529372,-0.005908376952158401,-0.734852333132241,2.66008320251414,higher relative out-of-sample error in the new sampled domain,True,True,False,d69dac5bda8b622bc0de316b112815c6056c06ec
total_height,T0 total vertical melt-pool height,um,241,12,polynomial_ridge_degree2,linear_ridge,matern32_learned_nugget,matern32_learned_nugget,matern52_learned_nugget,matern32_learned_nugget,True,True,5.293909360385799,43.135553054498956,6.608615003180838,43.939071244249675,8.522625324440268,57.10717087944087,10.639160165273466,58.17094883793508,0.7821606559739209,0.341048399575289,80.106185,98.17129,-0.9244165170874208,-0.5341387987988853,5.467626009410665,higher relative out-of-sample error in the new sampled domain,False,True,False,d69dac5bda8b622bc0de316b112815c6056c06ec
width,T0 melt-pool width,um,241,12,polynomial_ridge_degree2,linear_ridge,matern32_learned_nugget,matern32_learned_nugget,matern52_learned_nugget,matern32_learned_nugget,True,True,3.387663622855772,6.591774694920445,2.1305361062081936,4.333845159128835,6.725321593790456,8.235705745747142,4.229623149347208,5.414668299527879,0.9677287177922403,0.866594679228094,159.00522,152.09991250000002,-0.028966661325713794,-4.4789086591733,1.2801774787816662,higher relative out-of-sample error in the new sampled domain,False,True,False,d69dac5bda8b622bc0de316b112815c6056c06ec
