target,model,model_label,n,coverage_95,coverage_error_from_0_95,median_interval_width,standardized_residual_mean,standardized_residual_std,standardized_residual_q025,standardized_residual_q975,interval_definition,retrospective_oracle,dataset_revision
depth,matern32_heteroskedastic_alpha,Matérn 3/2 + heteroskedastic alpha,12,0.9166666666666666,0.033333333333333326,130.6394763470475,0.21030396015421263,1.498708261896152,-1.372962389576251,3.475538342174652,retrospective oracle: latent variance plus held-out target-summary variance,True,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,matern32_learned_nugget,Matérn 3/2 + learned nugget,12,0.9166666666666666,0.033333333333333326,130.55207148776407,0.20982234610158826,1.4966551574894835,-1.3715882633004703,3.4705656316986166,total predictive variance including learned WhiteKernel nugget,False,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,matern32_no_nugget,"Matérn 3/2, numerical jitter",12,0.9166666666666666,0.033333333333333326,130.55267453584972,0.20982207175964207,1.496659306389905,-1.3715875295921034,3.470576193999275,latent predictive variance; numerical jitter excluded,False,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,matern52_learned_nugget,Matérn 5/2 + learned nugget,12,0.9166666666666666,0.033333333333333326,115.66651856676927,0.2197096498149349,1.4811608465243165,-1.3596504761100046,3.440124990604413,total predictive variance including learned WhiteKernel nugget,False,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,matern52_no_nugget,"Matérn 5/2, numerical jitter",12,0.9166666666666666,0.033333333333333326,115.66801740828272,0.21971355463454997,1.4811628987686285,-1.3596380080863049,3.4401297585070254,latent predictive variance; numerical jitter excluded,False,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,rbf_learned_nugget,RBF + learned nugget,12,0.9166666666666666,0.033333333333333326,109.52018843258239,0.25236514509110225,1.4775135676265532,-1.275343365116192,3.4883957284797757,total predictive variance including learned WhiteKernel nugget,False,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,rbf_no_nugget,"RBF, numerical jitter",12,0.9166666666666666,0.033333333333333326,109.521368267971,0.25236248263093347,1.4775132211167648,-1.2753402136172685,3.488391591621113,latent predictive variance; numerical jitter excluded,False,d69dac5bda8b622bc0de316b112815c6056c06ec
kinetic_energy,matern32_heteroskedastic_alpha,Matérn 3/2 + heteroskedastic alpha,12,0.75,0.19999999999999996,3.1489173866206617,-0.0421972929138437,1.5331924445113472,-2.55814853478412,2.538128810327062,retrospective oracle: latent variance plus held-out target-summary variance,True,d69dac5bda8b622bc0de316b112815c6056c06ec
kinetic_energy,matern32_learned_nugget,Matérn 3/2 + learned nugget,12,0.75,0.19999999999999996,3.148683141003423,-0.04191824656947185,1.5343994517580497,-2.5613618987002438,2.5387182377693236,total predictive variance including learned WhiteKernel nugget,False,d69dac5bda8b622bc0de316b112815c6056c06ec
kinetic_energy,matern32_no_nugget,"Matérn 3/2, numerical jitter",12,0.75,0.19999999999999996,3.1486744388458234,-0.04250735662489861,1.5342302615569021,-2.5613112859406564,2.5387138889045406,latent predictive variance; numerical jitter excluded,False,d69dac5bda8b622bc0de316b112815c6056c06ec
kinetic_energy,matern52_learned_nugget,Matérn 5/2 + learned nugget,12,0.6666666666666666,0.2833333333333333,3.157344738843968,-0.07724371952560331,1.752710557980256,-3.0325015307875254,2.7002665141562794,total predictive variance including learned WhiteKernel nugget,False,d69dac5bda8b622bc0de316b112815c6056c06ec
kinetic_energy,matern52_no_nugget,"Matérn 5/2, numerical jitter",12,0.6666666666666666,0.2833333333333333,3.0205050170729577,-0.08197684866328318,1.7522839918507294,-3.0324103269972866,2.7001915149794815,latent predictive variance; numerical jitter excluded,False,d69dac5bda8b622bc0de316b112815c6056c06ec
kinetic_energy,rbf_learned_nugget,RBF + learned nugget,12,0.6666666666666666,0.2833333333333333,3.152291795471837,-0.06782007364005949,1.8825458936785744,-3.2010158614868542,2.937100708339705,total predictive variance including learned WhiteKernel nugget,False,d69dac5bda8b622bc0de316b112815c6056c06ec
kinetic_energy,rbf_no_nugget,"RBF, numerical jitter",12,0.6666666666666666,0.2833333333333333,2.881984686221661,-0.07375811155053198,1.8852773847221944,-3.200939878739073,2.9370842651861375,latent predictive variance; numerical jitter excluded,False,d69dac5bda8b622bc0de316b112815c6056c06ec
total_height,matern32_heteroskedastic_alpha,Matérn 3/2 + heteroskedastic alpha,12,0.9166666666666666,0.033333333333333326,129.2214910226364,0.23091284829592887,1.5875551699415642,-1.4449462754272426,3.6923282348264364,retrospective oracle: latent variance plus held-out target-summary variance,True,d69dac5bda8b622bc0de316b112815c6056c06ec
total_height,matern32_learned_nugget,Matérn 3/2 + learned nugget,12,0.9166666666666666,0.033333333333333326,129.13180942088408,0.23033406461230288,1.5853417364384192,-1.4439243380240392,3.686819401004094,total predictive variance including learned WhiteKernel nugget,False,d69dac5bda8b622bc0de316b112815c6056c06ec
total_height,matern32_no_nugget,"Matérn 3/2, numerical jitter",12,0.9166666666666666,0.033333333333333326,129.13268835280064,0.2303326333000867,1.585344493475087,-1.4439202877438917,3.686821309928804,latent predictive variance; numerical jitter excluded,False,d69dac5bda8b622bc0de316b112815c6056c06ec
total_height,matern52_learned_nugget,Matérn 5/2 + learned nugget,12,0.9166666666666666,0.033333333333333326,115.15503830805677,0.24117996534039401,1.580879079441826,-1.4459848763743297,3.679294569941216,total predictive variance including learned WhiteKernel nugget,False,d69dac5bda8b622bc0de316b112815c6056c06ec
total_height,matern52_no_nugget,"Matérn 5/2, numerical jitter",12,0.9166666666666666,0.033333333333333326,115.15645377083038,0.24118660236380854,1.580883719654915,-1.4459826507346667,3.679323047348257,latent predictive variance; numerical jitter excluded,False,d69dac5bda8b622bc0de316b112815c6056c06ec
