row_type,model,contrast,diagnostic,mean,ci_lower,ci_upper
model_rate,M1,,residual_sd_lower_bound_hit,0.3590769230769231,0.3396923076923076,0.37969230769230766
model_rate,M1,,residual_sd_upper_bound_hit,0.15076923076923077,0.12876923076923075,0.17323461538461535
model_rate,M1,,residual_sd_any_bound_hit,0.5098461538461538,0.4889230769230769,0.5316923076923077
model_rate,M1,,length_scale_lower_bound_hit,0.15446153846153848,0.12184615384615385,0.18753846153846154
model_rate,M1,,length_scale_upper_bound_hit,0.1756923076923077,0.15261153846153844,0.19784615384615384
model_rate,M1,,length_scale_any_bound_hit,0.33015384615384613,0.30107307692307694,0.36015384615384616
model_rate,M1,,fit_failure_or_fallback,0.0,0.0,0.0
model_rate,M2,,residual_sd_lower_bound_hit,0.2784615384615384,0.2476923076923077,0.3130769230769231
model_rate,M2,,residual_sd_upper_bound_hit,0.0027692307692307695,0.0006153846153846154,0.005692307692307693
model_rate,M2,,residual_sd_any_bound_hit,0.2812307692307693,0.25169230769230777,0.31661538461538463
model_rate,M2,,length_scale_lower_bound_hit,0.32707692307692315,0.2915384615384616,0.3636923076923077
model_rate,M2,,length_scale_upper_bound_hit,0.0,0.0,0.0
model_rate,M2,,length_scale_any_bound_hit,0.32707692307692315,0.2915384615384616,0.36369230769230765
model_rate,M2,,fit_failure_or_fallback,0.0,0.0,0.0
paired_contrast,,M2-M1,residual_sd_lower_bound_hit,-0.0806153846153846,-0.11861538461538464,-0.03969230769230769
paired_contrast,,M2-M1,residual_sd_upper_bound_hit,-0.148,-0.1703076923076923,-0.12599999999999997
paired_contrast,,M2-M1,residual_sd_any_bound_hit,-0.2286153846153846,-0.2629230769230769,-0.192
paired_contrast,,M2-M1,length_scale_lower_bound_hit,0.17261538461538464,0.13414999999999996,0.21015384615384614
paired_contrast,,M2-M1,length_scale_upper_bound_hit,-0.1756923076923077,-0.19815384615384615,-0.15292307692307694
paired_contrast,,M2-M1,length_scale_any_bound_hit,-0.0030769230769230756,-0.029076923076923077,0.02276923076923077
paired_contrast,,M2-M1,fit_failure_or_fallback,0.0,0.0,0.0
model_rate,M2,,optimizer_nonconverged,0.05769230769230769,0.05107692307692309,0.06353846153846154
