model,subset,mean_AULC,ci_lower,ci_upper
M0,B1_q20,0.8135202205882353,0.8068011259191177,0.8205606617647059
M0,B1_q30,0.866115625,0.861578046875,0.8706378124999999
M1,B1_q20,0.8299724264705881,0.826465877757353,0.8333639705882353
M1,B1_q30,0.87196875,0.86946875,0.874528203125
M2,B1_q20,0.8302297794117648,0.8267876838235294,0.8335938648897059
M2,B1_q30,0.8717124999999999,0.8688405468749998,0.87460625
MH,B1_q20,0.8308134191176471,0.8267141544117649,0.8350276884191176
MH,B1_q30,0.871596875,0.8687906249999999,0.8743876562499999
