contrast,subset,mean_difference,ci_lower,ci_upper,positive_repeat_blocks,zero_repeat_blocks,negative_repeat_blocks,bootstrap_draws
M2-M0,B1_q20,0.016709558823529425,0.010238970588235302,0.022991842830882406,18,0,2,10000
M2-M1,B1_q20,0.00025735294117648633,-0.0014384191176470009,0.0022840073529411973,10,1,9,10000
M2-MH,B1_q20,-0.0005836397058823495,-0.0024402573529411346,0.0014430147058823622,8,0,12,10000
M2-M0,B1_q30,0.005596875000000006,0.0003248437500000098,0.010468828125000008,13,0,7,10000
M2-M1,B1_q30,-0.0002562500000000023,-0.0015562499999999648,0.0012281249999999751,8,1,11,10000
M2-MH,B1_q30,0.00011562500000001364,-0.001062499999999989,0.0014187500000000077,10,0,10,10000
