repeat,model,subset,accuracy_AULC_16_80
19,M0,B1_q30,0.85125
19,M1,B1_q20,0.8284007352941177
19,M1,B1_q30,0.8699999999999999
19,M2,B1_q20,0.828125
19,M2,B1_q30,0.8680625
19,MH,B1_q20,0.8309742647058824
19,MH,B1_q30,0.8699999999999999
20,M0,B1_q20,0.8120404411764707
20,M0,B1_q30,0.86675
20,M1,B1_q20,0.8338235294117646
20,M1,B1_q30,0.8834375
20,M2,B1_q20,0.8371323529411765
20,M2,B1_q30,0.8865624999999999
20,MH,B1_q20,0.8354779411764707
20,MH,B1_q30,0.8851875
