benchmark,metric,best_current_gpr_method,best_current_gpr_value,best_current_gpc_method,best_current_gpc_value,current_gpc_beats_current_gpr,best_previous_reference_family,best_previous_reference_method,best_previous_reference_value,current_gpr_beats_best_previous_reference,current_gpc_beats_best_previous_reference
branin,global_error,smallest_abs_mu,0.131667,gpc_bernoulli_sur_refit,0.193333,False,previous_optimized_ard_gpc,classifier_gated_diversity,0.035150,False,False
branin,near_boundary_error_q20,boundary_gated_diversified_straddle,0.350000,classifier_entropy,0.400000,False,previous_optimized_ard_gpc,classifier_gated_diversity,0.163750,False,False
branin,near_boundary_error_q30,boundary_gated_diversified_straddle,0.277778,classifier_entropy,0.316667,False,previous_optimized_ard_gpc,classifier_gated_diversity,0.114333,False,False
ackley,global_error,smallest_abs_mu,0.413750,classifier_entropy,0.427500,False,previous_gp_regressor,straddle,0.168400,False,False
ackley,near_boundary_error_q20,gpr_bernoulli_sur_refit,0.443750,classifier_entropy,0.450000,False,previous_gp_regressor,randomized_straddle,0.408400,False,False
ackley,near_boundary_error_q30,gpr_bernoulli_sur_refit,0.470833,classifier_entropy,0.500000,False,previous_gp_regressor,randomized_straddle,0.368200,False,False
hartmann4,global_error,expected_feasibility,0.252500,gpc_bernoulli_sur_refit,0.288750,False,null,null,null,null,null
hartmann4,near_boundary_error_q20,randomized_straddle,0.425000,classifier_uncertainty_repulsion,0.412500,True,null,null,null,null,null
hartmann4,near_boundary_error_q30,randomized_straddle,0.429167,classifier_uncertainty_repulsion,0.445833,False,null,null,null,null,null
