benchmark,metric,new_method,new_surrogate_variant,new_value,baseline_method,baseline_surrogate_variant,baseline_value,new_beats_baseline,difference_new_minus_baseline
ackley,global_error,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.427500,classifier_uncertainty_repulsion,gpc_fixed_iso,0.427500,False,0.000000
ackley,near_boundary_error_q20,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.512500,straddle,gpr_fixed_or_existing,0.493750,False,0.018750
ackley,near_boundary_error_q20,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.512500,randomized_straddle,gpr_fixed_or_existing,0.493750,False,0.018750
ackley,near_boundary_error_q20,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.512500,classifier_uncertainty_repulsion,gpc_fixed_iso,0.450000,False,0.062500
ackley,near_boundary_error_q20,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.443750,straddle,gpr_fixed_or_existing,0.493750,True,-0.050000
ackley,near_boundary_error_q20,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.443750,randomized_straddle,gpr_fixed_or_existing,0.493750,True,-0.050000
ackley,near_boundary_error_q20,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.443750,classifier_uncertainty_repulsion,gpc_fixed_iso,0.450000,True,-0.006250
ackley,near_boundary_error_q20,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.487500,straddle,gpr_fixed_or_existing,0.493750,True,-0.006250
ackley,near_boundary_error_q20,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.487500,randomized_straddle,gpr_fixed_or_existing,0.493750,True,-0.006250
ackley,near_boundary_error_q20,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.487500,classifier_uncertainty_repulsion,gpc_fixed_iso,0.450000,False,0.037500
ackley,near_boundary_error_q30,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.529167,straddle,gpr_fixed_or_existing,0.516667,False,0.012500
ackley,near_boundary_error_q30,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.529167,randomized_straddle,gpr_fixed_or_existing,0.516667,False,0.012500
ackley,near_boundary_error_q30,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.529167,classifier_uncertainty_repulsion,gpc_fixed_iso,0.500000,False,0.029167
ackley,near_boundary_error_q30,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.470833,straddle,gpr_fixed_or_existing,0.516667,True,-0.045834
ackley,near_boundary_error_q30,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.470833,randomized_straddle,gpr_fixed_or_existing,0.516667,True,-0.045834
ackley,near_boundary_error_q30,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.470833,classifier_uncertainty_repulsion,gpc_fixed_iso,0.500000,True,-0.029167
ackley,near_boundary_error_q30,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.512500,straddle,gpr_fixed_or_existing,0.516667,True,-0.004167
ackley,near_boundary_error_q30,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.512500,randomized_straddle,gpr_fixed_or_existing,0.516667,True,-0.004167
ackley,near_boundary_error_q30,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.512500,classifier_uncertainty_repulsion,gpc_fixed_iso,0.500000,False,0.012500
hartmann4,global_error,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.285000,straddle,gpr_fixed_or_existing,0.262500,False,0.022500
hartmann4,global_error,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.285000,randomized_straddle,gpr_fixed_or_existing,0.262500,False,0.022500
hartmann4,global_error,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.285000,classifier_uncertainty_repulsion,gpc_fixed_iso,0.311250,True,-0.026250
hartmann4,global_error,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.291250,straddle,gpr_fixed_or_existing,0.262500,False,0.028750
hartmann4,global_error,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.291250,randomized_straddle,gpr_fixed_or_existing,0.262500,False,0.028750
hartmann4,global_error,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.291250,classifier_uncertainty_repulsion,gpc_fixed_iso,0.311250,True,-0.020000
hartmann4,global_error,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.288750,straddle,gpr_fixed_or_existing,0.262500,False,0.026250
hartmann4,global_error,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.288750,randomized_straddle,gpr_fixed_or_existing,0.262500,False,0.026250
hartmann4,global_error,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.288750,classifier_uncertainty_repulsion,gpc_fixed_iso,0.311250,True,-0.022500
hartmann4,near_boundary_error_q20,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.487500,straddle,gpr_fixed_or_existing,0.425000,False,0.062500
hartmann4,near_boundary_error_q20,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.487500,randomized_straddle,gpr_fixed_or_existing,0.425000,False,0.062500
hartmann4,near_boundary_error_q20,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.487500,classifier_uncertainty_repulsion,gpc_fixed_iso,0.412500,False,0.075000
hartmann4,near_boundary_error_q20,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.475000,straddle,gpr_fixed_or_existing,0.425000,False,0.050000
hartmann4,near_boundary_error_q20,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.475000,randomized_straddle,gpr_fixed_or_existing,0.425000,False,0.050000
hartmann4,near_boundary_error_q20,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.475000,classifier_uncertainty_repulsion,gpc_fixed_iso,0.412500,False,0.062500
hartmann4,near_boundary_error_q20,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.425000,straddle,gpr_fixed_or_existing,0.425000,False,0.000000
hartmann4,near_boundary_error_q20,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.425000,randomized_straddle,gpr_fixed_or_existing,0.425000,False,0.000000
hartmann4,near_boundary_error_q20,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.425000,classifier_uncertainty_repulsion,gpc_fixed_iso,0.412500,False,0.012500
hartmann4,near_boundary_error_q30,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.508333,straddle,gpr_fixed_or_existing,0.429167,False,0.079166
hartmann4,near_boundary_error_q30,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.508333,randomized_straddle,gpr_fixed_or_existing,0.429167,False,0.079166
hartmann4,near_boundary_error_q30,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.508333,classifier_uncertainty_repulsion,gpc_fixed_iso,0.445833,False,0.062500
hartmann4,near_boundary_error_q30,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.504167,straddle,gpr_fixed_or_existing,0.429167,False,0.075000
hartmann4,near_boundary_error_q30,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.504167,randomized_straddle,gpr_fixed_or_existing,0.429167,False,0.075000
hartmann4,near_boundary_error_q30,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.504167,classifier_uncertainty_repulsion,gpc_fixed_iso,0.445833,False,0.058334
hartmann4,near_boundary_error_q30,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.462500,straddle,gpr_fixed_or_existing,0.429167,False,0.033333
hartmann4,near_boundary_error_q30,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.462500,randomized_straddle,gpr_fixed_or_existing,0.429167,False,0.033333
hartmann4,near_boundary_error_q30,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.462500,classifier_uncertainty_repulsion,gpc_fixed_iso,0.445833,False,0.016667
