benchmark,surrogate_variant,acquisition_rule,method,seed,query_number,budget_before_query,budget_after_query,selected_pool_index,true_boundary_distance,in_pool_boundary_band_q10,in_pool_boundary_band_q20,in_pool_boundary_band_q30,acquisition_selected_position,acquisition_selected_p_plus,acquisition_selected_uncertainty_score,acquisition_selected_entropy,acquisition_binary_entropy_margin_note,acquisition_gate_fraction,acquisition_min_shortlist_size,acquisition_shortlist_size,acquisition_beta,acquisition_selected_shortlist_position,acquisition_selected_normalized_uncertainty,acquisition_selected_raw_diversity,acquisition_selected_normalized_diversity,acquisition_selected_score,acquisition_repulsion_bandwidth,acquisition_selected_raw_distance_to_labelled,acquisition_selected_repulsion
branin,fixed_iso_gpc,random,random,0,1,6,7,1273,2.6369432861079787,True,True,True,1268,0.4980085546210966,0.9960171092421932,0.6931392488295802,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,2,7,8,260,8.16069735687153,False,True,True,257,0.4284222903871182,0.8568445807742364,0.6828651549060557,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,3,8,9,461,11.356848191625026,False,False,True,457,0.4477481688591354,0.8954963377182708,0.6876766901230732,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,4,9,10,1468,58.34071743702734,False,False,False,1460,0.4990144418738811,0.9980288837477622,0.6931452379090475,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,5,10,11,1013,93.71371188035667,False,False,False,1006,0.5747559691766355,0.850488061646729,0.6819282527433463,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,6,11,12,622,14.964210775162144,False,False,False,616,0.4820130619764811,0.9640261239529622,0.692499981046565,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,7,12,13,322,33.02671372038083,False,False,False,318,0.5508332634232147,0.8983334731535706,0.6879701993221596,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,8,13,14,951,16.953671292359076,False,False,False,942,0.4759123308663433,0.9518246617326866,0.691986299666965,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,9,14,15,1389,132.9110153749991,False,False,False,1377,0.5834236481800303,0.8331527036399393,0.6791628607730666,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,10,15,16,986,3.6286142727214354,True,True,True,976,0.5154269767911686,0.9691460464176629,0.6926711217853327,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,11,16,17,1193,7.588292192340283,False,True,True,1181,0.41310726320946856,0.8262145264189371,0.6779695414232585,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,12,17,18,2,141.82500932598583,False,False,False,2,0.6240585693937533,0.7518828612124935,0.6620422549106526,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,13,18,19,1397,6.038028113372121,False,True,True,1381,0.4707066582391235,0.941413316478247,0.6914299976859579,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,14,19,20,591,9.156682724620786,False,False,True,584,0.4552994972229243,0.9105989944458486,0.689145570179668,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,15,20,21,658,18.416052666266186,False,False,False,648,0.39631253507263864,0.7926250701452773,0.6714881714028808,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,16,21,22,1259,7.732855442165601,False,True,True,1243,0.5815898625071156,0.8368202749857687,0.6797736449196575,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,17,22,23,539,8.70520962114172,False,True,True,532,0.4824267879677322,0.9648535759354644,0.6925294177769159,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,18,23,24,1217,26.45136652294817,False,False,False,1200,0.434363576161644,0.868727152323288,0.6845059813576162,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,19,24,25,602,25.28400007001605,False,False,False,592,0.5636962509329493,0.8726074981341014,0.68501066410361,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,20,25,26,316,158.02069602063895,False,False,False,311,0.6395923556059984,0.7208152887880033,0.6536523782008183,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,21,26,27,625,30.525340418948105,False,False,False,612,0.5632359528278243,0.8735280943443513,0.6851281511271166,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,22,27,28,495,5.725639305720094,False,True,True,487,0.43564359490441973,0.8712871898088395,0.6848406617888314,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,23,28,29,479,0.27993239899810973,True,True,True,471,0.6132249677335153,0.7735500645329694,0.6672836386598916,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,24,29,30,485,18.146456168847124,False,False,False,476,0.3306825862551932,0.6613651725103864,0.6346609798170497,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,25,30,31,48,17.86775148322078,False,False,False,46,0.459602312965643,0.919204625931286,0.6898796739044064,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,26,31,32,1332,76.46728004444067,False,False,False,1305,0.6788276259227359,0.6423447481545281,0.6277500039019508,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,27,32,33,154,22.11604876807511,False,False,False,151,0.4331723287297109,0.8663446574594218,0.6841885206085981,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,28,33,34,552,5.892519082529269,False,True,True,538,0.31835628075327804,0.6367125615065561,0.6256242544952277,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,29,34,35,1213,33.781181360753564,False,False,False,1187,0.6261709152587116,0.7476581694825768,0.6609621785284917,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,30,35,36,681,18.293930786559635,False,False,False,660,0.5518806181667912,0.8962387636664175,0.6877542820324041,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,31,36,37,370,12.517259762894195,False,False,False,361,0.35291370988642257,0.7058274197728451,0.6492317047391062,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,32,37,38,692,155.17890004305295,False,False,False,669,0.674405421290146,0.651189157419708,0.6310147930399918,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,33,38,39,362,25.36994880037181,False,False,False,353,0.32528104681478,0.65056209362956,0.6307862619910823,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,34,39,40,431,26.537702811181568,False,False,False,420,0.32094330032049356,0.6418866006409871,0.62757844720377,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,35,40,41,877,9.805786199970473,False,False,True,850,0.2715976218399305,0.543195243679861,0.5848414040211086,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,36,41,42,802,23.06410404080522,False,False,False,775,0.456634918596464,0.913269837192928,0.6893813905527318,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,37,42,43,1004,6.638436818724241,False,True,True,973,0.3928439370357353,0.7856878740714706,0.6700032307291472,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,38,43,44,756,73.5912266725218,False,False,False,729,0.603080294901531,0.7938394101969379,0.6717429307200391,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,39,44,45,924,28.10665057446689,False,False,False,894,0.3192146777997209,0.6384293555994418,0.6262760861065086,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,40,45,46,626,10.165794649834492,False,False,True,603,0.24691699442951176,0.4938339888590235,0.5589227003868512,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,41,46,47,9,10.469363435353653,False,False,True,8,0.3254565956157762,0.6509131912315524,0.6309142733662257,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,42,47,48,1435,5.420135101307526,False,True,True,1390,0.30669724339031745,0.6133944867806349,0.6164325165168149,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,43,48,49,1070,2.5154447752461024,True,True,True,1033,0.5440670002304984,0.9118659995390033,0.6892583358837672,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,random,random,0,44,49,50,859,101.92611117307393,False,False,False,828,0.8123404141360879,0.37531917172782414,0.4828114882770284,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,1,6,7,112,42.53067101742215,False,False,False,111,0.4999855629120487,0.9999711258240974,0.6931471801430863,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,2,7,8,1273,2.6369432861079787,True,True,True,1267,0.49997664214505766,0.9999532842901153,0.6931471794687665,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,3,8,9,1287,6.36917895674511,False,True,True,1280,0.5000170784395287,0.9999658431209426,0.6931471799765991,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,4,9,10,128,21.942237739534043,False,False,False,126,0.49996881678718624,0.9999376335743725,0.6931471786151597,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,5,10,11,693,14.147492929578352,False,False,False,687,0.49993345452759497,0.9998669090551899,0.6931471717033455,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,6,11,12,1291,60.92701797584573,False,False,False,1281,0.5000317411689289,0.9999365176621422,0.6931471785449417,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,7,12,13,620,6.904057140657358,False,True,True,614,0.5000991659193668,0.9998016681612665,0.693147160892186,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,8,13,14,1483,23.19072227326956,False,False,False,1471,0.5000865054691188,0.9998269890617624,0.6931471655935528,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,9,14,15,102,23.423195956997702,False,False,False,101,0.5000683145531789,0.9998633708936422,0.693147171226189,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,10,15,16,461,11.356848191625026,False,False,True,455,0.5000134514849547,0.9999730970300906,0.6931471801980604,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,11,16,17,147,5.157820926294377,False,True,True,143,0.4999888800003463,0.9999777600006926,0.6931471803126366,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,12,17,18,472,3.7293833837982433,True,True,True,464,0.5000418751291111,0.9999162497417777,0.6931471770528924,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,13,18,19,1410,7.123562351985058,False,True,True,1394,0.5000883337650145,0.999823332469971,0.6931471649542371,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,14,19,20,724,1.720078979983736,True,True,True,711,0.4998574376128744,0.9997148752257488,0.6931471399118764,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,15,20,21,1202,16.034910072499663,False,False,False,1188,0.49991257637475794,0.9998251527495159,0.6931471652741648,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,16,21,22,345,33.826378491076426,False,False,False,338,0.5001733705831368,0.9996532588337264,0.6931471204452259,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,17,22,23,1239,4.482517653336224,True,True,True,1223,0.4997508297385538,0.9995016594771076,0.6931470563883018,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,18,23,24,732,25.516100503438455,False,False,False,717,0.4998733625323569,0.9997467250647138,0.6931471484858485,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,19,24,25,253,6.566629687078667,False,True,True,246,0.4996269098284336,0.9992538196568672,0.6931469021673673,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,20,25,26,1094,10.238297523111939,False,False,True,1077,0.5000307862192176,0.9999384275615648,0.6931471786643626,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,21,26,27,457,2.6840330676168342,True,True,True,448,0.5000915638783058,0.9998168722433884,0.6931471637920577,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,22,27,28,809,16.305182980560417,False,False,False,791,0.5002524284286949,0.9994951431426102,0.6931470531197167,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,23,28,29,273,0.8214646349381098,True,True,True,265,0.4996100285695092,0.9992200571390184,0.6931468764044812,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,24,29,30,318,8.28155138545969,False,True,True,309,0.5001740652539949,0.9996518694920102,0.6931471199625188,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,25,30,31,186,12.223487718592203,False,False,True,181,0.5001491324459696,0.9997017351080608,0.6931471360789717,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,26,31,32,257,17.13466500759828,False,False,False,248,0.4997475159750047,0.9994950319500094,0.6931470530635742,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,fixed_iso_gpc,classifier_margin,classifier_margin,0,27,32,33,1436,17.82649502075742,False,False,False,1406,0.5001373967370056,0.9997252065259887,0.6931471428042181,null,null,null,null,null,null,null,null,null,null,null,null,null
