model,budget,mean,lower,upper
P0,16,0.7719142107892109,0.7514226717726716,0.7902101190476191
P0,17,0.7815975274725274,0.765508643093018,0.797581244103119
P0,18,0.7819411421911421,0.7642973800505048,0.795994416000666
P0,19,0.7900877317127317,0.7751036782661783,0.8036205780330781
P0,20,0.7951189366189366,0.7782855536824288,0.8095767603923855
P0,21,0.7929203435453436,0.7758910218253968,0.8087106348512599
P0,22,0.8025935037185036,0.789472292984793,0.8141193813131313
P0,23,0.8031856754356754,0.7932282831751583,0.8126166850510601
P0,24,0.8099534770784771,0.7990269605394605,0.8199486114579865
P0,25,0.8146874791874792,0.8022501550532801,0.8264022082084581
P0,26,0.8164792013542013,0.8042278908591408,0.8286196008852257
P0,27,0.8213599733599735,0.8101330433455433,0.8326484924797425
P0,28,0.8209834748584749,0.8091702668858919,0.833400003121878
P0,29,0.8183623182373182,0.8052417297979798,0.8322983540764791
P0,30,0.8146997446997448,0.8028043862387612,0.8275499174436675
P0,31,0.8204106032856033,0.8102749420718172,0.8309078976578976
P0,32,0.8235514763014763,0.8121562156593407,0.8348412472943724
P0,33,0.8177176573426574,0.8054119366744367,0.8303624476218225
P0,34,0.8155573038073038,0.8037015574703074,0.8280506177849928
P0,35,0.8208788572538573,0.8097873515373517,0.8314271284271283
P0,36,0.8194440281940281,0.8098888184731935,0.8286320214507714
P0,37,0.8174659784659782,0.8043878923160172,0.8288726974414473
P0,38,0.8233831862581861,0.8130219246031746,0.833310560966811
P0,39,0.8259190809190808,0.816305031080031,0.8359581005799757
P0,40,0.8362605311355311,0.8264984747890999,0.846206138999889
P0,41,0.8319789654789653,0.8234168772200023,0.8412156163281163
P0,42,0.8281770174270175,0.8194558247308246,0.8368112030330782
P0,43,0.830685495060495,0.8224606109168608,0.8396373452935953
P0,44,0.8317991314241313,0.8212593486374736,0.8426230970418469
P0,45,0.8357197663447662,0.8246598099816849,0.8472502119408369
P0,46,0.8344078976578976,0.8244636516261517,0.8446237949550448
P0,47,0.825043179043179,0.8140464171245422,0.8356958395770896
P0,48,0.8235924214674215,0.8116764010295261,0.8359309496059497
P0,49,0.825945596070596,0.8145207976051727,0.837034305971806
P0,50,0.8271800838050838,0.8145578719891221,0.8399478805916306
P0,51,0.8267037129537129,0.8152759022227772,0.8389833846708847
P0,52,0.8254396436896437,0.8144624476218225,0.8368671387640138
