contrast,budget,prefix_jaccard,active_only_jaccard,different_sequence
P2-P0,24,0.5598577078588202,0.0863916083916084,1.0
P2-P0,40,0.5366572914886143,0.33439872491472933,1.0
P2-P0,80,0.7137496005152084,0.6569807838016735,1.0
P2-P1,24,0.5502240584776736,0.07144322344322344,1.0
P2-P1,40,0.5202849789696146,0.31417803379841064,1.0
P2-P1,80,0.6202171033036339,0.5488916357089746,1.0
