repeat,model,subset,end_budget,AULC
1,P0,B1_q20,40,0.7969408369408371
1,P0,B1_q20,80,0.8174940814393941
1,P0,B1_q30,40,0.834361681275381
1,P0,B1_q30,80,0.8482238973764347
1,P1,B1_q20,40,0.7967915764790765
1,P1,B1_q20,80,0.8146186755952382
1,P1,B1_q30,40,0.8310484356222553
1,P1,B1_q30,80,0.8459991276340082
1,P2,B1_q20,40,0.8099846681096681
1,P2,B1_q20,80,0.8218528476731602
1,P2,B1_q30,40,0.8464824501371521
1,P2,B1_q30,80,0.8517920381494903
2,P0,B1_q20,40,0.7788392857142857
2,P0,B1_q20,80,0.8026116071428572
2,P0,B1_q30,40,0.8305575449876921
2,P0,B1_q30,80,0.8501557576155463
2,P1,B1_q20,40,0.7729563492063491
2,P1,B1_q20,80,0.7944084821428572
2,P1,B1_q30,40,0.8357682081671053
2,P1,B1_q30,80,0.8538427058797005
2,P2,B1_q20,40,0.7362896825396825
2,P2,B1_q20,80,0.7823363095238095
2,P2,B1_q30,40,0.7950200932645786
2,P2,B1_q30,80,0.8346927206014982
3,P0,B1_q20,40,0.7782275883838383
3,P0,B1_q20,80,0.8038543357683983
3,P0,B1_q30,40,0.8124402368769145
3,P0,B1_q30,80,0.8343187558740602
3,P1,B1_q20,40,0.8001609096921596
3,P1,B1_q20,80,0.8210297731782106
3,P1,B1_q30,40,0.8207718950153161
3,P1,B1_q30,80,0.8478064954051797
3,P2,B1_q20,40,0.7741786165223665
3,P2,B1_q20,80,0.8044962459415583
3,P2,B1_q30,40,0.7981563718323587
3,P2,B1_q30,80,0.8292714370561821
4,P0,B1_q20,40,0.7854321777759278
4,P0,B1_q20,80,0.8050012509192197
4,P0,B1_q30,40,0.8362464256535947
4,P0,B1_q30,80,0.8527360345179739
4,P1,B1_q20,40,0.7922232859732861
4,P1,B1_q20,80,0.8198098320949884
4,P1,B1_q30,40,0.8451498440285204
4,P1,B1_q30,80,0.8676764029475427
4,P2,B1_q20,40,0.7858158219095719
4,P2,B1_q20,80,0.7997063548430736
4,P2,B1_q30,40,0.8333812211753389
4,P2,B1_q30,80,0.8479043205823997
5,P0,B1_q20,40,0.8067908249158249
5,P0,B1_q20,80,0.8308984374999999
5,P0,B1_q30,40,0.8552031166001755
5,P0,B1_q30,80,0.8719335423563365
5,P1,B1_q20,40,0.8209069865319865
5,P1,B1_q20,80,0.8320687342171716
5,P1,B1_q30,40,0.863220806630733
5,P1,B1_q30,80,0.8714767007655334
5,P2,B1_q20,40,0.8195012626262625
5,P2,B1_q20,80,0.8233641098484847
5,P2,B1_q30,40,0.8621109577037886
5,P2,B1_q30,80,0.8655104335768398
6,P0,B1_q20,40,0.8371061808561808
6,P0,B1_q20,80,0.8450144581980519
6,P0,B1_q30,40,0.8501285062636166
6,P0,B1_q30,80,0.866925487642974
6,P1,B1_q20,40,0.8389401455026455
6,P1,B1_q20,80,0.8547907366071428
6,P1,B1_q30,40,0.8513395288671024
6,P1,B1_q30,80,0.8758970971200981
6,P2,B1_q20,40,0.821938882876383
6,P2,B1_q20,80,0.8317042072510823
6,P2,B1_q30,40,0.8398973651960784
6,P2,B1_q30,80,0.8567861519607843
7,P0,B1_q20,40,0.8212279040404041
7,P0,B1_q20,80,0.8234469696969697
7,P0,B1_q30,40,0.8534589460784314
7,P0,B1_q30,80,0.8561332866479926
7,P1,B1_q20,40,0.8068223905723905
7,P1,B1_q20,80,0.8307019412878788
7,P1,B1_q30,40,0.8428802423747277
7,P1,B1_q30,80,0.8604348301820728
7,P2,B1_q20,40,0.8131655092592593
7,P2,B1_q20,80,0.8112129103535354
7,P2,B1_q30,40,0.8451230596405228
7,P2,B1_q30,80,0.8466429775035014
8,P0,B1_q20,40,0.8335027356902357
8,P0,B1_q20,80,0.8336158459595959
8,P0,B1_q30,40,0.869526630096483
8,P0,B1_q30,80,0.8706072509496223
8,P1,B1_q20,40,0.793476430976431
8,P1,B1_q20,80,0.817238794191919
8,P1,B1_q30,40,0.8326388888888889
8,P1,B1_q30,80,0.8573055926916222
8,P2,B1_q20,40,0.8205555555555556
8,P2,B1_q20,80,0.8256415719696969
8,P2,B1_q30,40,0.854416627762216
8,P2,B1_q30,80,0.8619938553072745
9,P0,B1_q20,40,0.8288053902116402
9,P0,B1_q20,80,0.8481039186507937
9,P0,B1_q30,40,0.8534865682384065
9,P0,B1_q30,80,0.8742625175070028
9,P1,B1_q20,40,0.8305729166666665
9,P1,B1_q20,80,0.8411095610119048
9,P1,B1_q30,40,0.8557475247043262
9,P1,B1_q30,80,0.8698426375758637
9,P2,B1_q20,40,0.8187276785714286
9,P2,B1_q20,80,0.8228552827380952
9,P2,B1_q30,40,0.8440394734282602
9,P2,B1_q30,80,0.8508309443569095
10,P0,B1_q20,40,0.8097395833333334
10,P0,B1_q20,80,0.8334765625000001
10,P0,B1_q30,40,0.83867126839771
10,P0,B1_q30,80,0.8611875156449642
10,P1,B1_q20,40,0.81734375
10,P1,B1_q20,80,0.8349435763888889
10,P1,B1_q30,40,0.8456684386108245
10,P1,B1_q30,80,0.8629234107979815
10,P2,B1_q20,40,0.7948784722222222
10,P2,B1_q20,80,0.8111219618055555
10,P2,B1_q30,40,0.8300549141440202
10,P2,B1_q30,80,0.8412726079329758
11,P0,B1_q20,40,0.8119918507418508
11,P0,B1_q20,80,0.8105260407994784
11,P0,B1_q30,40,0.8460690740610438
11,P0,B1_q30,80,0.851658310353647
11,P1,B1_q20,40,0.8071345899470901
11,P1,B1_q20,80,0.8011417185245311
11,P1,B1_q30,40,0.85146042700706
11,P1,B1_q30,80,0.8485450667632483
11,P2,B1_q20,40,0.8049141367891368
11,P2,B1_q20,80,0.8010291401307027
11,P2,B1_q30,40,0.8404142202468441
11,P2,B1_q30,80,0.8441711143563287
12,P0,B1_q20,40,0.8218632756132755
12,P0,B1_q20,80,0.8342093366702741
12,P0,B1_q30,40,0.8539297834697409
12,P0,B1_q30,80,0.8633816085619854
12,P1,B1_q20,40,0.806585046897547
12,P1,B1_q20,80,0.831676700036075
12,P1,B1_q30,40,0.8405128158054822
12,P1,B1_q30,80,0.8596619367568599
12,P2,B1_q20,40,0.8193470418470419
12,P2,B1_q20,80,0.8208765106421356
12,P2,B1_q30,40,0.8525437100345188
12,P2,B1_q30,80,0.8542415661689317
13,P0,B1_q20,40,0.8506566408128908
13,P0,B1_q20,80,0.8472692606872293
13,P0,B1_q30,40,0.8784538398692809
13,P0,B1_q30,80,0.8774287683823531
13,P1,B1_q20,40,0.8211640211640212
13,P1,B1_q20,80,0.8424552725919913
13,P1,B1_q30,40,0.861655433006536
13,P1,B1_q30,80,0.8765494791666667
13,P2,B1_q20,40,0.8320643187830686
13,P2,B1_q20,80,0.8443931220689033
13,P2,B1_q30,40,0.8611815767973857
13,P2,B1_q30,80,0.8735822610294118
14,P0,B1_q20,40,0.8162152777777777
14,P0,B1_q20,80,0.8318967013888889
14,P0,B1_q30,40,0.8619417902394876
14,P0,B1_q30,80,0.8702491009424603
14,P1,B1_q20,40,0.8086342592592592
14,P1,B1_q20,80,0.8274956597222223
14,P1,B1_q30,40,0.8516454330270118
14,P1,B1_q30,80,0.8657108836544486
14,P2,B1_q20,40,0.8157465277777778
14,P2,B1_q20,80,0.8308072916666667
14,P2,B1_q30,40,0.8508060080757449
14,P2,B1_q30,80,0.8629831332889515
15,P0,B1_q20,40,0.8039768391330891
15,P0,B1_q20,80,0.8163057081807082
15,P0,B1_q30,40,0.8359684723171565
15,P0,B1_q30,80,0.8494688722279182
15,P1,B1_q20,40,0.8037197293447294
15,P1,B1_q20,80,0.8252169184981686
15,P1,B1_q30,40,0.8400622769043821
15,P1,B1_q30,80,0.8550494073725983
15,P2,B1_q20,40,0.7770737306674806
15,P2,B1_q20,80,0.8121489621489622
15,P2,B1_q30,40,0.817016816029974
15,P2,B1_q30,80,0.8467157477025898
16,P0,B1_q20,40,0.8285926226551226
16,P0,B1_q20,80,0.8425174738455989
16,P0,B1_q30,40,0.8497023617561059
16,P0,B1_q30,80,0.8623723951614638
16,P1,B1_q20,40,0.823025493025493
16,P1,B1_q20,80,0.8425044530122655
16,P1,B1_q30,40,0.8486481356065818
16,P1,B1_q30,80,0.8681892172987616
16,P2,B1_q20,40,0.8423897456709957
16,P2,B1_q20,80,0.8493196191829006
16,P2,B1_q30,40,0.8635900323214081
16,P2,B1_q30,80,0.8699520150713795
17,P0,B1_q20,40,0.8010489568302068
17,P0,B1_q20,80,0.7947750946969697
17,P0,B1_q30,40,0.8503971845148316
17,P0,B1_q30,80,0.8470543345543347
17,P1,B1_q20,40,0.8006672378547378
17,P1,B1_q20,80,0.7927802015692641
17,P1,B1_q30,40,0.8513301506500037
17,P1,B1_q30,80,0.8492520020828845
17,P2,B1_q20,40,0.805961099086099
17,P2,B1_q20,80,0.7955144638347763
17,P2,B1_q30,40,0.8510969858028682
17,P2,B1_q30,80,0.8447577328206923
18,P0,B1_q20,40,0.8076919492544492
18,P0,B1_q20,80,0.8146720553751804
18,P0,B1_q30,40,0.834656110251118
18,P0,B1_q30,80,0.8425887405400758
18,P1,B1_q20,40,0.8120140392015391
18,P1,B1_q20,80,0.80778961489899
18,P1,B1_q30,40,0.8415814735982112
18,P1,B1_q30,80,0.8441775442358962
18,P2,B1_q20,40,0.7873405182780182
18,P2,B1_q20,80,0.8101664524711399
18,P2,B1_q30,40,0.8214192932289874
18,P2,B1_q30,80,0.8379504885835913
19,P0,B1_q20,40,0.8031112001424502
19,P0,B1_q20,80,0.8072930736797925
19,P0,B1_q30,40,0.8365219369911708
19,P0,B1_q30,80,0.8492391748366014
