model,subset,budget,balanced_accuracy,accuracy,keyhole_recall,false_negative,false_positive
P0,B1_q20,16,0.7719142107892109,0.7858823529411764,0.7221190476190477,1.8,1.84
P0,B1_q20,24,0.8099534770784771,0.8258823529411764,0.7483531746031745,1.64,1.32
P0,B1_q20,32,0.8235514763014763,0.8388235294117646,0.7659206349206349,1.53,1.21
P0,B1_q20,40,0.8362605311355311,0.8494117647058823,0.7724404761904762,1.51,1.05
P0,B1_q20,60,0.8264117410367411,0.8494117647058823,0.7373174603174603,1.7,0.86
P0,B1_q20,80,0.8320654206904208,0.8576470588235294,0.7327460317460317,1.72,0.7
P0,B1_q30,16,0.8114408927415893,0.8320000000000001,0.7538762626262625,2.01,2.19
P0,B1_q30,24,0.8441985904102778,0.8668,0.7818914141414142,1.76,1.57
P0,B1_q30,32,0.8568074121440995,0.8776,0.799562049062049,1.62,1.44
P0,B1_q30,40,0.8669479487016251,0.8876000000000001,0.8058484848484848,1.59,1.22
P0,B1_q30,60,0.8610956603381139,0.89,0.781232683982684,1.76,0.99
P0,B1_q30,80,0.8686432679377725,0.9004000000000001,0.7815775613275613,1.75,0.74
P0,full81,16,0.9081910900045229,0.9438271604938271,0.8526666666666667,2.14,2.41
P0,full81,24,0.9248247722426827,0.9572839506172839,0.8741904761904762,1.83,1.63
P0,full81,32,0.9322398720682302,0.9614814814814814,0.8866190476190476,1.65,1.47
P0,full81,40,0.9356442463009627,0.9650617283950617,0.8898095238095237,1.6,1.23
P0,full81,60,0.9316654067325709,0.965925925925926,0.8782380952380953,1.77,0.99
P0,full81,80,0.9321931575886799,0.9685185185185184,0.8755238095238096,1.81,0.74
P1,B1_q20,16,0.7719142107892109,0.7858823529411764,0.7221190476190477,1.8,1.84
P1,B1_q20,24,0.7988360528360527,0.8170588235294117,0.7287698412698412,1.76,1.35
P1,B1_q20,32,0.8132126762126762,0.8341176470588235,0.729452380952381,1.75,1.07
P1,B1_q20,40,0.8270682511932512,0.8464705882352941,0.7487380952380953,1.62,0.99
P1,B1_q20,60,0.8328722388722389,0.8564705882352941,0.7407738095238094,1.66,0.78
P1,B1_q20,80,0.8359479964479966,0.8611764705882352,0.7382738095238095,1.68,0.68
P1,B1_q30,16,0.8114408927415893,0.8320000000000001,0.7538762626262625,2.01,2.19
P1,B1_q30,24,0.8381785888689913,0.8612000000000001,0.773172077922078,1.84,1.63
P1,B1_q30,32,0.851479594837567,0.878,0.776224025974026,1.82,1.23
P1,B1_q30,40,0.8611077326311459,0.8868,0.7895494227994229,1.69,1.14
P1,B1_q30,60,0.8696749279702065,0.8992,0.7884069264069263,1.69,0.83
P1,B1_q30,80,0.8721499259039893,0.9028,0.7871255411255411,1.71,0.72
P1,full81,16,0.9081910900045229,0.9438271604938271,0.8526666666666667,2.14,2.41
P1,full81,24,0.9232019771273502,0.9562962962962962,0.8715238095238095,1.87,1.67
P1,full81,32,0.9278358532015248,0.9622222222222221,0.8741904761904762,1.83,1.23
P1,full81,40,0.9329612004910512,0.9648148148148148,0.8832380952380952,1.7,1.15
P1,full81,60,0.9332709827485947,0.9680246913580247,0.879047619047619,1.76,0.83
P1,full81,80,0.9333435420301092,0.9691358024691358,0.8775238095238095,1.78,0.72
P2,B1_q20,16,0.7719142107892109,0.7858823529411764,0.7221190476190477,1.8,1.84
P2,B1_q20,24,0.8057041292041291,0.8247058823529412,0.7347579365079365,1.71,1.27
P2,B1_q20,32,0.8099183594183594,0.83,0.7274126984126984,1.77,1.12
P2,B1_q20,40,0.8185542374292375,0.8347058823529412,0.7452738095238095,1.68,1.13
P2,B1_q20,60,0.8180967504717505,0.8405882352941175,0.7238452380952382,1.81,0.9
P2,B1_q20,80,0.8280650044400045,0.8535294117647058,0.7309007936507936,1.73,0.76
P2,B1_q30,16,0.8114408927415893,0.8320000000000001,0.7538762626262625,2.01,2.19
P2,B1_q30,24,0.8409470647601452,0.8656,0.7747085137085138,1.81,1.55
P2,B1_q30,32,0.8443945300700332,0.872,0.7678069985569985,1.87,1.33
P2,B1_q30,40,0.8520731631414681,0.8748,0.7864267676767676,1.74,1.39
P2,B1_q30,60,0.8535608214025396,0.8832000000000001,0.7694430014430015,1.87,1.05
P2,B1_q30,80,0.8644248855289877,0.8964,0.7767929292929293,1.79,0.8
P2,full81,16,0.9081910900045229,0.9438271604938271,0.8526666666666667,2.14,2.41
P2,full81,24,0.9240885507527298,0.9572839506172839,0.8724285714285714,1.85,1.61
P2,full81,32,0.9235167345092719,0.9593827160493826,0.8676666666666667,1.92,1.37
P2,full81,40,0.9283818892550236,0.9604938271604938,0.8782857142857142,1.77,1.43
P2,full81,60,0.9270747883956839,0.9637037037037036,0.8699523809523809,1.89,1.05
P2,full81,80,0.9303792078568197,0.9672839506172839,0.8728095238095238,1.85,0.8
