repeat,contrast,subset,end_budget,difference
1,P2-P1,B1_q20,40,0.013193091630591569
2,P2-P1,B1_q20,40,-0.036666666666666625
3,P2-P1,B1_q20,40,-0.025982293169793058
4,P2-P1,B1_q20,40,-0.006407464063714174
5,P2-P1,B1_q20,40,-0.0014057239057239101
6,P2-P1,B1_q20,40,-0.01700126262626256
7,P2-P1,B1_q20,40,0.006343118686868876
8,P2-P1,B1_q20,40,0.027079124579124647
9,P2-P1,B1_q20,40,-0.011845238095237964
10,P2-P1,B1_q20,40,-0.022465277777777848
11,P2-P1,B1_q20,40,-0.0022204531579532727
12,P2-P1,B1_q20,40,0.012761994949494926
13,P2-P1,B1_q20,40,0.010900297619047428
14,P2-P1,B1_q20,40,0.007112268518518539
15,P2-P1,B1_q20,40,-0.026645998677248706
16,P2-P1,B1_q20,40,0.019364252645502678
17,P2-P1,B1_q20,40,0.005293861231361219
18,P2-P1,B1_q20,40,-0.02467352092352093
19,P2-P1,B1_q20,40,-0.004603556166056122
20,P2-P1,B1_q20,40,0.026669221981721947
1,P2-P0,B1_q20,40,0.01304383116883101
2,P2-P0,B1_q20,40,-0.04254960317460321
3,P2-P0,B1_q20,40,-0.004048971861471795
4,P2-P0,B1_q20,40,0.0003836441336441121
5,P2-P0,B1_q20,40,0.012710437710437672
6,P2-P0,B1_q20,40,-0.015167297979797878
7,P2-P0,B1_q20,40,-0.008062394781144788
8,P2-P0,B1_q20,40,-0.012947180134680103
9,P2-P0,B1_q20,40,-0.01007771164021165
10,P2-P0,B1_q20,40,-0.014861111111111214
11,P2-P0,B1_q20,40,-0.007077713952713949
12,P2-P0,B1_q20,40,-0.0025162337662336665
13,P2-P0,B1_q20,40,-0.018592322029822195
14,P2-P0,B1_q20,40,-0.00046874999999990674
15,P2-P0,B1_q20,40,-0.026903108465608505
16,P2-P0,B1_q20,40,0.013797123015873103
17,P2-P0,B1_q20,40,0.0049121422558922045
18,P2-P0,B1_q20,40,-0.020351430976430995
19,P2-P0,B1_q20,40,0.008237815425315431
20,P2-P0,B1_q20,40,0.016067219817219924
1,P2-P1,B1_q20,80,0.007234172077922096
2,P2-P1,B1_q20,80,-0.012072172619047694
3,P2-P1,B1_q20,80,-0.016533527236652246
4,P2-P1,B1_q20,80,-0.020103477251914748
5,P2-P1,B1_q20,80,-0.008704624368686908
6,P2-P1,B1_q20,80,-0.02308652935606048
7,P2-P1,B1_q20,80,-0.0194890309343434
8,P2-P1,B1_q20,80,0.00840277777777787
9,P2-P1,B1_q20,80,-0.018254278273809654
10,P2-P1,B1_q20,80,-0.023821614583333428
11,P2-P1,B1_q20,80,-0.00011257839382838863
12,P2-P1,B1_q20,80,-0.010800189393939341
13,P2-P1,B1_q20,80,0.0019378494769120014
14,P2-P1,B1_q20,80,0.003311631944444393
15,P2-P1,B1_q20,80,-0.013067956349206433
16,P2-P1,B1_q20,80,0.006815166170635045
17,P2-P1,B1_q20,80,0.0027342622655122106
18,P2-P1,B1_q20,80,0.0023768375721499035
19,P2-P1,B1_q20,80,-0.003972689636752125
20,P2-P1,B1_q20,80,-0.003082921852453069
1,P2-P0,B1_q20,80,0.004358766233766187
2,P2-P0,B1_q20,80,-0.020275297619047672
3,P2-P0,B1_q20,80,0.0006419101731600652
4,P2-P0,B1_q20,80,-0.005294896076146083
5,P2-P0,B1_q20,80,-0.0075343276515151825
6,P2-P0,B1_q20,80,-0.013310250946969582
7,P2-P0,B1_q20,80,-0.012234059343434356
8,P2-P0,B1_q20,80,-0.007974273989899028
9,P2-P0,B1_q20,80,-0.025248635912698547
10,P2-P0,B1_q20,80,-0.022354600694444615
11,P2-P0,B1_q20,80,-0.009496900668775732
12,P2-P0,B1_q20,80,-0.013332826028138456
13,P2-P0,B1_q20,80,-0.0028761386183260296
14,P2-P0,B1_q20,80,-0.0010894097222222676
15,P2-P0,B1_q20,80,-0.004156746031746095
16,P2-P0,B1_q20,80,0.006802145337301613
17,P2-P0,B1_q20,80,0.0007393691378065892
18,P2-P0,B1_q20,80,-0.004505602904040451
19,P2-P0,B1_q20,80,0.013173029227716682
20,P2-P0,B1_q20,80,0.007186795409451663
1,P2-P1,B1_q30,40,0.015434014514896788
2,P2-P1,B1_q30,40,-0.04074811490252672
3,P2-P1,B1_q30,40,-0.022615523182957453
4,P2-P1,B1_q30,40,-0.011768622853181587
5,P2-P1,B1_q30,40,-0.0011098489269443235
6,P2-P1,B1_q30,40,-0.01144216367102402
7,P2-P1,B1_q30,40,0.002242817265795116
8,P2-P1,B1_q30,40,0.021777738873327124
9,P2-P1,B1_q30,40,-0.011708051276066
10,P2-P1,B1_q30,40,-0.015613524466804307
11,P2-P1,B1_q30,40,-0.011046206760215949
12,P2-P1,B1_q30,40,0.012030894229036582
13,P2-P1,B1_q30,40,-0.0004738562091503029
14,P2-P1,B1_q30,40,-0.0008394249512668761
15,P2-P1,B1_q30,40,-0.023045460874408064
16,P2-P1,B1_q30,40,0.014941896714826264
17,P2-P1,B1_q30,40,-0.0002331648471355363
18,P2-P1,B1_q30,40,-0.020162180369223792
19,P2-P1,B1_q30,40,-0.009455893102855106
20,P2-P1,B1_q30,40,0.0072093749115808015
1,P2-P0,B1_q30,40,0.012120768861771047
2,P2-P0,B1_q30,40,-0.03553745172311351
3,P2-P0,B1_q30,40,-0.01428386504455581
4,P2-P0,B1_q30,40,-0.0028652044782558894
5,P2-P0,B1_q30,40,0.006907841103613199
6,P2-P0,B1_q30,40,-0.010231141067538196
7,P2-P0,B1_q30,40,-0.008335886437908613
8,P2-P0,B1_q30,40,-0.015110002334266959
9,P2-P0,B1_q30,40,-0.009447094810146273
10,P2-P0,B1_q30,40,-0.008616354253689784
11,P2-P0,B1_q30,40,-0.005654853814199723
12,P2-P0,B1_q30,40,-0.0013860734352221238
13,P2-P0,B1_q30,40,-0.017272263071895222
14,P2-P0,B1_q30,40,-0.011135782163742669
15,P2-P0,B1_q30,40,-0.01895165628718254
16,P2-P0,B1_q30,40,0.013887670565302157
17,P2-P0,B1_q30,40,0.0006998012880365945
18,P2-P0,B1_q30,40,-0.013236817022130531
19,P2-P0,B1_q30,40,0.0037622907350074453
20,P2-P0,B1_q30,40,0.012677289350083498
1,P2-P1,B1_q30,80,0.005792910515482141
2,P2-P1,B1_q30,80,-0.01914998527820222
3,P2-P1,B1_q30,80,-0.018535058348997602
4,P2-P1,B1_q30,80,-0.01977208236514294
5,P2-P1,B1_q30,80,-0.005966267188693641
6,P2-P1,B1_q30,80,-0.019110945159313775
7,P2-P1,B1_q30,80,-0.013791852678571415
8,P2-P1,B1_q30,80,0.00468826261565225
9,P2-P1,B1_q30,80,-0.01901169321895413
10,P2-P1,B1_q30,80,-0.021650802865005758
11,P2-P1,B1_q30,80,-0.004373952406919512
12,P2-P1,B1_q30,80,-0.005420370587928214
13,P2-P1,B1_q30,80,-0.002967218137254868
14,P2-P1,B1_q30,80,-0.002727750365497106
15,P2-P1,B1_q30,80,-0.008333659670008431
16,P2-P1,B1_q30,80,0.0017627977726178967
17,P2-P1,B1_q30,80,-0.004494269262192208
18,P2-P1,B1_q30,80,-0.006227055652304858
19,P2-P1,B1_q30,80,-0.007366916064671436
20,P2-P1,B1_q30,80,-0.009495191542526094
1,P2-P0,B1_q30,80,0.0035681407730556725
2,P2-P0,B1_q30,80,-0.015463037014048053
3,P2-P0,B1_q30,80,-0.005047318817878121
4,P2-P0,B1_q30,80,-0.004831713935574133
5,P2-P0,B1_q30,80,-0.0064231087794967
6,P2-P0,B1_q30,80,-0.01013933568218961
7,P2-P0,B1_q30,80,-0.009490309144491227
8,P2-P0,B1_q30,80,-0.008613395642347865
9,P2-P0,B1_q30,80,-0.023431573150093254
10,P2-P0,B1_q30,80,-0.01991490771198845
11,P2-P0,B1_q30,80,-0.0074871959973182856
12,P2-P0,B1_q30,80,-0.009140042393053771
13,P2-P0,B1_q30,80,-0.003846507352941231
14,P2-P0,B1_q30,80,-0.0072659676535088424
15,P2-P0,B1_q30,80,-0.0027531245253283876
16,P2-P0,B1_q30,80,0.007579619909915736
17,P2-P0,B1_q30,80,-0.002296601733642323
18,P2-P0,B1_q30,80,-0.004638251956484485
19,P2-P0,B1_q30,80,0.006932317197712368
20,P2-P0,B1_q30,80,0.00325722097551151
