model,budget,keyhole_count,keyhole_fraction
P0,16,5.17,0.323125
P0,17,5.74,0.3376470588235294
P0,18,6.33,0.3516666666666666
P0,19,6.86,0.36105263157894735
P0,20,7.36,0.368
P0,21,7.94,0.3780952380952381
P0,22,8.42,0.38272727272727275
P0,23,8.96,0.3895652173913044
P0,24,9.44,0.39333333333333337
P0,25,9.97,0.39880000000000004
P0,26,10.46,0.4023076923076923
P0,27,10.97,0.40629629629629627
P0,28,11.42,0.40785714285714286
P0,29,11.92,0.4110344827586207
P0,30,12.46,0.41533333333333333
P0,31,12.99,0.41903225806451616
P0,32,13.5,0.421875
P0,33,13.97,0.42333333333333334
P0,34,14.42,0.42411764705882354
P0,35,14.93,0.4265714285714286
P0,36,15.48,0.43
P0,37,15.91,0.43
P0,38,16.36,0.4305263157894737
P0,39,16.84,0.4317948717948718
P0,40,17.37,0.43424999999999997
P0,41,17.69,0.43146341463414634
P0,42,18.23,0.43404761904761907
P0,43,18.68,0.4344186046511628
P0,44,19.09,0.4338636363636364
P0,45,19.55,0.4344444444444444
P0,46,20.01,0.435
P0,47,20.35,0.43297872340425525
P0,48,20.75,0.43229166666666663
P0,49,21.2,0.43265306122448977
P0,50,21.6,0.43200000000000005
P0,51,21.93,0.43
P0,52,22.4,0.4307692307692308
P0,53,22.71,0.42849056603773583
P0,54,23.04,0.42666666666666664
P0,55,23.41,0.42563636363636365
P0,56,23.71,0.4233928571428571
P0,57,24.0,0.42105263157894735
P0,58,24.37,0.42017241379310344
P0,59,24.67,0.41813559322033894
P0,60,24.87,0.41450000000000004
P0,61,25.07,0.4109836065573771
P0,62,25.39,0.4095161290322581
P0,63,25.65,0.40714285714285714
P0,64,25.87,0.40421875
P0,65,26.06,0.40092307692307694
P0,66,26.26,0.3978787878787879
P0,67,26.49,0.39537313432835824
P0,68,26.72,0.39294117647058824
P0,69,26.97,0.3908695652173913
P0,70,27.22,0.38885714285714285
P0,71,27.34,0.3850704225352113
P0,72,27.54,0.3825
P0,73,27.75,0.3801369863013699
P0,74,27.93,0.3774324324324324
P0,75,28.14,0.37520000000000003
P0,76,28.29,0.37223684210526314
P0,77,28.48,0.3698701298701299
P0,78,28.75,0.36858974358974356
P0,79,28.92,0.36607594936708865
P0,80,29.06,0.36325
P1,16,5.17,0.323125
