benchmark,display_name,surrogate_variant,acquisition_rule,method,seed,query_number,budget_before_query,budget_after_query,selected_pool_index,true_boundary_distance,acquisition_time_seconds,in_pool_boundary_band_q10,in_pool_boundary_band_q20,in_pool_boundary_band_q30,acquisition_selected_position,acquisition_selected_score,acquisition_beta,acquisition_quadrature_nodes,acquisition_gate_fraction,acquisition_min_shortlist_size,acquisition_shortlist_size,acquisition_selected_shortlist_position,acquisition_selected_raw_straddle,acquisition_selected_raw_diversity,acquisition_selected_p_plus,acquisition_selected_membership_uncertainty,acquisition_selected_straddle_score,acquisition_weighted_variance_reduction,acquisition_reference_set_size,acquisition_candidate_gate_size,acquisition_candidate_gate_fraction,acquisition_posterior_covariance_used,acquisition_p_star,acquisition_U_current,acquisition_U_plus,acquisition_U_minus,acquisition_expected_future_uncertainty,acquisition_expected_uncertainty_reduction,acquisition_fantasy_refit_time_seconds,acquisition_fantasy_refit_mode,acquisition_shortlist_source,acquisition_selected_uncertainty_score,acquisition_selected_entropy,acquisition_binary_entropy_margin_note,acquisition_repulsion_bandwidth,acquisition_selected_repulsion
branin,Thresholded Branin,gpr_fixed_or_existing,expected_feasibility,expected_feasibility,0,3,8,9,75,109.53115598154963,0.003789899999901536,False,False,False,70,2.4799365834950686,null,24,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,Thresholded Branin,gpr_fixed_or_existing,expected_feasibility,expected_feasibility,0,4,9,10,184,27.425880925119657,0.003861999999571708,False,False,False,176,2.320060051260167,null,24,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,Thresholded Branin,gpr_fixed_or_existing,boundary_gated_diversified_straddle,boundary_gated_diversified_straddle,0,1,6,7,1,209.32429766383956,0.002161500000511296,False,False,False,1,1.0,0.5,null,0.1,25,26,0,1.8897002949195014,0.4892842363893028,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,Thresholded Branin,gpr_fixed_or_existing,boundary_gated_diversified_straddle,boundary_gated_diversified_straddle,0,2,7,8,13,110.69330734985172,0.0020851000008406118,False,False,False,11,1.0,0.5,null,0.1,25,26,0,1.881563736613395,0.45588764636196843,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,Thresholded Branin,gpr_fixed_or_existing,boundary_gated_diversified_straddle,boundary_gated_diversified_straddle,0,3,8,9,75,109.53115598154963,0.0021226000008027768,False,False,False,70,1.0,0.5,null,0.1,25,26,0,1.7997834612571602,0.34989617947441937,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,Thresholded Branin,gpr_fixed_or_existing,boundary_gated_diversified_straddle,boundary_gated_diversified_straddle,0,4,9,10,184,27.425880925119657,0.002202499999839347,False,False,False,176,0.9190392406059466,0.5,null,0.1,25,26,1,1.479228718992759,0.315423352844864,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,1,6,7,110,26.495087119354988,0.00869319999947038,False,False,False,106,0.07750098734689301,null,null,null,null,null,null,null,null,0.40515115735942386,0.24100369704974323,1.5679839509372877,0.07750098734689301,254,254,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,2,7,8,10,178.9843611375828,0.008072399999946356,False,False,False,9,0.17903508436118534,null,null,null,null,null,null,null,null,0.37107382214114704,0.23337804066270743,1.6509099674067595,0.17903508436118534,253,253,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,3,8,9,207,67.67682954377332,0.008360099998753867,False,False,False,200,0.09028509401875628,null,null,null,null,null,null,null,null,0.8325650997821689,0.13940045440687607,1.0001451916625663,0.09028509401875628,252,252,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,4,9,10,107,31.770644989433173,0.008604200000263518,False,False,False,102,0.0688366674456398,null,null,null,null,null,null,null,null,0.4333122959229198,0.24555275012492775,1.2306530012234396,0.0688366674456398,251,251,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_bernoulli_sur_refit,gpr_bernoulli_sur_refit,0,1,6,7,71,17.290491219148137,0.012349799999356037,False,False,False,68,4.433792013576372,null,null,null,null,40,null,null,null,null,null,null,null,254,254,null,null,0.3008084247586723,42.089131697743674,37.212026391895975,37.846063339664276,37.6553396841673,4.433792013576372,0.01058269999884942,exact_fixed_kernel_rank_one_update_equivalent_to_refit,gpr_boundary_weighted_ivr_score,null,null,null,null,null
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_bernoulli_sur_refit,gpr_bernoulli_sur_refit,0,2,7,8,30,12.33707807401817,0.013865299999451963,False,False,True,29,2.77800893073059,null,null,null,null,40,null,null,null,null,null,null,null,253,253,null,null,4.805847055291962e-11,9.909594759324747,13.686145853279005,7.131585828279155,7.131585828594157,2.77800893073059,0.012100500000087777,exact_fixed_kernel_rank_one_update_equivalent_to_refit,gpr_boundary_weighted_ivr_score,null,null,null,null,null
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_bernoulli_sur_refit,gpr_bernoulli_sur_refit,0,3,8,9,50,24.639980116857384,0.014219099999536411,False,False,False,46,1.3917769710863874,null,null,null,null,40,null,null,null,null,null,null,null,252,252,null,null,8.485995097598612e-23,6.406451249238012,7.207736984696619,5.014674278151625,5.014674278151625,1.3917769710863874,0.012442100000043865,exact_fixed_kernel_rank_one_update_equivalent_to_refit,gpr_boundary_weighted_ivr_score,null,null,null,null,null
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_bernoulli_sur_refit,gpr_bernoulli_sur_refit,0,4,9,10,137,166.87405040027275,0.014196300000548945,False,False,False,129,0.980714535943191,null,null,null,null,40,null,null,null,null,null,null,null,251,251,null,null,0.9973305781499526,4.090588697407682,3.1050341693493424,4.9181579043868675,3.109874161464491,0.980714535943191,0.012352099998679478,exact_fixed_kernel_rank_one_update_equivalent_to_refit,gpr_boundary_weighted_ivr_score,null,null,null,null,null
branin,Thresholded Branin,gpc_fixed_iso,classifier_margin,classifier_margin,0,1,6,7,255,11.741263533196033,0.002511100001356681,False,False,True,250,null,null,null,null,null,null,null,null,null,0.5012338001997443,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.9975323996005114,0.6931441360309898,null,null,null
branin,Thresholded Branin,gpc_fixed_iso,classifier_margin,classifier_margin,0,2,7,8,147,5.157820926294377,0.0024154999991878867,False,True,True,142,null,null,null,null,null,null,null,null,null,0.4991792763601779,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.9983585527203558,0.6931458333847544,null,null,null
branin,Thresholded Branin,gpc_fixed_iso,classifier_margin,classifier_margin,0,3,8,9,114,2.9867752328859822,0.0024646999991091434,True,True,True,110,null,null,null,null,null,null,null,null,null,0.498705852788615,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.99741170557723,0.6931438309221958,null,null,null
branin,Thresholded Branin,gpc_fixed_iso,classifier_margin,classifier_margin,0,4,9,10,69,19.115856713058516,0.002450199999657343,False,False,False,66,null,null,null,null,null,null,null,null,null,0.5014748929461539,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.9970502141076922,0.6931428299352308,null,null,null
branin,Thresholded Branin,gpc_fixed_iso,classifier_entropy,classifier_entropy,0,1,6,7,255,11.741263533196033,0.002415599999949336,False,False,True,250,null,null,null,null,null,null,null,null,null,0.5012338001997443,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.9975323996005114,0.6931441360309898,Binary entropy is monotone-equivalent to margin.,null,null
branin,Thresholded Branin,gpc_fixed_iso,classifier_entropy,classifier_entropy,0,2,7,8,147,5.157820926294377,0.002452300001095864,False,True,True,142,null,null,null,null,null,null,null,null,null,0.4991792763601779,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.9983585527203558,0.6931458333847544,Binary entropy is monotone-equivalent to margin.,null,null
branin,Thresholded Branin,gpc_fixed_iso,classifier_entropy,classifier_entropy,0,3,8,9,114,2.9867752328859822,0.002440000000206055,True,True,True,110,null,null,null,null,null,null,null,null,null,0.498705852788615,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.99741170557723,0.6931438309221958,Binary entropy is monotone-equivalent to margin.,null,null
branin,Thresholded Branin,gpc_fixed_iso,classifier_entropy,classifier_entropy,0,4,9,10,69,19.115856713058516,0.0024513000007573282,False,False,False,66,null,null,null,null,null,null,null,null,null,0.5014748929461539,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.9970502141076922,0.6931428299352308,Binary entropy is monotone-equivalent to margin.,null,null
branin,Thresholded Branin,gpc_fixed_iso,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,0,1,6,7,1,209.32429766383956,0.0030837000012979843,False,False,False,1,0.8840845190539953,null,null,0.1,25,26,18,null,null,0.48518400869085454,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.9703680173817091,0.6927080890921307,null,0.15,0.9951071445015697
branin,Thresholded Branin,gpc_fixed_iso,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,0,2,7,8,75,109.53115598154963,0.0032090000004245667,False,False,False,71,0.9341652507361464,null,null,0.1,25,26,0,null,null,0.49980847471219014,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.9996169494243803,0.6931471071960718,null,0.15,0.9341652507361464
branin,Thresholded Branin,gpc_fixed_iso,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,0,3,8,9,62,3.69728829094565,0.003086799999437062,True,True,True,58,0.738124570226079,null,null,0.1,25,26,1,null,null,0.5021306964928018,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.9957386070143963,0.6931381007973757,null,0.15,0.7478655392138795
branin,Thresholded Branin,gpc_fixed_iso,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,0,4,9,10,154,22.11604876807511,0.0032553000000916654,False,False,False,146,0.7588218675667219,null,null,0.1,25,26,15,null,null,0.5123513270125528,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0.9752973459748944,0.692842038963609,null,0.15,0.8265184711622625
branin,Thresholded Branin,gpc_fixed_iso,gpc_bernoulli_sur_refit,gpc_bernoulli_sur_refit,0,1,6,7,251,25.427973963232553,0.23047930000029737,False,False,False,246,0.17148877794170403,null,null,null,null,10,null,null,null,null,null,null,null,254,null,null,null,0.4878585280527865,62.30710829029967,62.26746761408837,62.01002292555513,62.13561951235796,0.17148877794170403,0.22825029999876278,null,classifier_uncertainty_repulsion,0.975717056105573,null,null,null,0.8189897015035852
branin,Thresholded Branin,gpc_fixed_iso,gpc_bernoulli_sur_refit,gpc_bernoulli_sur_refit,0,2,7,8,47,106.82165303539907,0.23053110000000743,False,False,False,44,0.11254579406773502,null,null,null,null,10,null,null,null,null,null,null,null,253,null,null,null,0.528609081055528,61.76792211516206,61.44999915728085,61.8856824841327,61.65537632109432,0.11254579406773502,0.22826579999855312,null,classifier_uncertainty_repulsion,0.9427818378889441,null,null,null,0.9859583176089161
branin,Thresholded Branin,gpc_fixed_iso,gpc_bernoulli_sur_refit,gpc_bernoulli_sur_refit,0,3,8,9,70,16.891421734412404,0.2337216999985685,False,False,False,66,0.22878415886936665,null,null,null,null,10,null,null,null,null,null,null,null,252,null,null,null,0.5044168406289824,61.211459095216306,61.09650104937896,60.86681989319018,60.98267493634694,0.22878415886936665,0.23149799999919196,null,classifier_uncertainty_repulsion,0.9911663187420352,null,null,null,0.6807892045457307
branin,Thresholded Branin,gpc_fixed_iso,gpc_bernoulli_sur_refit,gpc_bernoulli_sur_refit,0,4,9,10,177,22.353136173555697,0.23326099999940197,False,False,False,170,0.1443779048722149,null,null,null,null,10,null,null,null,null,null,null,null,251,null,null,null,0.45633401007837904,60.85245234689886,61.083001352580844,60.393374049228186,60.70807444202664,0.1443779048722149,0.23087649999979476,null,classifier_uncertainty_repulsion,0.9126680201567581,null,null,null,0.963916359754875
