contrast,window,mean,lo,hi,pos_blocks,neg_blocks
M3@T_XSUR - M3@M3_MARGIN(P1),A16_32,-0.025827205882352926,-0.03832720588235292,-0.014043658088235303,4,16
M3@T_XSUR - M3@M3_MARGIN(P1),A16_40,-0.028406862745098026,-0.04047794117647059,-0.017291360294117635,4,16
M3@T_XSUR - M3@M3_MARGIN(P1),A16_48,-0.02992647058823528,-0.04147150735294116,-0.019154411764705864,3,17
M3@T_XSUR - M3@M3_MARGIN(P1),A16_80,-0.030257352941176485,-0.040335822610294156,-0.020850183823529454,1,19
M3@T_XSUR - M3@T_MARGIN,A16_32,-0.023694852941176462,-0.03441176470588232,-0.013326746323529405,4,16
M3@T_XSUR - M3@T_MARGIN,A16_40,-0.025049019607843125,-0.03475490196078429,-0.0159920343137255,2,18
M3@T_XSUR - M3@T_MARGIN,A16_48,-0.026029411764705898,-0.03523000919117647,-0.01739889705882356,2,18
M3@T_XSUR - M3@T_MARGIN,A16_80,-0.023419117647058826,-0.03303331801470587,-0.01473805147058826,2,18
M3@T_XSUR2 - M3@M3_MARGIN(P1),A16_32,-0.026930147058823514,-0.03897058823529409,-0.015386029411764696,5,15
M3@T_XSUR2 - M3@M3_MARGIN(P1),A16_40,-0.028075980392156846,-0.04102971813725486,-0.01530606617647059,4,16
M3@T_XSUR2 - M3@M3_MARGIN(P1),A16_48,-0.029457720588235273,-0.04237270220588231,-0.016865579044117635,3,17
M3@T_XSUR2 - M3@M3_MARGIN(P1),A16_80,-0.032715992647058836,-0.04388798253676471,-0.021892693014705908,1,19
M3@T_XSUR2 - M3@T_MARGIN,A16_32,-0.02479779411764704,-0.0348897058823529,-0.014981617647058803,3,17
M3@T_XSUR2 - M3@T_MARGIN,A16_40,-0.024718137254901934,-0.03501225490196074,-0.014387254901960769,3,17
M3@T_XSUR2 - M3@T_MARGIN,A16_48,-0.02556066176470588,-0.03654526654411763,-0.01484329044117648,3,17
M3@T_XSUR2 - M3@T_MARGIN,A16_80,-0.025877757352941167,-0.037348690257352934,-0.015574333639705892,4,16
M3@T_XSUR3 - M3@M3_MARGIN(P1),A16_32,-0.02715073529411763,-0.03963281249999999,-0.015018382352941164,4,16
M3@T_XSUR3 - M3@M3_MARGIN(P1),A16_40,-0.02872549019607841,-0.04145833333333332,-0.016286764705882337,5,15
M3@T_XSUR3 - M3@M3_MARGIN(P1),A16_48,-0.030266544117647044,-0.042445082720588195,-0.01843658088235295,2,18
M3@T_XSUR3 - M3@M3_MARGIN(P1),A16_80,-0.03212775735294119,-0.043414751838235295,-0.021635914522058847,2,18
M3@T_XSUR3 - M3@T_MARGIN,A16_32,-0.025018382352941154,-0.035165900735294096,-0.014816176470588225,3,17
M3@T_XSUR3 - M3@T_MARGIN,A16_40,-0.025367647058823505,-0.03574754901960779,-0.015416666666666662,3,17
M3@T_XSUR3 - M3@T_MARGIN,A16_48,-0.026369485294117655,-0.03688465073529411,-0.01594646139705885,3,17
M3@T_XSUR3 - M3@T_MARGIN,A16_80,-0.02528952205882353,-0.036107651654411765,-0.014714958639705884,4,16
