metric,window,oracle,margin,diff,lo,hi
q20_accuracy,16-40,0.9249387254901961,0.8298100490196079,0.09512867647058819,0.07797181372549013,0.11366421568627451
q20_accuracy,16-80,0.8932100183823529,0.848288143382353,0.044921874999999944,0.030215992647058723,0.06227022058823531
q30_accuracy,16-40,0.9430208333333333,0.8742708333333333,0.06874999999999999,0.04947916666666663,0.08666666666666674
q30_accuracy,16-80,0.9241015625,0.8928515625,0.031249999999999972,0.01952929687499999,0.043593749999999945
full_accuracy,16-40,0.9807098765432098,0.9600372942386831,0.0206725823045268,0.015399144804526733,0.02610596707818938
full_accuracy,16-80,0.9751398533950617,0.9658323688271604,0.00930748456790123,0.006389853395061734,0.012442129629629636
q20_balanced_accuracy,16-40,0.9213957375090187,0.8222157399891774,0.09917999751984125,0.07865865688131314,0.1204338304924242
q20_balanced_accuracy,16-80,0.8807304701591812,0.8377028516188674,0.043027618540313894,0.032935415821157984,0.05367013113839289
q30_balanced_accuracy,16-40,0.9321487991898147,0.8585018382352941,0.07364696095452068,0.058603324142156854,0.08968436712792748
q30_balanced_accuracy,16-80,0.9028580011106005,0.8724920135697509,0.03036598754084968,0.02513212316176469,0.03626764833537581
full_balanced_accuracy,16-40,0.9674222906032608,0.9355989600159377,0.03182333058732316,0.015088213685024545,0.04840989687654805
full_balanced_accuracy,16-80,0.9520541191162694,0.9404607630980649,0.01159335601820441,0.005488345294126021,0.016915334548846653
q20_keyhole_recall,16-40,0.9028490823412699,0.7843067956349206,0.11854228670634928,0.04729662698412704,0.19642857142857156
q20_keyhole_recall,16-80,0.8276832217261905,0.7873814174107142,0.04030180431547621,0.01666172572544645,0.06474400111607147
q30_keyhole_recall,16-40,0.9081163194444444,0.8111328125,0.09698350694444444,0.03880208333333332,0.15644856770833326
q30_keyhole_recall,16-80,0.8497151692708333,0.8174126519097222,0.0323025173611111,0.014234212239583327,0.05066731770833331
full_keyhole_recall,16-40,0.9463913690476191,0.8971106150793651,0.04928075396825392,0.005377604166666667,0.09144345238095225
full_keyhole_recall,16-80,0.9155133928571428,0.9003441220238095,0.015169270833333248,-0.0024088541666667795,0.030859374999999925
