feature,partial_rho_median,partial_rho_mean,n
logh,0.0848606784644536,0.04217717265202508,74
dist_thr_logh,0.0848606784644536,0.04217717265202508,74
m3_latent_m,0.06894746987390654,0.04691420594574092,74
in_band,0.049589245705750566,0.01766422749591854,59
local_phys_conflict,0.047185089230998734,0.010052830784470853,74
abs_m3_minus_T,0.038205960437251274,0.04586614870396734,74
m3_p,0.032910500352360816,0.028157561149302412,74
T_tv,0.03151626694186816,-0.00346901615348878,74
abs_m3_minus_lr4,0.02358350432317901,0.04639759171731191,74
h_p,0.023087415070820797,0.040655760406912544,74
revealed_density_r10,0.02163935707181069,0.030202445794318314,74
local_frac_kh,0.01950063522198273,0.03630428840162953,74
T_tau_sd,0.018744829985405193,0.024167065940227807,74
ST_z,0.016726803340302163,0.005138254917222992,74
nn_revealed_c,0.012928487638648596,0.007185921449030311,74
abs_m3_minus_h,0.00980550392831321,0.013849109336044869,74
m3_latent_v,0.008941794154789644,0.009368127490532488,74
logVX,0.0005380857142984515,0.020217693373548035,74
T_xsur2,-0.0016886367142649994,-0.034781162986640274,74
nn_revealed_kh,-0.021181708483378837,-0.013713939731888026,74
nn_revealed,-0.02827133468687323,-0.027849882943656524,74
pool_density_r05,-0.030227636680300957,-0.02686950550925703,74
T_flips2,-0.03152622349492166,-0.01696383459034896,74
abs_dist_thr,-0.033796084564865006,-0.013798703253352508,74
abs_m3_latent_m,-0.037170079644928175,-0.016311521348249928,74
logLS,-0.05157725864209492,-0.05255463911248556,74
local_label_entropy,-0.0521493496161817,-0.03260829063858928,74
m3_pi_margin,-0.08803202161591525,-0.04467527893563764,62
revealed_density_r05,-0.13288172334372034,-0.06956210226632187,73
cfg_main,-0.2310382258261447,-0.1139225951879835,74
