target,target_label,variability_class,simulation_id,selected_window_observation_count,block_scenario,block_length,bootstrap_resamples,bootstrap_seed,bootstrap_median_std_um,bootstrap_variance_um2,bootstrap_quantile_low_um,bootstrap_quantile_high_um,std_ratio_to_base,qualitatively_stable_vs_base
depth,Penetration depth below original surface,high_variability,sim_00038,13751,base,24,500,129500356,1.965103127065408,3.8616303000022447,121.700545,127.1240075,1.0,True
depth,Penetration depth below original surface,high_variability,sim_00038,13751,double,48,500,82333908,2.3189488078675606,5.377523573510381,121.18189,127.2013775,1.1800646876637813,True
depth,Penetration depth below original surface,high_variability,sim_00038,13751,half,12,500,4122794987,1.7893923221987194,3.201924882743725,121.7526575,126.980905,0.91058443577509,True
depth,Penetration depth below original surface,low_variability,sim_00098,16259,base,25,500,2619727486,0.0015048992781158,2.2647218372737327e-06,70.71080375,70.71653575,1.0,True
depth,Penetration depth below original surface,low_variability,sim_00098,16259,double,50,500,2748549559,0.002138907186276,4.5749239515034825e-06,70.7091595,70.71689525000001,1.4212959082244767,True
depth,Penetration depth below original surface,low_variability,sim_00098,16259,half,12,500,2278514862,0.0010657290024269,1.135778306613938e-06,70.71203374999999,70.71607,0.7081729773710985,True
depth,Penetration depth below original surface,middle_variability,sim_00204,12708,base,23,500,2047000369,0.0079156130467393,6.265692990570972e-05,50.73237699999999,50.763822625,1.0,True
depth,Penetration depth below original surface,middle_variability,sim_00204,12708,double,46,500,552169053,0.0107411296708312,0.0001153718666056,50.7291885,50.76678625,1.3569548697502123,True
depth,Penetration depth below original surface,middle_variability,sim_00204,12708,half,12,500,940309416,0.005713842998545,3.264800181202186e-05,50.736876,50.759177875,0.7218446587530851,True
length,Melt-pool length,high_variability,sim_00154,10219,base,22,500,2516591151,3.1316571943838305,9.807276783136006,272.7757025,284.4308000000001,1.0,True
length,Melt-pool length,high_variability,sim_00154,10219,double,44,500,3523846458,4.23172249377343,17.907475264308015,269.2009600000001,286.29106,1.351272579055717,True
length,Melt-pool length,high_variability,sim_00154,10219,half,11,500,958612638,2.4297046741643906,5.903464803656288,274.7687875000001,283.8021750000001,0.77585269502732,True
length,Melt-pool length,low_variability,sim_00059,19195,base,27,500,100664110,0.064086589552582,0.0041070909604811,358.43539,358.69473500000004,1.0,True
length,Melt-pool length,low_variability,sim_00059,19195,double,54,500,324159927,0.0874731237610813,0.0076515473805214,358.4041325,358.73833499999995,1.3649208730215066,True
length,Melt-pool length,low_variability,sim_00059,19195,half,14,500,671075002,0.0498509051055227,0.0024851127398398,358.473145,358.662255,0.7778679666612749,True
length,Melt-pool length,middle_variability,sim_00226,19096,base,27,500,978804162,0.2210962266084174,0.0488835414204806,449.7096237500001,450.54381,1.0,True
length,Melt-pool length,middle_variability,sim_00226,19096,double,54,500,2849981732,0.3064823774182223,0.0939314476679256,449.517885,450.72004125,1.386194518647448,True
length,Melt-pool length,middle_variability,sim_00226,19096,half,14,500,3708716080,0.1433387379230358,0.0205459937893687,449.80590375,450.3775475,0.648309291035086,True
width,Melt-pool width,high_variability,sim_00002,10906,base,22,500,2942501264,2.690823840052769,7.2405329381963295,123.5011255,132.79069387500002,1.0,True
width,Melt-pool width,high_variability,sim_00002,10906,double,44,500,2140973611,3.425938839684076,11.737056933255872,122.979308,134.44658712499995,1.2731932832945656,True
width,Melt-pool width,high_variability,sim_00002,10906,half,11,500,3038103867,2.238083535346569,5.009017911189397,123.761136625,132.441381,0.831746583344779,True
width,Melt-pool width,low_variability,sim_00129,14919,base,25,500,3055627664,0.0103824223899714,0.0001077946946837,167.15066525000003,167.18889725000002,1.0,True
width,Melt-pool width,low_variability,sim_00129,14919,double,50,500,263952611,0.0144042890287041,0.0002074835424224,167.14179925,167.19863474999997,1.3873726658065306,True
width,Melt-pool width,low_variability,sim_00129,14919,half,12,500,3170475503,0.0077038607679175,5.9349470731459695e-05,167.15524225,167.18371075,0.7420099547634318,True
width,Melt-pool width,middle_variability,sim_00071,15459,base,25,500,3164665856,0.0304009562896733,0.0009242181433266,218.010895,218.12482,1.0,True
width,Melt-pool width,middle_variability,sim_00071,15459,double,50,500,87947748,0.0435523268552777,0.0018968051745089,217.9869375,218.1556925,1.4325972657008692,True
width,Melt-pool width,middle_variability,sim_00071,15459,half,12,500,2273400892,0.0216299515590966,0.0004678548044488,218.0250425,218.110125,0.7114891832019091,True
