analysis_label,target,target_label,method,n_predictions,mae_um,median_absolute_error_um,rmse_um,r2,nrmse,mean_nlpd,median_nlpd,nlpd_variance_definition,latent_95_coverage,observation_95_coverage,observation_coverage_kind,mean_latent_interval_width_um,mean_observation_interval_width_um,total_runtime_seconds,mean_fold_runtime_seconds,optimizer_warning_folds,convergence_warning_folds,failed_folds,any_bound_hit_folds,constant_bound_hit_folds,length_scale_bound_hit_folds,noise_bound_hit_folds,length_scale_min,length_scale_q25,length_scale_median,length_scale_q75,length_scale_max,signal_variance_min,signal_variance_median,signal_variance_max,learned_noise_variance_median_normalized,learned_noise_std_median_um,learned_noise_fraction_training_std_median
full_population_loo,depth,Penetration depth below original surface,A_tiny_jitter,241,3.015944389393022,1.845220748437633,4.955872457298154,0.9169130858671368,0.046274252191250115,5.199443718843148,3.103375146131666,latent predictive variance,0.975103734439834,,not defined,30.69588419754185,,209.70024680002825,0.8701255053943081,1,1,0,0,0,0,0,0.7839393941748336,0.7965640230692138,0.7972584456696813,0.7986513857500919,1.6787435993140014,0.6208326110732606,0.6340953969261734,1.05983667477996,,,
full_population_loo,depth,Penetration depth below original surface,B_learned_nugget,241,2.3622534515500067,1.3939704689579244,4.595885981496738,0.92854528701284,0.04291296613915591,3.0373068538008208,2.5362017191470523,total predictive variance including learned WhiteKernel nugget,0.9253112033195021,0.966804979253112,learned-nugget total interval,11.225125795552817,18.70056050357673,260.0693017002777,1.0791257331961732,0,0,0,0,0,0,0,3.981902242508114,5.1603603682984565,5.173250805371852,5.187744686968119,7.360521566111309,2.7902269150576857,3.771371395735324,6.54660284376888,0.0484431919563479,3.787862697494678,0.2200981416467388
full_population_loo,depth,Penetration depth below original surface,C_heteroskedastic,241,2.53305206419918,1.5749974145956571,4.091001173609612,0.943382381769618,0.038198727197575714,3.254941401267028,2.621851682960585,oracle retrospective latent variance plus held-out target-summary variance,0.9294605809128631,0.9294605809128631,oracle retrospective interval,18.073647329230223,18.1149500106069,177.07640329992864,0.734756860165679,0,0,0,0,0,0,0,1.4846500474311808,1.5172797664382969,1.51953417819493,1.522987230186382,1.8630071665435275,0.8301859264121825,0.8654667883303033,1.0923985832377368,,,
full_population_loo,length,Melt-pool length,A_tiny_jitter,241,15.073949943722772,7.605061241401529,25.73897437797368,0.9190492986503028,0.060199009338290116,5.377487443263717,4.4405419887181,latent predictive variance,0.9336099585062241,,not defined,113.79863739531723,,173.18121299974155,0.7185942448122056,0,0,0,0,0,0,0,1.2068224012745157,1.2148615893245571,1.2162740207416314,1.2185954314106688,2.025324159118183,0.6938454560800226,0.7382207427106302,1.173478778508438,,,
full_population_loo,length,Melt-pool length,B_learned_nugget,241,10.622780449177137,5.348061602545158,19.38906177406683,0.9540641529290602,0.04534766201859912,4.472069683194649,3.979870708111938,total predictive variance including learned WhiteKernel nugget,0.8838174273858921,0.9543568464730291,learned-nugget total interval,46.21549097704475,78.80298083865483,209.99489119980717,0.8713480962647601,1,1,0,0,0,0,0,9.44756574515312,9.851096519395869,9.87176568079322,9.89331331011294,11.303325176372134,13.514466488688386,14.407000938591375,17.72799360949179,0.0319082783706672,16.170992648968827,0.1786288844802745
full_population_loo,length,Melt-pool length,C_heteroskedastic,241,15.045825068565764,7.589734762724106,25.688166833992668,0.9193685691010547,0.060080179280431016,5.365145826127127,4.436433469960207,oracle retrospective latent variance plus held-out target-summary variance,0.9336099585062241,0.9336099585062241,oracle retrospective interval,113.28810872545726,113.30132608673544,167.03259400001843,0.6930813029046408,0,0,0,0,0,0,0,1.212907940713233,1.221039145802476,1.2224572355021814,1.224830665090634,2.0309462380259373,0.6953114999737561,0.7399368450431284,1.1767900479781268,,,
full_population_loo,width,Melt-pool width,A_tiny_jitter,241,4.5215702653949394,2.623309238791748,8.03746112317931,0.9539077531701392,0.04715212197706833,3.7421918206657976,3.103872838569399,latent predictive variance,0.9336099585062241,,not defined,29.974674465846327,,186.60996660019737,0.7743152141087027,0,0,0,0,0,0,0,1.7967234561615586,1.8135461121967733,1.8161882984105453,1.8192405993027865,2.1002515785187525,0.7815614228432468,0.7933423347256203,0.9074832629058072,,,
full_population_loo,width,Melt-pool width,B_learned_nugget,241,3.274485225560961,1.9076913946065588,6.696354462711987,0.9680061151662327,0.03928446030263148,3.5737456431528978,2.8897663423595303,total predictive variance including learned WhiteKernel nugget,0.8755186721991701,0.9626556016597511,learned-nugget total interval,11.272855923605615,26.7823956824803,267.2187256999314,1.1087913929457733,3,3,0,0,0,0,0,25.658801789752165,28.991022560718857,29.060627036153427,29.147314176415605,36.1362830271649,46.44490280018784,59.03310410915992,102.87099319224777,0.0272338720636533,6.184850524027512,0.1650268828514111
full_population_loo,width,Melt-pool width,C_heteroskedastic,241,4.521433796289741,2.6233378387470765,8.036908518960754,0.9539140909661291,0.04714888009992341,3.742481726325821,3.103822960871305,oracle retrospective latent variance plus held-out target-summary variance,0.9336099585062241,0.9336099585062241,oracle retrospective interval,29.974175907330174,29.982674254179905,181.33734150009695,0.7524371016601533,0,0,0,0,0,0,0,1.7971991872181117,1.8140235377112013,1.8166689920394976,1.8197111879901768,2.101463723840952,0.781809497402165,0.7936209940839821,0.9081274379894324,,,
stable_only_refit_loo,depth,Penetration depth below original surface,C_heteroskedastic,230,2.076666935338183,1.5516981517392132,3.0137977501380315,0.9620356304793878,0.03987218282289301,2.703816760990351,2.2433166110248965,oracle retrospective latent variance plus held-out target-summary variance,0.9130434782608695,0.9130434782608695,oracle retrospective interval,11.187058010879738,11.215180155546475,146.66405609968933,0.6376698091290841,1,1,0,0,0,0,0,2.282334059004432,2.356537669039264,2.3614235095171674,2.3688512119727774,2.566600207803883,1.139736982929294,1.2399956505097882,1.3934136402513468,,,
