target,preferred_method,selection_strength,rmse_winner,mae_winner,nlpd_winner,rmse_um,mae_um,mean_nlpd,latent_95_coverage,observation_95_coverage,robust_against_other_methods,scientific_interpretation
width,B_learned_nugget,robust paired-RMSE advantage,B_learned_nugget,B_learned_nugget,B_learned_nugget,6.696354462711987,3.274485225560961,3.5737456431528978,0.8755186721991701,0.9626556016597511,"{""A_tiny_jitter"":true,""C_heteroskedastic"":true}","Point prediction has first priority. NLPD, calibration, optimization stability, interpretability, and runtime are reported as secondary evidence; no claim is made from R² alone."
length,B_learned_nugget,robust paired-RMSE advantage,B_learned_nugget,B_learned_nugget,B_learned_nugget,19.38906177406683,10.622780449177137,4.472069683194649,0.8838174273858921,0.9543568464730291,"{""A_tiny_jitter"":true,""C_heteroskedastic"":true}","Point prediction has first priority. NLPD, calibration, optimization stability, interpretability, and runtime are reported as secondary evidence; no claim is made from R² alone."
depth,C_heteroskedastic,numerical preference; paired uncertainty overlaps zero,C_heteroskedastic,B_learned_nugget,B_learned_nugget,4.091001173609612,2.53305206419918,3.254941401267028,0.9294605809128631,0.9294605809128631,"{""A_tiny_jitter"":true,""B_learned_nugget"":false}","Point prediction has first priority. NLPD, calibration, optimization stability, interpretability, and runtime are reported as secondary evidence; no claim is made from R² alone."
