analysis_label,target,target_label,method,n_predictions,mae_um,median_absolute_error_um,rmse_um,r2,nrmse,mean_nlpd,median_nlpd,nlpd_variance_definition,latent_95_coverage,observation_95_coverage,observation_coverage_kind,mean_latent_interval_width_um,mean_observation_interval_width_um,total_runtime_seconds,mean_fold_runtime_seconds,optimizer_warning_folds,convergence_warning_folds,failed_folds,any_bound_hit_folds,constant_bound_hit_folds,length_scale_bound_hit_folds,noise_bound_hit_folds,length_scale_min,length_scale_q25,length_scale_median,length_scale_q75,length_scale_max,signal_variance_min,signal_variance_median,signal_variance_max,learned_noise_variance_median_normalized,learned_noise_std_median_um,learned_noise_fraction_training_std_median,preferred_method,stable_refit_rmse_relative_change_vs_full_model_stable_heldouts,material_change_threshold,unstable_windows_materially_affect_conclusion,interpretation
full_241_all_heldouts,width,Melt-pool width,B_learned_nugget,241,3.274485225560961,1.9076913946065588,6.696354462711987,0.9680061151662327,0.03928446030263148,3.5737456431528978,2.8897663423595303,total predictive variance including learned WhiteKernel nugget,0.8755186721991701,0.9626556016597511,learned-nugget total interval,11.272855923605615,26.7823956824803,267.2187256999314,1.1087913929457733,3,3,0,0,0,0,0,25.658801789752165,28.991022560718857,29.060627036153427,29.147314176415605,36.1362830271649,46.44490280018784,59.03310410915992,102.87099319224777,0.0272338720636533,6.184850524027512,0.1650268828514111,B_learned_nugget,0.00428565317000298,0.05,False,Material means at least 5% absolute RMSE change between stable-only refit LOO and the stable held-out rows from full-population LOO.
full_population_model_stable_heldouts_230,width,Melt-pool width,B_learned_nugget,230,3.297329395182711,1.8957838985962212,6.810790888308257,0.9675651665050888,0.03995580666632009,3.6015904594002004,2.889567611736327,total predictive variance including learned WhiteKernel nugget,0.8695652173913043,0.9608695652173913,learned-nugget total interval,11.189394588676647,26.74168655502173,253.01343619986437,1.10005841826028,3,3,0,0,0,0,0,25.658801789752165,28.98762443229487,29.057420130546515,29.158328321450703,36.1362830271649,46.44490280018784,59.03533444544644,102.87099319224777,0.02723671688826965,6.184827200444781,0.1650355019025297,B_learned_nugget,0.00428565317000298,0.05,False,Material means at least 5% absolute RMSE change between stable-only refit LOO and the stable held-out rows from full-population LOO.
stable_only_refit_loo_230,width,Melt-pool width,B_learned_nugget,230,3.347742982751955,1.9239961930313711,6.839979575868963,0.967286561886268,0.040127043395819635,3.59880928224995,2.916170814584414,total predictive variance including learned WhiteKernel nugget,0.8695652173913043,0.9608695652173913,learned-nugget total interval,11.54246139639102,27.363241121548693,221.26424369975575,0.9620184508685032,3,3,0,0,0,0,0,25.2196751123433,28.40950673550878,28.4895078221408,28.592211998781373,35.475309507787166,42.95396488516656,54.08900983189682,95.99214327023395,0.027820119654683,6.314798304404752,0.16679364390882878,B_learned_nugget,0.00428565317000298,0.05,False,Material means at least 5% absolute RMSE change between stable-only refit LOO and the stable held-out rows from full-population LOO.
full_241_all_heldouts,length,Melt-pool length,B_learned_nugget,241,10.622780449177137,5.348061602545158,19.38906177406683,0.9540641529290602,0.04534766201859912,4.472069683194649,3.979870708111938,total predictive variance including learned WhiteKernel nugget,0.8838174273858921,0.9543568464730291,learned-nugget total interval,46.21549097704475,78.80298083865483,209.99489119980717,0.8713480962647601,1,1,0,0,0,0,0,9.44756574515312,9.851096519395869,9.87176568079322,9.89331331011294,11.303325176372134,13.514466488688386,14.407000938591375,17.72799360949179,0.0319082783706672,16.170992648968827,0.1786288844802745,B_learned_nugget,0.004719510979148769,0.05,False,Material means at least 5% absolute RMSE change between stable-only refit LOO and the stable held-out rows from full-population LOO.
full_population_model_stable_heldouts_230,length,Melt-pool length,B_learned_nugget,230,10.444653457358827,5.396794859859412,19.163923512614232,0.9558484975699989,0.04482110256426479,4.472475912783845,3.980607182001663,total predictive variance including learned WhiteKernel nugget,0.8869565217391304,0.9608695652173913,learned-nugget total interval,45.90806753920318,78.59661211872438,201.8588786997716,0.8776472986946591,1,1,0,0,0,0,0,9.44756574515312,9.85098397252254,9.870627778769268,9.890886723907292,11.303325176372134,13.514466488688386,14.405291270213338,17.031103906908513,0.0319089793302424,16.171361100418927,0.17863084651531141,B_learned_nugget,0.004719510979148769,0.05,False,Material means at least 5% absolute RMSE change between stable-only refit LOO and the stable held-out rows from full-population LOO.
stable_only_refit_loo_230,length,Melt-pool length,B_learned_nugget,230,10.485932044579853,5.769785750364491,19.254367860035583,0.9554307671480471,0.04503263624991439,4.479662572624598,3.9919461689024267,total predictive variance including learned WhiteKernel nugget,0.8913043478260869,0.9652173913043478,learned-nugget total interval,45.99188484624944,79.34322693264141,188.0293063998106,0.8175187234774374,0,0,0,0,0,0,0,10.570247590771638,10.867217055161436,10.891543899950916,10.914357099909342,13.090242866661008,16.19427414592318,17.32153886151731,21.621779346927703,0.032201963827779,16.37703404412897,0.1794490563579168,B_learned_nugget,0.004719510979148769,0.05,False,Material means at least 5% absolute RMSE change between stable-only refit LOO and the stable held-out rows from full-population LOO.
full_241_all_heldouts,depth,Penetration depth below original surface,C_heteroskedastic,241,2.53305206419918,1.5749974145956571,4.091001173609612,0.943382381769618,0.038198727197575714,3.254941401267028,2.621851682960585,oracle retrospective latent variance plus held-out target-summary variance,0.9294605809128631,0.9294605809128631,oracle retrospective interval,18.073647329230223,18.1149500106069,177.07640329992864,0.734756860165679,0,0,0,0,0,0,0,1.4846500474311808,1.5172797664382969,1.51953417819493,1.522987230186382,1.8630071665435275,0.8301859264121825,0.8654667883303033,1.0923985832377368,,,,C_heteroskedastic,-0.14327242859130151,0.05,True,Material means at least 5% absolute RMSE change between stable-only refit LOO and the stable held-out rows from full-population LOO.
full_population_model_stable_heldouts_230,depth,Penetration depth below original surface,C_heteroskedastic,230,2.2674743076871766,1.50270371547062,3.5178017501905647,0.9482761665638353,0.04654009530396232,2.8060316859961945,2.599401796974097,oracle retrospective latent variance plus held-out target-summary variance,0.9391304347826087,0.9391304347826087,oracle retrospective interval,17.985049257467566,18.004535011085178,168.77513699996052,0.7338049434780892,0,0,0,0,0,0,0,1.4846500474311808,1.517269833576116,1.5193423503412382,1.5226557017415305,1.7839365140774022,0.8301859264121825,0.8654438145080023,1.0923985832377368,,,,C_heteroskedastic,-0.14327242859130151,0.05,True,Material means at least 5% absolute RMSE change between stable-only refit LOO and the stable held-out rows from full-population LOO.
stable_only_refit_loo_230,depth,Penetration depth below original surface,C_heteroskedastic,230,2.076666935338183,1.5516981517392132,3.0137977501380315,0.9620356304793878,0.03987218282289301,2.703816760990351,2.2433166110248965,oracle retrospective latent variance plus held-out target-summary variance,0.9130434782608695,0.9130434782608695,oracle retrospective interval,11.187058010879738,11.215180155546475,146.66405609968933,0.6376698091290841,1,1,0,0,0,0,0,2.282334059004432,2.356537669039264,2.3614235095171674,2.3688512119727774,2.566600207803883,1.139736982929294,1.2399956505097882,1.3934136402513468,,,,C_heteroskedastic,-0.14327242859130151,0.05,True,Material means at least 5% absolute RMSE change between stable-only refit LOO and the stable held-out rows from full-population LOO.
