benchmark,method,seed,budget,global_error,latent_uncertainty_region_fraction,mean_true_boundary_distance_test,near_boundary_error_q10,near_boundary_test_size_q10,near_boundary_error_q20,near_boundary_test_size_q20,near_boundary_error_q30,near_boundary_test_size_q30
ackley,random,0,12,0.3981,0.8983,1.3061357716661417,0.493,1000,0.492,2000,0.4776666666666667,3000
ackley,random,0,13,0.3802,0.9122,1.3061357716661417,0.478,1000,0.4835,2000,0.4673333333333333,3000
ackley,random,0,14,0.3828,0.8434,1.3061357716661417,0.464,1000,0.48,2000,0.4603333333333333,3000
ackley,random,0,15,0.3792,0.7711,1.3061357716661417,0.456,1000,0.4705,2000,0.453,3000
ackley,random,0,16,0.3806,0.7454,1.3061357716661417,0.459,1000,0.475,2000,0.4603333333333333,3000
ackley,random,0,17,0.3941,0.7732,1.3061357716661417,0.472,1000,0.4845,2000,0.4756666666666667,3000
ackley,random,0,18,0.3781,0.9345,1.3061357716661417,0.471,1000,0.4765,2000,0.46366666666666667,3000
ackley,random,0,19,0.3676,0.9456,1.3061357716661417,0.473,1000,0.4715,2000,0.4603333333333333,3000
ackley,random,0,20,0.3679,0.9223,1.3061357716661417,0.467,1000,0.469,2000,0.45766666666666667,3000
ackley,random,0,21,0.3686,0.913,1.3061357716661417,0.465,1000,0.467,2000,0.4573333333333333,3000
ackley,random,0,22,0.341,0.9183,1.3061357716661417,0.462,1000,0.465,2000,0.44433333333333336,3000
ackley,random,0,23,0.3265,0.9359,1.3061357716661417,0.467,1000,0.4645,2000,0.441,3000
ackley,random,0,24,0.3254,0.9487,1.3061357716661417,0.471,1000,0.4665,2000,0.441,3000
ackley,random,0,25,0.3361,0.9358,1.3061357716661417,0.48,1000,0.4735,2000,0.451,3000
ackley,random,0,26,0.3418,0.9202,1.3061357716661417,0.486,1000,0.4785,2000,0.45766666666666667,3000
ackley,random,0,27,0.3453,0.9035,1.3061357716661417,0.49,1000,0.4805,2000,0.46066666666666667,3000
ackley,random,0,28,0.3457,0.8954,1.3061357716661417,0.486,1000,0.48,2000,0.46066666666666667,3000
ackley,random,0,29,0.3356,0.8873,1.3061357716661417,0.482,1000,0.4745,2000,0.4503333333333333,3000
ackley,random,0,30,0.3154,0.9027,1.3061357716661417,0.481,1000,0.4695,2000,0.44266666666666665,3000
ackley,random,0,31,0.3138,0.8888,1.3061357716661417,0.48,1000,0.467,2000,0.44,3000
ackley,random,0,32,0.3134,0.8794,1.3061357716661417,0.48,1000,0.468,2000,0.44033333333333335,3000
ackley,random,0,33,0.3295,0.8873,1.3061357716661417,0.491,1000,0.477,2000,0.44966666666666666,3000
ackley,random,0,34,0.3121,0.8965,1.3061357716661417,0.489,1000,0.4745,2000,0.442,3000
ackley,random,0,35,0.3122,0.8843,1.3061357716661417,0.488,1000,0.474,2000,0.442,3000
ackley,random,0,36,0.3126,0.8698,1.3061357716661417,0.486,1000,0.4745,2000,0.44266666666666665,3000
ackley,random,0,37,0.3167,0.8548,1.3061357716661417,0.485,1000,0.471,2000,0.44233333333333336,3000
ackley,random,0,38,0.3198,0.8464,1.3061357716661417,0.48,1000,0.4695,2000,0.444,3000
ackley,random,0,39,0.3201,0.8349,1.3061357716661417,0.484,1000,0.4725,2000,0.445,3000
ackley,random,0,40,0.3235,0.8165,1.3061357716661417,0.485,1000,0.4745,2000,0.447,3000
ackley,random,0,41,0.3276,0.8517,1.3061357716661417,0.485,1000,0.4735,2000,0.44866666666666666,3000
ackley,random,0,42,0.3279,0.8348,1.3061357716661417,0.489,1000,0.4765,2000,0.4513333333333333,3000
ackley,random,0,43,0.322,0.8476,1.3061357716661417,0.483,1000,0.4695,2000,0.44433333333333336,3000
ackley,random,0,44,0.3252,0.8818,1.3061357716661417,0.484,1000,0.473,2000,0.4483333333333333,3000
ackley,random,0,45,0.3251,0.8719,1.3061357716661417,0.482,1000,0.4715,2000,0.44733333333333336,3000
ackley,random,0,46,0.3259,0.8661,1.3061357716661417,0.487,1000,0.4745,2000,0.4503333333333333,3000
ackley,random,0,47,0.3161,0.8642,1.3061357716661417,0.487,1000,0.4705,2000,0.44266666666666665,3000
ackley,random,0,48,0.313,0.8518,1.3061357716661417,0.482,1000,0.468,2000,0.44,3000
ackley,random,0,49,0.3183,0.8386,1.3061357716661417,0.482,1000,0.468,2000,0.44133333333333336,3000
ackley,random,0,50,0.3186,0.8284,1.3061357716661417,0.48,1000,0.4665,2000,0.441,3000
ackley,random,0,51,0.3194,0.8176,1.3061357716661417,0.475,1000,0.463,2000,0.438,3000
ackley,random,0,52,0.3182,0.8102,1.3061357716661417,0.472,1000,0.4615,2000,0.43733333333333335,3000
ackley,random,0,53,0.3179,0.7988,1.3061357716661417,0.471,1000,0.462,2000,0.438,3000
ackley,random,0,54,0.3213,0.7812,1.3061357716661417,0.471,1000,0.4665,2000,0.44166666666666665,3000
ackley,random,0,55,0.3224,0.7772,1.3061357716661417,0.473,1000,0.468,2000,0.44233333333333336,3000
ackley,random,0,56,0.3237,0.7658,1.3061357716661417,0.478,1000,0.473,2000,0.44733333333333336,3000
ackley,random,0,57,0.3226,0.764,1.3061357716661417,0.482,1000,0.475,2000,0.44733333333333336,3000
ackley,random,0,58,0.3228,0.761,1.3061357716661417,0.483,1000,0.477,2000,0.44966666666666666,3000
ackley,random,0,59,0.3229,0.7541,1.3061357716661417,0.479,1000,0.4775,2000,0.451,3000
ackley,random,0,60,0.323,0.7452,1.3061357716661417,0.479,1000,0.4765,2000,0.451,3000
ackley,random,0,61,0.3156,0.7479,1.3061357716661417,0.478,1000,0.477,2000,0.453,3000
ackley,random,0,62,0.3133,0.7446,1.3061357716661417,0.476,1000,0.471,2000,0.4493333333333333,3000
ackley,random,0,63,0.3134,0.7352,1.3061357716661417,0.477,1000,0.4725,2000,0.449,3000
ackley,random,0,64,0.3145,0.7247,1.3061357716661417,0.477,1000,0.472,2000,0.44966666666666666,3000
ackley,random,0,65,0.3081,0.718,1.3061357716661417,0.479,1000,0.4745,2000,0.448,3000
ackley,random,0,66,0.3152,0.7074,1.3061357716661417,0.477,1000,0.4735,2000,0.4493333333333333,3000
ackley,random,0,67,0.3178,0.7414,1.3061357716661417,0.479,1000,0.4775,2000,0.453,3000
ackley,random,0,68,0.3175,0.7352,1.3061357716661417,0.479,1000,0.477,2000,0.45266666666666666,3000
ackley,random,0,69,0.3174,0.7296,1.3061357716661417,0.48,1000,0.4775,2000,0.453,3000
ackley,random,0,70,0.3141,0.7312,1.3061357716661417,0.476,1000,0.478,2000,0.4543333333333333,3000
ackley,random,0,71,0.3173,0.7341,1.3061357716661417,0.477,1000,0.4795,2000,0.45466666666666666,3000
ackley,random,0,72,0.3086,0.7309,1.3061357716661417,0.474,1000,0.4695,2000,0.444,3000
ackley,random,0,73,0.3038,0.7333,1.3061357716661417,0.481,1000,0.472,2000,0.44433333333333336,3000
ackley,random,0,74,0.3041,0.7228,1.3061357716661417,0.48,1000,0.473,2000,0.44533333333333336,3000
ackley,random,0,75,0.2932,0.7332,1.3061357716661417,0.473,1000,0.4685,2000,0.43866666666666665,3000
ackley,random,0,76,0.2901,0.7391,1.3061357716661417,0.473,1000,0.4675,2000,0.43633333333333335,3000
ackley,random,0,77,0.2852,0.7476,1.3061357716661417,0.468,1000,0.4625,2000,0.43133333333333335,3000
ackley,random,0,78,0.2781,0.7488,1.3061357716661417,0.47,1000,0.459,2000,0.429,3000
ackley,random,0,79,0.2903,0.7907,1.3061357716661417,0.467,1000,0.4615,2000,0.435,3000
ackley,random,0,80,0.2887,0.7966,1.3061357716661417,0.471,1000,0.464,2000,0.43566666666666665,3000
ackley,random,1,12,0.4759,0.5917,1.306824449253322,0.488,1000,0.4885,2000,0.486,3000
ackley,random,1,13,0.4115,0.8137,1.306824449253322,0.491,1000,0.476,2000,0.482,3000
ackley,random,1,14,0.4004,0.822,1.306824449253322,0.493,1000,0.4685,2000,0.475,3000
ackley,random,1,15,0.4048,0.7737,1.306824449253322,0.487,1000,0.472,2000,0.4776666666666667,3000
ackley,random,1,16,0.4004,0.7277,1.306824449253322,0.482,1000,0.4675,2000,0.474,3000
ackley,random,1,17,0.3966,0.6623,1.306824449253322,0.496,1000,0.475,2000,0.47933333333333333,3000
ackley,random,1,18,0.4007,0.9997,1.306824449253322,0.508,1000,0.4825,2000,0.482,3000
ackley,random,1,19,0.3885,0.9996,1.306824449253322,0.504,1000,0.481,2000,0.4806666666666667,3000
ackley,random,1,20,0.3594,0.9996,1.306824449253322,0.498,1000,0.474,2000,0.4673333333333333,3000
ackley,random,1,21,0.3596,0.9996,1.306824449253322,0.495,1000,0.4715,2000,0.4676666666666667,3000
ackley,random,1,22,0.3632,0.9996,1.306824449253322,0.491,1000,0.471,2000,0.4686666666666667,3000
ackley,random,1,23,0.3562,0.9996,1.306824449253322,0.497,1000,0.4735,2000,0.4696666666666667,3000
ackley,random,1,24,0.3599,0.9996,1.306824449253322,0.495,1000,0.47,2000,0.4673333333333333,3000
ackley,random,1,25,0.3598,0.9996,1.306824449253322,0.495,1000,0.47,2000,0.4673333333333333,3000
ackley,random,1,26,0.3689,0.9996,1.306824449253322,0.494,1000,0.4705,2000,0.4726666666666667,3000
ackley,random,1,27,0.3658,0.9996,1.306824449253322,0.488,1000,0.4605,2000,0.46366666666666667,3000
ackley,random,1,28,0.371,0.9996,1.306824449253322,0.492,1000,0.465,2000,0.469,3000
ackley,random,1,29,0.3782,0.9996,1.306824449253322,0.495,1000,0.4665,2000,0.4706666666666667,3000
ackley,random,1,30,0.3762,0.9996,1.306824449253322,0.492,1000,0.466,2000,0.47,3000
ackley,random,1,31,0.3765,0.9996,1.306824449253322,0.493,1000,0.4665,2000,0.4703333333333333,3000
ackley,random,1,32,0.3791,0.9996,1.306824449253322,0.492,1000,0.465,2000,0.4686666666666667,3000
ackley,random,1,33,0.3756,0.9995,1.306824449253322,0.492,1000,0.464,2000,0.4666666666666667,3000
ackley,random,1,34,0.3808,0.9995,1.306824449253322,0.49,1000,0.465,2000,0.4683333333333333,3000
ackley,random,1,35,0.3788,0.9995,1.306824449253322,0.491,1000,0.4665,2000,0.4696666666666667,3000
ackley,random,1,36,0.3711,0.9995,1.306824449253322,0.487,1000,0.46,2000,0.464,3000
ackley,random,1,37,0.379,0.9995,1.306824449253322,0.487,1000,0.459,2000,0.4646666666666667,3000
ackley,random,1,38,0.3806,0.9995,1.306824449253322,0.488,1000,0.46,2000,0.4656666666666667,3000
ackley,random,1,39,0.3698,0.9995,1.306824449253322,0.49,1000,0.461,2000,0.46366666666666667,3000
ackley,random,1,40,0.3608,0.9995,1.306824449253322,0.483,1000,0.4565,2000,0.45866666666666667,3000
ackley,random,1,41,0.3558,0.9995,1.306824449253322,0.485,1000,0.453,2000,0.45666666666666667,3000
ackley,random,1,42,0.3501,0.9976,1.306824449253322,0.484,1000,0.453,2000,0.45466666666666666,3000
ackley,random,1,43,0.3466,0.9946,1.306824449253322,0.479,1000,0.4535,2000,0.454,3000
ackley,random,1,44,0.3389,0.9947,1.306824449253322,0.482,1000,0.4515,2000,0.45066666666666666,3000
ackley,random,1,45,0.3342,0.9942,1.306824449253322,0.479,1000,0.449,2000,0.4493333333333333,3000
ackley,random,1,46,0.3347,0.9906,1.306824449253322,0.477,1000,0.4485,2000,0.44866666666666666,3000
ackley,random,1,47,0.3288,0.9909,1.306824449253322,0.475,1000,0.447,2000,0.447,3000
ackley,random,1,48,0.3255,0.9864,1.306824449253322,0.475,1000,0.446,2000,0.446,3000
ackley,random,1,49,0.3238,0.985,1.306824449253322,0.473,1000,0.443,2000,0.44366666666666665,3000
ackley,random,1,50,0.3241,0.9834,1.306824449253322,0.469,1000,0.441,2000,0.443,3000
ackley,random,1,51,0.3246,0.9831,1.306824449253322,0.47,1000,0.444,2000,0.44433333333333336,3000
ackley,random,1,52,0.3221,0.9803,1.306824449253322,0.469,1000,0.442,2000,0.44333333333333336,3000
ackley,random,1,53,0.3254,0.9774,1.306824449253322,0.473,1000,0.4455,2000,0.44766666666666666,3000
ackley,random,1,54,0.3185,0.9729,1.306824449253322,0.468,1000,0.4405,2000,0.44133333333333336,3000
ackley,random,1,55,0.3132,0.9684,1.306824449253322,0.466,1000,0.4395,2000,0.43966666666666665,3000
ackley,random,1,56,0.312,0.963,1.306824449253322,0.464,1000,0.4385,2000,0.43833333333333335,3000
ackley,random,1,57,0.3092,0.9596,1.306824449253322,0.464,1000,0.436,2000,0.43533333333333335,3000
ackley,random,1,58,0.3093,0.9621,1.306824449253322,0.467,1000,0.439,2000,0.43833333333333335,3000
ackley,random,1,59,0.3116,0.9695,1.306824449253322,0.471,1000,0.443,2000,0.441,3000
ackley,random,1,60,0.3083,0.9664,1.306824449253322,0.465,1000,0.441,2000,0.43866666666666665,3000
ackley,random,1,61,0.298,0.9691,1.306824449253322,0.466,1000,0.44,2000,0.437,3000
ackley,random,1,62,0.2944,0.969,1.306824449253322,0.467,1000,0.4405,2000,0.43566666666666665,3000
ackley,random,1,63,0.2935,0.9656,1.306824449253322,0.47,1000,0.4405,2000,0.436,3000
ackley,random,1,64,0.2943,0.9609,1.306824449253322,0.471,1000,0.4415,2000,0.436,3000
