benchmark,method,mean_final_global_error,std_final_global_error,mean_final_near_boundary_error_q10,std_final_near_boundary_error_q10,mean_final_near_boundary_error_q20,std_final_near_boundary_error_q20,mean_final_near_boundary_error_q30,std_final_near_boundary_error_q30,mean_final_latent_uncertainty_region_fraction,std_final_latent_uncertainty_region_fraction,mean_final_latent_uncertainty_region_fraction_q10,std_final_latent_uncertainty_region_fraction_q10,mean_final_latent_uncertainty_region_fraction_q20,std_final_latent_uncertainty_region_fraction_q20,mean_final_latent_uncertainty_region_fraction_q30,std_final_latent_uncertainty_region_fraction_q30,mean_query_distance,median_query_distance,query_distance_q25,query_distance_q75,fraction_queries_in_pool_boundary_band_q10,fraction_queries_in_pool_boundary_band_q20,fraction_queries_in_pool_boundary_band_q30,rank_global_error,rank_near_boundary_error_q10,rank_near_boundary_error_q20,rank_near_boundary_error_q30,rank_median_query_distance
ackley,random,0.282660,0.019293,0.478000,0.007376,0.459300,0.003881,0.434200,0.008090,0.919440,0.065801,0.950200,0.034948,0.949300,0.038796,0.947000,0.038351,1.337517,1.130254,0.508493,1.881220,0.111765,0.182353,0.305882,5,5,5,5,2
ackley,smallest_abs_mu,0.236240,0.022286,0.461800,0.021563,0.439600,0.016209,0.412600,0.019825,0.943340,0.018807,0.964200,0.011771,0.963800,0.008970,0.960933,0.009810,1.079449,0.839807,0.406172,1.612873,0.105882,0.238235,0.358824,4,3,4,4,1
ackley,straddle,0.168400,0.021478,0.460000,0.015007,0.415400,0.017080,0.369733,0.016774,0.696420,0.075812,0.883200,0.030268,0.878700,0.033780,0.868533,0.033719,1.435860,1.282224,0.694081,2.079673,0.070588,0.152941,0.223529,1,2,2,2,4
ackley,randomized_straddle,0.175380,0.008484,0.450800,0.012156,0.408400,0.012575,0.368200,0.010649,0.697440,0.069228,0.879400,0.045129,0.876500,0.045566,0.865600,0.044380,1.395886,1.250842,0.654597,1.952730,0.061765,0.144118,0.232353,2,1,1,1,3
ackley,expected_feasibility,0.189820,0.011489,0.469600,0.017188,0.429300,0.017628,0.389867,0.016386,0.683880,0.103941,0.861800,0.045762,0.856500,0.047147,0.841800,0.055545,1.624536,1.519027,0.797758,2.460125,0.061765,0.141176,0.197059,3,4,3,3,5
