run_id,method,formulation,budget,subgroup,held_out_positive_count,sensitivity,minimum_n3_for_interpretation
primary_common__r01_f01,binary_margin,binary,80,transient_Keyhole,6,1.0,True
primary_common__r01_f01,binary_margin,binary,80,persistent_Keyhole,9,0.8888888888888888,True
primary_common__r01_f01,binary_margin,binary,80,repeated_Keyhole,5,1.0,True
primary_common__r01_f01,binary_random,binary,80,transient_Keyhole,6,1.0,True
primary_common__r01_f01,binary_random,binary,80,persistent_Keyhole,9,0.8888888888888888,True
primary_common__r01_f01,binary_random,binary,80,repeated_Keyhole,5,1.0,True
primary_common__r01_f01,binary_uncertainty_repulsion,binary,80,transient_Keyhole,6,1.0,True
primary_common__r01_f01,binary_uncertainty_repulsion,binary,80,persistent_Keyhole,9,0.8888888888888888,True
primary_common__r01_f01,binary_uncertainty_repulsion,binary,80,repeated_Keyhole,5,1.0,True
primary_common__r01_f01,max_depth_boundary_proximity,max_depth,80,transient_Keyhole,6,1.0,True
primary_common__r01_f01,max_depth_boundary_proximity,max_depth,80,persistent_Keyhole,9,0.8888888888888888,True
primary_common__r01_f01,max_depth_boundary_proximity,max_depth,80,repeated_Keyhole,5,1.0,True
primary_common__r01_f01,max_depth_expected_feasibility,max_depth,80,transient_Keyhole,6,1.0,True
primary_common__r01_f01,max_depth_expected_feasibility,max_depth,80,persistent_Keyhole,9,0.8888888888888888,True
primary_common__r01_f01,max_depth_expected_feasibility,max_depth,80,repeated_Keyhole,5,1.0,True
primary_common__r01_f01,max_depth_random,max_depth,80,transient_Keyhole,6,1.0,True
primary_common__r01_f01,max_depth_random,max_depth,80,persistent_Keyhole,9,0.8888888888888888,True
primary_common__r01_f01,max_depth_random,max_depth,80,repeated_Keyhole,5,1.0,True
primary_common__r01_f01,max_depth_randomized_straddle,max_depth,80,transient_Keyhole,6,1.0,True
primary_common__r01_f01,max_depth_randomized_straddle,max_depth,80,persistent_Keyhole,9,0.8888888888888888,True
primary_common__r01_f01,max_depth_randomized_straddle,max_depth,80,repeated_Keyhole,5,1.0,True
primary_common__r01_f01,max_depth_straddle,max_depth,80,transient_Keyhole,6,1.0,True
primary_common__r01_f01,max_depth_straddle,max_depth,80,persistent_Keyhole,9,0.8888888888888888,True
primary_common__r01_f01,max_depth_straddle,max_depth,80,repeated_Keyhole,5,1.0,True
primary_common__r01_f02,binary_margin,binary,80,transient_Keyhole,7,1.0,True
primary_common__r01_f02,binary_margin,binary,80,persistent_Keyhole,8,0.75,True
primary_common__r01_f02,binary_margin,binary,80,repeated_Keyhole,5,1.0,True
primary_common__r01_f02,binary_random,binary,80,transient_Keyhole,7,0.8571428571428571,True
primary_common__r01_f02,binary_random,binary,80,persistent_Keyhole,8,0.75,True
primary_common__r01_f02,binary_random,binary,80,repeated_Keyhole,5,1.0,True
primary_common__r01_f02,binary_uncertainty_repulsion,binary,80,transient_Keyhole,7,1.0,True
primary_common__r01_f02,binary_uncertainty_repulsion,binary,80,persistent_Keyhole,8,0.75,True
primary_common__r01_f02,binary_uncertainty_repulsion,binary,80,repeated_Keyhole,5,1.0,True
primary_common__r01_f02,max_depth_boundary_proximity,max_depth,80,transient_Keyhole,7,1.0,True
primary_common__r01_f02,max_depth_boundary_proximity,max_depth,80,persistent_Keyhole,8,0.875,True
primary_common__r01_f02,max_depth_boundary_proximity,max_depth,80,repeated_Keyhole,5,1.0,True
primary_common__r01_f02,max_depth_expected_feasibility,max_depth,80,transient_Keyhole,7,1.0,True
primary_common__r01_f02,max_depth_expected_feasibility,max_depth,80,persistent_Keyhole,8,1.0,True
primary_common__r01_f02,max_depth_expected_feasibility,max_depth,80,repeated_Keyhole,5,1.0,True
primary_common__r01_f02,max_depth_random,max_depth,80,transient_Keyhole,7,1.0,True
primary_common__r01_f02,max_depth_random,max_depth,80,persistent_Keyhole,8,0.75,True
primary_common__r01_f02,max_depth_random,max_depth,80,repeated_Keyhole,5,1.0,True
primary_common__r01_f02,max_depth_randomized_straddle,max_depth,80,transient_Keyhole,7,1.0,True
primary_common__r01_f02,max_depth_randomized_straddle,max_depth,80,persistent_Keyhole,8,0.875,True
primary_common__r01_f02,max_depth_randomized_straddle,max_depth,80,repeated_Keyhole,5,1.0,True
primary_common__r01_f02,max_depth_straddle,max_depth,80,transient_Keyhole,7,1.0,True
primary_common__r01_f02,max_depth_straddle,max_depth,80,persistent_Keyhole,8,0.875,True
primary_common__r01_f02,max_depth_straddle,max_depth,80,repeated_Keyhole,5,1.0,True
primary_common__r01_f03,binary_margin,binary,80,transient_Keyhole,8,0.625,True
primary_common__r01_f03,binary_margin,binary,80,persistent_Keyhole,6,1.0,True
primary_common__r01_f03,binary_margin,binary,80,repeated_Keyhole,2,0.5,False
primary_common__r01_f03,binary_random,binary,80,transient_Keyhole,8,0.625,True
primary_common__r01_f03,binary_random,binary,80,persistent_Keyhole,6,1.0,True
primary_common__r01_f03,binary_random,binary,80,repeated_Keyhole,2,0.5,False
primary_common__r01_f03,binary_uncertainty_repulsion,binary,80,transient_Keyhole,8,0.625,True
primary_common__r01_f03,binary_uncertainty_repulsion,binary,80,persistent_Keyhole,6,1.0,True
primary_common__r01_f03,binary_uncertainty_repulsion,binary,80,repeated_Keyhole,2,0.5,False
primary_common__r01_f03,max_depth_boundary_proximity,max_depth,80,transient_Keyhole,8,1.0,True
primary_common__r01_f03,max_depth_boundary_proximity,max_depth,80,persistent_Keyhole,6,1.0,True
primary_common__r01_f03,max_depth_boundary_proximity,max_depth,80,repeated_Keyhole,2,1.0,False
primary_common__r01_f03,max_depth_expected_feasibility,max_depth,80,transient_Keyhole,8,0.875,True
primary_common__r01_f03,max_depth_expected_feasibility,max_depth,80,persistent_Keyhole,6,1.0,True
primary_common__r01_f03,max_depth_expected_feasibility,max_depth,80,repeated_Keyhole,2,0.5,False
primary_common__r01_f03,max_depth_random,max_depth,80,transient_Keyhole,8,0.875,True
primary_common__r01_f03,max_depth_random,max_depth,80,persistent_Keyhole,6,1.0,True
primary_common__r01_f03,max_depth_random,max_depth,80,repeated_Keyhole,2,1.0,False
primary_common__r01_f03,max_depth_randomized_straddle,max_depth,80,transient_Keyhole,8,0.875,True
primary_common__r01_f03,max_depth_randomized_straddle,max_depth,80,persistent_Keyhole,6,1.0,True
primary_common__r01_f03,max_depth_randomized_straddle,max_depth,80,repeated_Keyhole,2,0.5,False
primary_common__r01_f03,max_depth_straddle,max_depth,80,transient_Keyhole,8,0.875,True
primary_common__r01_f03,max_depth_straddle,max_depth,80,persistent_Keyhole,6,1.0,True
primary_common__r01_f03,max_depth_straddle,max_depth,80,repeated_Keyhole,2,0.5,False
primary_common__r01_f04,binary_margin,binary,80,transient_Keyhole,5,0.8,True
primary_common__r01_f04,binary_margin,binary,80,persistent_Keyhole,9,0.6666666666666666,True
primary_common__r01_f04,binary_margin,binary,80,repeated_Keyhole,3,0.6666666666666666,True
primary_common__r01_f04,binary_random,binary,80,transient_Keyhole,5,0.8,True
