benchmark_population,run_id,repeat,fold,method,formulation,train_pool_count,untouched_test_count,nominal_warm_start,effective_warm_start,final_budget,fit_count,fit_status_counts_json,optimizer_warning_count,unique_optimizer_warning_count,kernel_bound_hit_count,runtime_seconds,query_trajectory_sha256,warm_start_sha256,split_sha256,checkpoint_fingerprint
primary_common,primary_common__r01_f02,1,2,max_depth_straddle,max_depth,324,81,12,12,80,69,"{""optimized_primary"": 69}",0,0,0,24.969948499987368,6fee38940e80426c39710a4433c4e7870414fdde57b5439a1281cd1489eb72d6,0ba0da05baa1b0a7d94af9b2e96a0380a7128e02b4b819e20765dee46a906dcf,c7ab6e8b8140830a0045921ea647bc024ad48f35df6bdd7dc9f0711e8c73f121,b2e7d7d1bc93804ca102d97237ae9036fdd8ad05ab87245ab93f72d5c57fd0b2
primary_common,primary_common__r01_f02,1,2,max_depth_randomized_straddle,max_depth,324,81,12,12,80,69,"{""optimized_primary"": 69}",0,0,0,25.665169300045818,2ac85f3b9d2cb7668f7219f5f7d07642f26e1398021f9706f3ecb652c1eac6cc,0ba0da05baa1b0a7d94af9b2e96a0380a7128e02b4b819e20765dee46a906dcf,c7ab6e8b8140830a0045921ea647bc024ad48f35df6bdd7dc9f0711e8c73f121,23c5e04148e95337c91bf0f1c77a474595f03f2551eb19331bc9c33de6d36dd0
primary_common,primary_common__r01_f02,1,2,max_depth_expected_feasibility,max_depth,324,81,12,12,80,69,"{""optimized_primary"": 69}",0,0,0,25.999013299995568,1c368f40e9c3d6b5e4cb3c7ba957e6db0cd1af3f42ca0a43526c3e50d3f0239b,0ba0da05baa1b0a7d94af9b2e96a0380a7128e02b4b819e20765dee46a906dcf,c7ab6e8b8140830a0045921ea647bc024ad48f35df6bdd7dc9f0711e8c73f121,3adfda13dfcd2143f3e249c73c23a50cf470e4ffa809af8e594b04ca2b48b7cd
primary_common,primary_common__r01_f02,1,2,binary_random,binary,324,81,12,12,80,69,"{""optimized_primary"": 69}",0,0,0,8.87527030002093,dea451a380e6fca62b5c18fa54f84b23cc41cf07b128beb91805f9301c9785d0,0ba0da05baa1b0a7d94af9b2e96a0380a7128e02b4b819e20765dee46a906dcf,c7ab6e8b8140830a0045921ea647bc024ad48f35df6bdd7dc9f0711e8c73f121,a499739f4474cf3c8cfaebf6a1c2cc4bb77f6bca48616757027d4441d6db060b
primary_common,primary_common__r01_f02,1,2,binary_margin,binary,324,81,12,12,80,69,"{""optimized_primary"": 69}",4,1,4,6.758869800018147,03e7c633d7576d573bbd5faaabaf42512693f145a11eaae2c282a6111eed40fc,0ba0da05baa1b0a7d94af9b2e96a0380a7128e02b4b819e20765dee46a906dcf,c7ab6e8b8140830a0045921ea647bc024ad48f35df6bdd7dc9f0711e8c73f121,23e85423bdc4d10fa4d9026ab7ef0c99c1d959d040ae3af332e45fad554cede4
primary_common,primary_common__r01_f02,1,2,binary_uncertainty_repulsion,binary,324,81,12,12,80,69,"{""optimized_primary"": 69}",4,1,4,7.553926699969452,0b0fe31d5ad30712c6c12fe69ab05cf4bf1aec4a327dd6d58db3d2a0a0c48d92,0ba0da05baa1b0a7d94af9b2e96a0380a7128e02b4b819e20765dee46a906dcf,c7ab6e8b8140830a0045921ea647bc024ad48f35df6bdd7dc9f0711e8c73f121,9f78651ced700b2c7e539677b50449a936e731ccaaf588b6c281d75321d2b61b
primary_common,primary_common__r01_f03,1,3,max_depth_random,max_depth,324,81,12,12,80,69,"{""optimized_primary"": 69}",0,0,0,19.071379000029992,3230d2d1fdbf16025866d25c55122fbd9d8e510c7fca2288c8cf576d749a92b2,6c5a17002b211b1b03e221ef867f7a7e51f9eb1adeb4e83afecb315aebf0a66e,5999b3685c557c79c7846d55f79546fca6cf657e5c5e50b8041e1fc2de799ea2,8dd89025be18ef4851952e69561e873d9656cfbc5b0854b6a0f7dc08f569ab6e
primary_common,primary_common__r01_f03,1,3,max_depth_boundary_proximity,max_depth,324,81,12,12,80,69,"{""optimized_primary"": 69}",0,0,0,27.6779706000234,9aa2266e551bee1b02051a10d8279908e5f670b92cd4818bbe74fc590e184765,6c5a17002b211b1b03e221ef867f7a7e51f9eb1adeb4e83afecb315aebf0a66e,5999b3685c557c79c7846d55f79546fca6cf657e5c5e50b8041e1fc2de799ea2,ebe14ad97fd231c595a641cc0d5d455ad903b0d70ab7e4fae7e6414d862e6a65
primary_common,primary_common__r01_f03,1,3,max_depth_straddle,max_depth,324,81,12,12,80,69,"{""optimized_primary"": 69}",0,0,0,23.305369600013364,8980cbfb85e65920847f0df2602c20546bb69186da1c87a7cc0afc21452d15d1,6c5a17002b211b1b03e221ef867f7a7e51f9eb1adeb4e83afecb315aebf0a66e,5999b3685c557c79c7846d55f79546fca6cf657e5c5e50b8041e1fc2de799ea2,0786d333543d3f92dc837390ba2181a12b2400ed2cd151e51c4cdf152c038c8a
primary_common,primary_common__r01_f03,1,3,max_depth_randomized_straddle,max_depth,324,81,12,12,80,69,"{""optimized_primary"": 69}",1,1,1,22.010660999978427,f996cdd0c8be4e990f3b49794906caffc60ed878bacd3732a58ff6b017d8f659,6c5a17002b211b1b03e221ef867f7a7e51f9eb1adeb4e83afecb315aebf0a66e,5999b3685c557c79c7846d55f79546fca6cf657e5c5e50b8041e1fc2de799ea2,531033ae6fee8c6e24a5f9ee38d7ed0bf0a86c9424bcdfeb00d03dccf1f0f806
