benchmark_population,formulation,model,probability_bin,row_count,mean_predicted_probability,observed_keyhole_fraction,status
primary_common,max_depth,matern32_gpr,"(0.1, 0.2]",77,0.1399526369703256,0.05194805194805195,held_out_20_fold_pooled_diagnostic
primary_common,max_depth,matern32_gpr,"(0.2, 0.3]",33,0.24887355533082062,0.15151515151515152,held_out_20_fold_pooled_diagnostic
primary_common,max_depth,matern32_gpr,"(0.3, 0.4]",15,0.35626380129420515,0.26666666666666666,held_out_20_fold_pooled_diagnostic
primary_common,max_depth,matern32_gpr,"(0.4, 0.5]",7,0.4453259628519749,0.0,held_out_20_fold_pooled_diagnostic
primary_common,max_depth,matern32_gpr,"(0.5, 0.6]",23,0.5517561224866178,0.34782608695652173,held_out_20_fold_pooled_diagnostic
primary_common,max_depth,matern32_gpr,"(0.6, 0.7]",19,0.6446285641782867,0.3157894736842105,held_out_20_fold_pooled_diagnostic
primary_common,max_depth,matern32_gpr,"(0.7, 0.8]",34,0.7515979378349138,0.35294117647058826,held_out_20_fold_pooled_diagnostic
primary_common,max_depth,matern32_gpr,"(0.8, 0.9]",22,0.8459620417754128,0.5909090909090909,held_out_20_fold_pooled_diagnostic
primary_common,max_depth,matern32_gpr,"(0.9, 1.0]",252,0.9924901803376321,0.9484126984126984,held_out_20_fold_pooled_diagnostic
primary_common,max_depth,matern52_gpr,"(-0.001, 0.1]",1046,0.019945548962769972,0.0038240917782026767,held_out_20_fold_pooled_diagnostic
primary_common,max_depth,matern52_gpr,"(0.1, 0.2]",147,0.14231491088206702,0.027210884353741496,held_out_20_fold_pooled_diagnostic
primary_common,max_depth,matern52_gpr,"(0.2, 0.3]",44,0.24353853346466206,0.09090909090909091,held_out_20_fold_pooled_diagnostic
primary_common,max_depth,matern52_gpr,"(0.3, 0.4]",26,0.33319147596259263,0.15384615384615385,held_out_20_fold_pooled_diagnostic
primary_common,max_depth,matern52_gpr,"(0.4, 0.5]",18,0.4532037518219846,0.3888888888888889,held_out_20_fold_pooled_diagnostic
primary_common,max_depth,matern52_gpr,"(0.5, 0.6]",23,0.55425075689682,0.17391304347826086,held_out_20_fold_pooled_diagnostic
primary_common,max_depth,matern52_gpr,"(0.6, 0.7]",34,0.6556318760785805,0.47058823529411764,held_out_20_fold_pooled_diagnostic
primary_common,max_depth,matern52_gpr,"(0.7, 0.8]",23,0.7370258296730042,0.391304347826087,held_out_20_fold_pooled_diagnostic
primary_common,max_depth,matern52_gpr,"(0.8, 0.9]",25,0.8485943507639433,0.64,held_out_20_fold_pooled_diagnostic
primary_common,max_depth,matern52_gpr,"(0.9, 1.0]",234,0.9929544587817885,0.9572649572649573,held_out_20_fold_pooled_diagnostic
primary_common,max_depth,rbf_gpr,"(-0.001, 0.1]",798,0.022106029177771925,0.005012531328320802,held_out_20_fold_pooled_diagnostic
primary_common,max_depth,rbf_gpr,"(0.1, 0.2]",238,0.15135118930740796,0.008403361344537815,held_out_20_fold_pooled_diagnostic
primary_common,max_depth,rbf_gpr,"(0.2, 0.3]",158,0.23975879187220694,0.03164556962025317,held_out_20_fold_pooled_diagnostic
primary_common,max_depth,rbf_gpr,"(0.3, 0.4]",71,0.3408395584570307,0.09859154929577464,held_out_20_fold_pooled_diagnostic
primary_common,max_depth,rbf_gpr,"(0.4, 0.5]",46,0.4454955062511355,0.41304347826086957,held_out_20_fold_pooled_diagnostic
primary_common,max_depth,rbf_gpr,"(0.5, 0.6]",31,0.5582970586101228,0.3870967741935484,held_out_20_fold_pooled_diagnostic
primary_common,max_depth,rbf_gpr,"(0.6, 0.7]",36,0.6494668923513056,0.5833333333333334,held_out_20_fold_pooled_diagnostic
