balanced_accuracy,sensitivity,specificity,precision,f1,global_error,true_positive,true_negative,false_positive,false_negative,roc_auc,average_precision,brier_score,q10_error,q10_count,q10_keyhole_count,q20_error,q20_count,q20_keyhole_count,q30_error,q30_count,q30_keyhole_count,benchmark_population,run_id,repeat,fold,method,formulation,budget,effective_warm_start,mean_predicted_uncertainty,uncertainty_band_fraction,fit_status,kernel,kernel_constant,kernel_length_scale,kernel_bound_hit,optimizer_warning_count,threshold,threshold_point_estimate_probability_caveat,mae,rmse,relative_mae,relative_rmse,r2
0.9515151515151515,0.9333333333333333,0.9696969696969697,0.875,0.9032258064516129,0.037037037037037035,14,64,2,1,0.9868686868686868,0.9690476190476189,0.02340103483497732,0.3333333333333333,9,4,0.17647058823529413,17,8,0.12,25,9,primary_common,primary_common__r01_f01,1,1,binary_margin,binary,80,12,0.11607019571674436,0.024691358024691357,optimized_primary,"21.5**2 * Matern(length_scale=10, nu=1.5)",463.33444932933986,10.007801014255817,False,0,,False,,,,,
0.9590909090909091,0.9333333333333333,0.9848484848484849,0.9333333333333333,0.9333333333333333,0.024691358024691357,14,65,1,1,0.9828282828282828,0.9645833333333333,0.0331346122984892,0.2222222222222222,9,4,0.11764705882352941,17,8,0.08,25,9,primary_common,primary_common__r01_f01,1,1,binary_random,binary,80,12,0.193610247781225,0.037037037037037035,optimized_primary,"31.6**2 * Matern(length_scale=9.95, nu=1.5)",999.9999999999998,9.946447280030519,True,1,,False,,,,,
0.9515151515151515,0.9333333333333333,0.9696969696969697,0.875,0.9032258064516129,0.037037037037037035,14,64,2,1,0.9868686868686868,0.9690476190476189,0.023390263882830623,0.3333333333333333,9,4,0.17647058823529413,17,8,0.12,25,9,primary_common,primary_common__r01_f01,1,1,binary_uncertainty_repulsion,binary,80,12,0.11536136617731758,0.024691358024691357,optimized_primary,"21.4**2 * Matern(length_scale=10, nu=1.5)",456.000172006798,10.020343784103895,False,0,,False,,,,,
0.943939393939394,0.9333333333333333,0.9545454545454546,0.8235294117647058,0.875,0.04938271604938271,14,63,3,1,0.9383838383838384,0.8243582104872427,0.04862594983249691,0.3333333333333333,9,4,0.17647058823529413,17,8,0.12,25,9,primary_common,primary_common__r01_f01,1,1,max_depth_boundary_proximity,max_depth,80,12,43.95433339222289,0.7160493827160493,optimized_primary,"2.06**2 * Matern(length_scale=1.8, nu=1.5)",4.22699201075957,1.8032138692878434,False,0,108.14150000000001,True,22.783932195335215,36.26856255087716,0.2306437785996442,0.3671498949081552,0.8319522068595994
0.9363636363636364,0.9333333333333333,0.9393939393939394,0.7777777777777778,0.8484848484848485,0.06172839506172839,14,62,4,1,0.9686868686868686,0.9264216095795044,0.06361479614043285,0.3333333333333333,9,4,0.17647058823529413,17,8,0.12,25,9,primary_common,primary_common__r01_f01,1,1,max_depth_expected_feasibility,max_depth,80,12,23.32595876180731,0.2222222222222222,optimized_primary,"2.1**2 * Matern(length_scale=3.15, nu=1.5)",4.414058132339667,3.153972060637414,False,0,104.956025,True,20.997708170831483,33.816777361139025,0.2125616734167051,0.34233025466222666,0.853904592743182
0.943939393939394,0.9333333333333333,0.9545454545454546,0.8235294117647058,0.875,0.04938271604938271,14,63,3,1,0.9818181818181818,0.9636363636363636,0.0506722537022594,0.2222222222222222,9,4,0.11764705882352941,17,8,0.08,25,9,primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,80,12,17.488199894660756,0.19753086419753085,optimized_primary,"2.83**2 * Matern(length_scale=5.48, nu=1.5)",7.996070203635717,5.484722792317518,False,0,105.431785,True,18.382081240952306,34.52627603345804,0.18608344861590292,0.3495125730299311,0.8477099239369389
0.9363636363636364,0.9333333333333333,0.9393939393939394,0.7777777777777778,0.8484848484848485,0.06172839506172839,14,62,4,1,0.9565656565656565,0.9464327485380116,0.042452397935980324,0.3333333333333333,9,4,0.17647058823529413,17,8,0.12,25,9,primary_common,primary_common__r01_f01,1,1,max_depth_randomized_straddle,max_depth,80,12,34.57988677436997,0.7037037037037037,optimized_primary,"1.71**2 * Matern(length_scale=1.87, nu=1.5)",2.9123856623046533,1.866343401533862,False,0,108.14150000000001,True,19.72909456209158,39.214634501506964,0.19971938465837527,0.3969732441392771,0.8035425647768693
0.9363636363636364,0.9333333333333333,0.9393939393939394,0.7777777777777778,0.8484848484848485,0.06172839506172839,14,62,4,1,0.9585858585858587,0.8732291782291782,0.051522233827787894,0.3333333333333333,9,4,0.17647058823529413,17,8,0.12,25,9,primary_common,primary_common__r01_f01,1,1,max_depth_straddle,max_depth,80,12,32.024187605273724,0.5555555555555556,optimized_primary,"1.69**2 * Matern(length_scale=2.18, nu=1.5)",2.8617714256365754,2.182697725416436,False,0,108.14150000000001,True,18.133199849465786,29.422461560005,0.18356400008246052,0.2978462037071776,0.8894063643829226
0.9333333333333333,0.8666666666666667,1.0,1.0,0.9285714285714286,0.024691358024691357,13,66,0,2,0.993939393939394,0.9771241830065359,0.026473265043521352,0.2222222222222222,9,4,0.11764705882352941,17,5,0.08,25,7,primary_common,primary_common__r01_f02,1,2,binary_margin,binary,80,12,0.1593636013118039,0.037037037037037035,optimized_primary,"21**2 * Matern(length_scale=11, nu=1.5)",441.75572282551127,11.020772476871631,False,0,,False,,,,,
0.8924242424242425,0.8,0.9848484848484849,0.9230769230769231,0.8571428571428571,0.04938271604938271,12,65,1,3,0.990909090909091,0.963107088989442,0.03612118066829067,0.3333333333333333,9,4,0.23529411764705882,17,5,0.16,25,7,primary_common,primary_common__r01_f02,1,2,binary_random,binary,80,12,0.20139128380238053,0.04938271604938271,optimized_primary,"13.8**2 * Matern(length_scale=9.45, nu=1.5)",191.06716326818355,9.449511033873035,False,0,,False,,,,,
