comparison,method_a,method_b,metric,paired_run_count,mean_paired_difference_a_minus_b,median_paired_difference_a_minus_b,repeat_block_mean_differences_json,uncertainty_interpretation,selection_status
best_vs_best_descriptive,max_depth_straddle,binary_uncertainty_repulsion,common_normalized_aulc__q20_error,20,0.01904871323529412,0.03056066176470587,"{""1"": 0.02215073529411764, ""2"": 0.03345588235294118, ""3"": -0.010661764705882338, ""4"": 0.031249999999999983}",descriptive_repeated_CV_runs_not_independent,post_selection_descriptive
best_vs_best_descriptive,max_depth_straddle,binary_uncertainty_repulsion,common_normalized_aulc__q30_error,20,0.017421875000000007,0.014062500000000012,"{""1"": 0.015312500000000015, ""2"": 0.027374999999999993, ""3"": 0.006375000000000022, ""4"": 0.020624999999999984}",descriptive_repeated_CV_runs_not_independent,post_selection_descriptive
best_vs_best_descriptive,max_depth_straddle,binary_uncertainty_repulsion,common_normalized_aulc__balanced_accuracy,20,0.026125018676907717,0.019093781296439738,"{""1"": 0.02629366358144345, ""2"": 0.020503660673903235, ""3"": 0.03491811942721466, ""4"": 0.022784631025069536}",descriptive_repeated_CV_runs_not_independent,post_selection_descriptive
predeclared_straddle_vs_margin,max_depth_straddle,binary_margin,common_normalized_aulc__q20_error,20,0.017463235294117654,0.025275735294117654,"{""1"": 0.021783088235294106, ""2"": 0.032628676470588244, ""3"": -0.014522058823529391, ""4"": 0.02996323529411765}",descriptive_repeated_CV_runs_not_independent,predeclared_or_baseline
predeclared_straddle_vs_margin,max_depth_straddle,binary_margin,common_normalized_aulc__q30_error,20,0.01621875,0.015468750000000003,"{""1"": 0.014937500000000006, ""2"": 0.026812499999999996, ""3"": 0.0033750000000000143, ""4"": 0.019749999999999983}",descriptive_repeated_CV_runs_not_independent,predeclared_or_baseline
predeclared_straddle_vs_margin,max_depth_straddle,binary_margin,common_normalized_aulc__balanced_accuracy,20,0.02580142484614269,0.018377130681818177,"{""1"": 0.024477389836531582, ""2"": 0.020458851238935184, ""3"": 0.03497452368837641, ""4"": 0.02329493462072758}",descriptive_repeated_CV_runs_not_independent,predeclared_or_baseline
predeclared_randomized_vs_repulsion,max_depth_randomized_straddle,binary_uncertainty_repulsion,common_normalized_aulc__q20_error,20,0.01920955882352941,0.03010110294117646,"{""1"": 0.01231617647058822, ""2"": 0.05248161764705882, ""3"": -0.003584558823529377, ""4"": 0.015624999999999977}",descriptive_repeated_CV_runs_not_independent,predeclared_or_baseline
predeclared_randomized_vs_repulsion,max_depth_randomized_straddle,binary_uncertainty_repulsion,common_normalized_aulc__q30_error,20,0.021328124999999996,0.028906249999999967,"{""1"": 0.020312500000000032, ""2"": 0.039937499999999994, ""3"": 0.012312499999999995, ""4"": 0.012749999999999989}",descriptive_repeated_CV_runs_not_independent,predeclared_or_baseline
predeclared_randomized_vs_repulsion,max_depth_randomized_straddle,binary_uncertainty_repulsion,common_normalized_aulc__balanced_accuracy,20,0.023318312304144922,0.016651750379595653,"{""1"": 0.020641269100923964, ""2"": 0.022357202421334967, ""3"": 0.023688583260644915, ""4"": 0.026586194433675846}",descriptive_repeated_CV_runs_not_independent,predeclared_or_baseline
active_vs_shared_random__binary_margin,binary_margin,binary_random,common_normalized_aulc__q20_error,20,-0.04110753676470589,-0.04319852941176472,"{""1"": -0.04218749999999999, ""2"": -0.06580882352941178, ""3"": -0.03851102941176474, ""4"": -0.017922794117647068}",descriptive_repeated_CV_runs_not_independent,predeclared_or_baseline
